[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 1] O LORD God, to whom vengeance belongeth; O God, to whom vengeance belongeth, show thyself.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 2] Lift up thyself, thou judge of the earth: render a reward to the proud.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 3] LORD, how long shall the wicked, how long shall the wicked triumph?
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 4] How long shall they utter and speak hard things? and all the workers of iniquity boast themselves?
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 5] They break in pieces thy people, O LORD, and afflict thy heritage.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 6] They slay the widow and the stranger, and murder the fatherless.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 7] Yet they say, The LORD will not see, neither will the God of Jacob regard it .
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 8] Understand, ye brutish among the people: and ye fools, when will ye be wise?
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 9] He that planted the ear, shall he not hear? he that formed the eye, shall he not see?
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 10] He that chastiseth the heathen, shall he not correct? he that teacheth man knowledge, shall he not know ?
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 11] The LORD knoweth the thoughts of man, that they are vanity.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 12] Blessed is the man whom thou chastenest, O LORD, and teachest him out of thy law;
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 13] That thou mayest give him rest from the days of adversity, until the pit be digged for the wicked.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 14] For the LORD will not cast off his people, neither will he forsake his inheritance.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 15] But judgment shall return to righteousness: and all the upright in heart shall follow it.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 16] Who will rise up for me against the evil-doers? or who will stand up for me against the workers of iniquity?
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 17] Unless the LORD had been my help, my soul had almost dwelt in silence.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 18] When I said, My foot slippeth; thy mercy, O LORD, held me up.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 19] In the multitude of my thoughts within me, thy comforts delight my soul.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 20] Shall the throne of iniquity have fellowship with thee, which frameth mischief by a law?
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 21] They assemble themselves against the soul of the righteous, and condemn the innocent blood.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 22] But the LORD is my defense; and my God is the rock of my refuge.
[WEBSTER | EN | OT | Psalms | Chapter 94 | Verse 23] And he will bring upon them their own iniquity, and will cut them off in their own wickedness; yes , the LORD our God will cut them off.
