[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 1] Bless the LORD, O my soul. O LORD my God, thou art very great; thou art clothed with honor and majesty.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 2] Who coverest thyself with light as with a garment: who stretchest out the heavens like a curtain:
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 3] Who layeth the beams of his chambers in the waters: who maketh the clouds his chariot: who walketh upon the wings of the wind:
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 4] Who maketh his angels spirits; his ministers a flaming fire:
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 5] Who laid the foundations of the earth, that it should not be removed for ever.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 6] Thou coveredst it with the deep as with a garment: the waters stood above the mountains.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 7] At thy rebuke they fled; at the voice of thy thunder they hasted away.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 8] They go up by the mountains; they go down by the valleys to the place which thou hast founded for them.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 9] Thou hast set a bound that they may not pass over; that they turn not again to cover the earth.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 10] He sendeth the springs into the valleys, which run among the hills.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 11] They give drink to every beast of the field: the wild asses quench their thirst.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 12] By them shall the fowls of the heaven have their habitation, which sing among the branches.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 13] He watereth the hills from his chambers: the earth is satisfied with the fruit of thy works.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 14] He causeth the grass to grow for the cattle, and herb for the service of man: that he may bring forth food out of the earth;
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 15] And wine that maketh glad the heart of man, and oil to make his face to shine, and bread which strengtheneth man's heart.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 16] The trees of the LORD are full of sap ; the cedars of Lebanon, which he hath planted;
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 17] Where the birds make their nests: as for the stork, the fir-trees are her house.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 18] The high hills are a refuge for the wild goats; and the rocks for the conies.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 19] He appointeth the moon for seasons: the sun knoweth his going down.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 20] Thou makest darkness, and it is night: in which all the beasts of the forest do creep forth .
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 21] The young lions roar after their prey, and seek their food from God.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 22] The sun ariseth, they collect, and lay themselves down in their dens.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 23] Man goeth forth to his work and to his labor until the evening.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 24] O LORD, how manifold are thy works! in wisdom hast thou made them all: the earth is full of thy riches.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 25] So is this great and wide sea, in which are creeping animals innumerable, both small and great beasts.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 26] There go the ships: there is that leviathan, which thou hast made to play therein.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 27] These wait all upon thee; that thou mayest give them their food in due season.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 28] That which thou givest them, they gather: thou openest thy hand, they are filled with good.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 29] Thou hidest thy face, they are troubled: thou takest away their breath, they die, and return to their dust.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 30] Thou sendest forth thy spirit, they are created: and thou renewest the face of the earth.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 31] The glory of the LORD shall endure for ever: the LORD shall rejoice in his works.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 32] He looketh on the earth, and it trembleth: he toucheth the hills, and they smoke.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 33] I will sing to the LORD as long as I live: I will sing praise to my God while I have my being.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 34] My meditation of him shall be sweet: I will be glad in the LORD.
[WEBSTER | EN | OT | Psalms | Chapter 104 | Verse 35] Let sinners be consumed out of the earth, and let the wicked be no more. Bless thou the LORD, O my soul. Praise ye the LORD.
