[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 1] He that dwelleth in the secret place of the Most High shall abide under the shadow of the Almighty.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 2] I will say of the LORD, He is my refuge and my fortress: my God; in him will I trust.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 3] Surely he shall deliver thee from the snare of the fowler, and from the noisome pestilence.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 4] He shall cover thee with his feathers, and under his wings shalt thou trust: his truth shall be thy shield and buckler.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 5] Thou shalt not be afraid for the terror by night; nor for the arrow that flieth by day;
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 6] Nor for the pestilence that walketh in darkness; nor for the destruction that wasteth at noon-day.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 7] A thousand shall fall at thy side, and ten thousand at thy right hand; but it shall not come nigh thee.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 8] Only with thy eyes shalt thou behold and see the reward of the wicked.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 9] Because thou hast made the LORD who is my refuge, even the Most High, thy habitation;
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 10] There shall no evil befall thee, neither shall any plague come nigh thy dwelling.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 11] For he shall give his angels charge over thee, to keep thee in all thy ways.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 12] They shall bear thee up in their hands, lest thou dash thy foot against a stone.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 13] Thou shalt tread upon the lion and adder: the young lion and the dragon shalt thou trample under feet.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 14] Because he hath set his love upon me, therefore will I deliver him: I will set him on high, because he hath known my name.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 15] He shall call upon me, and I will answer him: I will be with him in trouble; I will deliver him, and honor him.
[WEBSTER | EN | OT | Psalms | Chapter 91 | Verse 16] With long life will I satisfy him, and show him my salvation.
