[WEBSTER | EN | OT | Psalms | Chapter 143 | Verse 1] A Psalm of David. Hear my prayer, O LORD, give ear to my supplications: in thy faithfulness answer me, and in thy righteousness.
[WEBSTER | EN | OT | Psalms | Chapter 143 | Verse 2] And enter not into judgment with thy servant: for in thy sight shall no man living be justified.
[WEBSTER | EN | OT | Psalms | Chapter 143 | Verse 3] For the enemy hath persecuted my soul; he hath smitten my life down to the ground; he hath made me to dwell in darkness, as those that have been long dead.
[WEBSTER | EN | OT | Psalms | Chapter 143 | Verse 4] Therefore is my spirit overwhelmed within me; my heart within me is desolate.
[WEBSTER | EN | OT | Psalms | Chapter 143 | Verse 5] I remember the days of old, I meditate on all thy works; I muse on the work of thy hands.
[WEBSTER | EN | OT | Psalms | Chapter 143 | Verse 6] I stretch forth my hands to thee: my soul thirsteth after thee, as a thirsty land. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 143 | Verse 7] Hear me speedily, O LORD: my spirit faileth: hide not thy face from me, lest I be like them that go down into the pit.
[WEBSTER | EN | OT | Psalms | Chapter 143 | Verse 8] Cause me to hear thy loving-kindness in the morning; for in thee do I trust: cause me to know the way in which I should walk; for I lift up my soul to thee.
[WEBSTER | EN | OT | Psalms | Chapter 143 | Verse 9] Deliver me, O LORD, from my enemies: I flee to thee to hide me.
[WEBSTER | EN | OT | Psalms | Chapter 143 | Verse 10] Teach me to do thy will; for thou art my God: thy spirit is good; lead me into the land of uprightness.
[WEBSTER | EN | OT | Psalms | Chapter 143 | Verse 11] Revive me, O LORD, for thy name's sake: for thy righteousness' sake bring my soul out of trouble.
[WEBSTER | EN | OT | Psalms | Chapter 143 | Verse 12] And of thy mercy cut off my enemies, and destroy all them that afflict my soul: for I am thy servant.
