[WEBSTER | EN | OT | Psalms | Chapter 36 | Verse 1] To the chief Musician, A Psalm of David the servant of the LORD. The transgression of the wicked saith within my heart, that there is no fear of God before his eyes.
[WEBSTER | EN | OT | Psalms | Chapter 36 | Verse 2] For he flattereth himself in his own eyes, until his iniquity is found to be hateful.
[WEBSTER | EN | OT | Psalms | Chapter 36 | Verse 3] The words of his mouth are iniquity and deceit: he hath ceased to be wise, and to do good.
[WEBSTER | EN | OT | Psalms | Chapter 36 | Verse 4] He deviseth mischief upon his bed; he setteth himself in a way that is not good; he abhorreth not evil.
[WEBSTER | EN | OT | Psalms | Chapter 36 | Verse 5] Thy mercy, O LORD, is in the heavens; and thy faithfulness reacheth to the clouds.
[WEBSTER | EN | OT | Psalms | Chapter 36 | Verse 6] Thy righteousness is like the great mountains; thy judgments are a great deep: O LORD, thou preservest man and beast.
[WEBSTER | EN | OT | Psalms | Chapter 36 | Verse 7] How excellent is thy loving-kindness, O God! therefore the children of men put their trust under the shadow of thy wings.
[WEBSTER | EN | OT | Psalms | Chapter 36 | Verse 8] They shall be abundantly satisfied with the fatness of thy house; and thou shalt make them drink of the river of thy pleasures.
[WEBSTER | EN | OT | Psalms | Chapter 36 | Verse 9] For with thee is the fountain of life: in thy light shall we see light.
[WEBSTER | EN | OT | Psalms | Chapter 36 | Verse 10] O continue thy loving-kindness to them that know thee; and thy righteousness to the upright in heart.
[WEBSTER | EN | OT | Psalms | Chapter 36 | Verse 11] Let not the foot of pride come against me, and let not the hand of the wicked remove me.
[WEBSTER | EN | OT | Psalms | Chapter 36 | Verse 12] There are the workers of iniquity fallen: they are cast down, and shall not be able to rise.
