[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 1] A song, or Psalm of Asaph. Keep not thou silence, O God: hold not thy peace, and be not still, O God.
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 2] For lo, thy enemies make a tumult: and they that hate thee have lifted up the head.
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 3] They have taken crafty counsel against thy people, and consulted against thy hidden ones.
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 4] They have said, Come, and let us cut them off from being a nation; that the name of Israel may be no more in remembrance.
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 5] For they have consulted together with one consent: they are confederate against thee,
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 6] The tabernacles of Edom, and the Ishmaelites; of Moab, and the Hagarenes;
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 7] Gebal, and Ammon, and Amalek; the Philistines with the inhabitants of Tyre;
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 8] Assur also is joined with them: they have helped the children of Lot. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 9] Do to them as to the Midianites; as to Sisera, as to Jabin, at the brook of Kison:
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 10] Who perished at En-dor: they became as dung for the earth.
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 11] Make their nobles like Oreb, and like Zeeb: yes, all their princes as Zebah, and as Zalmunna:
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 12] Who said, Let us take to ourselves the houses of God in possession.
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 13] O my God, make them like a wheel; as the stubble before the wind.
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 14] As the fire burneth a wood, and as the flame setteth the mountains on fire;
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 15] So persecute them with thy tempest, and make them afraid with thy storm.
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 16] Fill their faces with shame; that they may seek thy name, O LORD.
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 17] Let them be confounded and troubled for ever; yes, let them be put to shame, and perish:
[WEBSTER | EN | OT | Psalms | Chapter 83 | Verse 18] That men may know that thou, whose name alone is JEHOVAH, art the most high over all the earth.
