[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 1] In thee, O LORD, do I put my trust: let me never be put to confusion.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 2] Deliver me in thy righteousness, and cause me to escape: incline thy ear to me, and save me.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 3] Be thou my strong habitation, to which I may continually resort: thou hast given commandment to save me; for thou art my rock and my fortress.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 4] Deliver me, O my God, from the hand of the wicked, from the hand of the unrighteous and cruel man.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 5] For thou art my hope, O LORD God: thou art my trust from my youth.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 6] By thee have I been sustained from my birth: thou art he that brought me into life: my praise shall be continually of thee.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 7] I am as a wonder to many; but thou art my strong refuge.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 8] Let my mouth be filled with thy praise and with thy honor all the day.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 9] Cast me not off in the time of old age; forsake me not when my strength faileth.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 10] For my enemies speak against me; and they that lay wait for my soul take counsel together,
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 11] Saying, God hath forsaken him: persecute and take him; for there is none to deliver him .
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 12] O God, be not far from me: O my God, make haste for my help.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 13] Let them be confounded and consumed that are adversaries to my soul; let them be covered with reproach and dishonor that seek my hurt.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 14] But I will hope continually, and will yet praise thee more and more.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 15] My mouth shall show forth thy righteousness and thy salvation all the day; for I know not the numbers thereof .
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 16] I will go in the strength of the Lord GOD: I will make mention of thy righteousness, even of thine only.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 17] O God, thou hast taught me from my youth: and hitherto have I declared thy wondrous works.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 18] Now also when I am old and gray-headed, O God, forsake me not; until I have shown thy strength to this generation, and thy power to every one that is to come.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 19] Thy righteousness also, O God, is very high, who hast done great things: O God, who is like to thee!
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 20] Thou , who hast shown me great and severe troubles, wilt revive me again, and wilt bring me again from the depths of the earth.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 21] Thou wilt increase my greatness, and comfort me on every side.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 22] I will also praise thee with the psaltery, even thy truth, O my God: to thee will I sing with the harp, O thou Holy One of Israel.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 23] My lips shall greatly rejoice when I sing to thee; and my soul, which thou hast redeemed.
[WEBSTER | EN | OT | Psalms | Chapter 71 | Verse 24] My tongue also shall talk of thy righteousness all the day long: for they are confounded, for they are brought to shame, that seek my hurt.
