[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 1] Shiggaion of David, which he sang to the LORD, concerning the words of Cush the Benjaminite. O LORD my God, in thee do I put my trust: save me from all them that persecute me, and deliver me:
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 2] Lest he tear my soul like a lion, rending it in pieces, while there is none to deliver.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 3] O LORD my God, if I have done this; if there is iniquity in my hands;
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 4] If I have rewarded evil to him that was at peace with me; (yes, I have delivered him that without cause is my enemy:)
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 5] Let the enemy persecute my soul, and take it ; yes, let him tread down my life upon the earth, and lay my honor in the dust. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 6] Arise, O LORD, in thy anger, lift up thyself because of the rage of my enemies: and awake for me to the judgment that thou hast commanded.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 7] So shall the congregation of the people encompass thee: for their sakes therefore return thou on high.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 8] The LORD shall judge the people: judge me, O LORD, according to my righteousness, and according to my integrity that is in me.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 9] Oh let the wickedness of the wicked come to an end; but establish the just: for the righteous God trieth the hearts and reins.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 10] My defense is from God, who saveth the upright in heart.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 11] God judgeth the righteous, and God is angry with the wicked every day.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 12] If he turn not, he will whet his sword; he hath bent his bow, and made it ready.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 13] He hath also prepared for him the instruments of death; he ordaineth his arrows against the persecutors.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 14] Behold, he travaileth with iniquity, and hath conceived mischief, and brought forth falsehood.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 15] He made a pit, and digged it, and hath fallen into the ditch which he made.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 16] His mischief shall return upon his own head, and his violent dealing shall come down upon his own pate.
[WEBSTER | EN | OT | Psalms | Chapter 7 | Verse 17] I will praise the LORD according to his righteousness: and will sing praise to the name of the LORD most high.
