[WEBSTER | EN | OT | Psalms | Chapter 76 | Verse 1] To the chief Musician on Neginoth, A Psalm or Song of Asaph. In Judah is God known: his name is great in Israel.
[WEBSTER | EN | OT | Psalms | Chapter 76 | Verse 2] In Salem also is his tabernacle, and his dwelling place in Zion.
[WEBSTER | EN | OT | Psalms | Chapter 76 | Verse 3] There he broke the arrows of the bow, the shield, and the sword, and the battle. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 76 | Verse 4] Thou art more glorious and excellent than the mountains of prey.
[WEBSTER | EN | OT | Psalms | Chapter 76 | Verse 5] The stout-hearted are spoiled, they have slept their sleep: and none of the men of might have found their hands.
[WEBSTER | EN | OT | Psalms | Chapter 76 | Verse 6] At thy rebuke, O God of Jacob, both the chariot and horse are cast into a dead sleep.
[WEBSTER | EN | OT | Psalms | Chapter 76 | Verse 7] Thou, even thou, art to be feared: and who may stand in thy sight when once thou art angry?
[WEBSTER | EN | OT | Psalms | Chapter 76 | Verse 8] Thou didst cause judgment to be heard from heaven; the earth feared, and was still,
[WEBSTER | EN | OT | Psalms | Chapter 76 | Verse 9] When God arose to judgment, to save all the meek of the earth. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 76 | Verse 10] Surely the wrath of man shall praise thee: the remainder of wrath wilt thou restrain.
[WEBSTER | EN | OT | Psalms | Chapter 76 | Verse 11] Vow, and pay to the LORD your God: let all that are about him bring presents to him that ought to be feared.
[WEBSTER | EN | OT | Psalms | Chapter 76 | Verse 12] He shall cut off the spirit of princes: he is terrible to the kings of the earth.
