[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 1] To the chief Musician for the sons of Korah, Maschil. We have heard with our ears, O God, our fathers have told us, what work thou didst in their days, in the times of old.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 2] How thou didst drive out the heathen with thy hand, and didst plant them; how thou didst afflict the people, and cast them out.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 3] For they obtained not the land in possession by their own sword, neither did their own arm save them: but thy right hand, and thy arm, and the light of thy countenance, because thou hadst a favor to them.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 4] Thou art my King, O God: command deliverances for Jacob.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 5] Through thee will we push down our enemies: through thy name we will tread them under that rise up against us.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 6] For I will not trust in my bow, neither shall my sword save me.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 7] But thou hast saved us from our enemies, and hast put them to shame that hated us.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 8] In God we boast all the day long, and praise thy name for ever. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 9] But thou hast cast off, and put us to shame; and goest not forth with our armies.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 10] Thou makest us to turn back from the enemy: and they who hate us plunder for themselves.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 11] Thou hast given us like sheep appointed for food; and hast scattered us among the heathen.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 12] Thou sellest thy people for naught, and dost not increase thy wealth by their price.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 13] Thou makest us a reproach to our neighbors, a scorn and a derision to them that are around us.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 14] Thou makest us a by-word among the heathen, a shaking of the head among the people.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 15] My confusion is continually before me, and the shame of my face hath covered me,
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 16] For the voice of him that reproacheth and blasphemeth; by reason of the enemy and avenger.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 17] All this is come upon us; yet we have not forgotten thee, neither have we dealt falsely in thy covenant.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 18] Our heart is not turned back, neither have our steps declined from thy way;
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 19] Though thou hast severely broke us in the place of dragons, and covered us with the shades of death.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 20] If we have forgotten the name of our God, or stretched out our hands to a strange god;
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 21] Will not God search out this? for he knoweth the secrets of the heart.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 22] Yes, for thy sake are we killed all the day long; we are counted as sheep for the slaughter.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 23] Awake, why sleepest thou, O LORD? arise, cast us not off for ever.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 24] Why hidest thou thy face, and forgettest our affliction and our oppression?
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 25] For our soul is bowed down to the dust: our belly cleaveth to the earth.
[WEBSTER | EN | OT | Psalms | Chapter 44 | Verse 26] Arise for our help, and redeem us for thy mercies' sake.
