[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 1] A prayer of Moses the man of God. LORD, thou hast been our dwelling-place in all generations.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 2] Before the mountains were brought forth, or ever thou hadst formed the earth and the world, even from everlasting to everlasting, thou art God.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 3] Thou turnest man to destruction; and sayest, Return, ye children of men.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 4] For a thousand years in thy sight are but as yesterday when it is past, and as a watch in the night.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 5] Thou carriest them away as with a flood; they are as a sleep; in the morning they are like grass which groweth.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 6] In the morning it flourisheth, and groweth; in the evening it is cut down, and withereth.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 7] For we are consumed by thy anger, and by thy wrath are we troubled.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 8] Thou hast set our iniquities before thee, our secret sins in the light of thy countenance.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 9] For all our days are passed away in thy wrath: we spend our years, as a tale that is told .
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 10] The days of our years are seventy years; and if by reason of strength they are eighty years, yet is their strength labor and sorrow; for it is soon cut off, and we fly away.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 11] Who knoweth the power of thy anger? even according to thy fear, so is thy wrath.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 12] So teach us to number our days, that we may apply our hearts to wisdom.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 13] Return, O LORD, how long? and repent thou concerning thy servants.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 14] O satisfy us early with thy mercy; that we may rejoice and be glad all our days.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 15] Make us glad according to the days in which thou hast afflicted us, and the years in which we have seen evil.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 16] Let thy work appear to thy servants, and thy glory to their children.
[WEBSTER | EN | OT | Psalms | Chapter 90 | Verse 17] And let the beauty of the LORD our God be upon us: and establish thou the work of our hands upon us; yes, the work of our hands establish thou it.
