[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 1] Maschil of Asaph. O God, why hast thou cast us off for ever? why doth thy anger smoke against the sheep of thy pasture?
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 2] Remember thy congregation, which thou hast purchased of old: the rod of thy inheritance, which thou hast redeemed; this mount Zion, in which thou hast dwelt.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 3] Lift up thy feet to the perpetual desolations; even all that the enemy hath done wickedly in the sanctuary.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 4] Thy enemies roar in the midst of thy congregations; they set up their ensigns for signs.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 5] A man was famous according as he had lifted up axes upon the thick trees.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 6] But now they break down the carved work of it at once with axes and hammers.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 7] They have cast fire into thy sanctuary, they have defiled by casting down the dwelling-place of thy name to the ground.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 8] They said in their hearts, Let us destroy them together: they have burned up all the synagogues of God in the land.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 9] We see not our signs: there is no more any prophet: neither is there among us any that knoweth how long.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 10] O God, how long shall the adversary reproach? shall the enemy blaspheme thy name for ever?
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 11] Why withdrawest thou thy hand, even thy right hand? pluck it out of thy bosom.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 12] For God is my King of old, working salvation in the midst of the earth.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 13] Thou didst divide the sea by thy strength: thou didst break the heads of the dragons in the waters.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 14] Thou didst break the head of leviathan in pieces, and didst give him to be food to the people inhabiting the wilderness.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 15] Thou didst cleave the fountain and the flood: thou didst dry up mighty rivers.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 16] The day is thine, the night also is thine: thou hast prepared the light and the sun.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 17] Thou hast set all the borders of the earth: thou hast made summer and winter.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 18] Remember this, the enemy hath reproached, O LORD, and the foolish people have blasphemed thy name.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 19] O deliver not the soul of thy turtle dove to the multitude of the wicked : forget not the congregation of thy poor for ever.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 20] Have respect to the covenant: for the dark places of the earth are full of the habitations of cruelty.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 21] O let not the oppressed return ashamed: let the poor and needy praise thy name.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 22] Arise, O God, plead thy own cause: remember how the foolish man reproacheth thee daily.
[WEBSTER | EN | OT | Psalms | Chapter 74 | Verse 23] Forget not the voice of thy enemies: the tumult of those that rise against thee increaseth continually.
