[IRV | BN | OT | Isaiah | Chapter 26 | Verse 1] সেই দিন যিহূদা দেশে এই গীত গান করা হবে; আমাদের এক মজবুত শহর আছে; তিনি পরিত্রাণকে দেয়াল ও বেড়ার মত করবেন।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 2] তোমার প্রধান দরজা সব খোল, বিশ্বস্ততা-পালনকারী ধার্মিক জাতি প্রবেশ করবে।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 3] যার মন তোমার সুস্থির, তুমি তাকে শান্তিতে, শান্তিতেই রাখবে, কারণ তোমাতেই তার নির্ভর।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 4] তোমরা সবদিন সদাপ্রভুতে নির্ভর কর; কারণ সদাপ্রভু যিহোবাই চিরস্থায়ী পাথর।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 5] কারণ তিনি ওপরের লোকদেরকে, উন্নত শহরকে, অবনত করেছেন; তিনি তা অবনত করেন অবনত করে ধ্বংস করেন, ধূলোয় মিশিয়ে দেন।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 6] লোকদের পা–দুঃখীদের পা ও গরিবদের পদক্ষেপ–তা পদদলিত করবে।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 7] ধার্ম্মিকের পথ ধার্ম্মিকতায়, তুমি ধার্ম্মিকের মার্গ সব সমান করে সোজা করেছ।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 8] হ্যাঁ, আমরা তোমার শাসন পথেই, হে সদাপ্রভু, তোমার অপেক্ষায় আছি; আমাদের প্রাণ তোমার নামের ও তোমার স্মরণ চিহ্নের অপেক্ষা করে।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 9] রাতে আমি প্রাণের সঙ্গে তোমার অপেক্ষা করেছি; হ্যাঁ, সযত্নে আমার হৃদয় দিয়ে তোমার খোঁজ করব, কারণ পৃথিবীতে তোমার শাসন প্রচলিত হলে, পৃথিবীর লোকেরা ধার্মিকতার বিষয়ে শিখবে।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 10] দুষ্ট লোক দয়া পেলেও ধার্ম্মিকতা শেখে না; সরলতার দেশে সে অন্যায় করে, সদাপ্রভুর মহিমা দেখে না।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 11] হে সদাপ্রভু, তোমার হাত উঠেছে, তবু তারা দেখেনি; কিন্তু তারা লোকদের জন্যে তোমার উদ্যোগ দেখবে ও লজ্জা পাবে, হ্যাঁ, আগুন তোমার বিপক্ষদেরকে পুড়িয়ে দেবে।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 12] হে সদাপ্রভু, তুমি আমাদের জন্য শান্তি নির্ধারণ করবে, কারণ আমাদের সমস্ত কাজই তুমি আমাদের জন্য করে আসছ।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 13] হে আমাদের ঈশ্বর সদাপ্রভু, তুমি ছাড়া অন্য প্রভুরা আমাদের ওপরে শাসন করেছিল; কিন্তু শুধু তোমারই সাহায্যে আমরা তোমার নামের গান করব।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 14] মৃতেরা আর জীবিত হবে না, প্রেতরা আর উঠবে না; এই জন্য তুমি প্রতিফল দিয়ে ওদেরকে ধ্বংস করেছ, তাদের প্রত্যেক স্মৃতি ধ্বংস করেছ।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 15] তুমি এই জাতির বৃদ্ধি করেছ, হে সদাপ্রভু, তুমি এই জাতির বৃদ্ধি করেছ; তুমি মহিমান্বিত হয়েছ, তুমি দেশের সব সীমা বিস্তার করেছ।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 16] হে সদাপ্রভু, বিপদের দিনের লোকেরা তোমার অপেক্ষায় ছিল, তোমার থেকে শাস্তি পাবার দিনের নিচু গলায় অনুরোধ করত।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 17] গর্ভবতী স্ত্রী আগত প্রসবের দিনের ব্যথা খেতে খেতে যেমন কাঁদে, হে সদাপ্রভু, আমরা তোমার সামনে তার মত হয়েছি।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 18] আমরা গর্ভবতী হয়েছি, আমরা ব্যথা খেয়েছি. যেন বায়ু প্রসব করেছি; আমাদের দ্বারা দেশে পরিত্রান সম্পন্ন হয়নি।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 19] তোমার মৃতেরা জীবিত হবে, আমার মৃতদেহগুলি উঠবে; হে ধূলো-নিবাসীরা, তোমরা জেগে ওঠো, আনন্দের গান কর; কারণ তোমার শিশির আলোর শিশিরের মত এবং ভূমি প্রেতদেরকে জন্ম দেবে।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 20] হে আমার জাতি, চল, তোমার ঘরে ঢোক, তোমার দরজা সব বন্ধ কর; অল্পদিনের র জন্য লুকিয়ে থাক, যে পর্যন্ত ক্রোধ না শেষ হয়।
[IRV | BN | OT | Isaiah | Chapter 26 | Verse 21] কারণ দেখ, সদাপ্রভু নিজের জায়গা থেকে চলে যাচ্ছেন, পৃথিবী-নিবাসীদের অপরাধের প্রতিফল দেবার জন্য; পৃথিবী নিজের ওপর পতিত রক্ত প্রকাশ করবে, নিজের নিহতদেরকে আর ঢেকে রাখবে না।
