[IRV | BN | OT | Isaiah | Chapter 9 | Verse 1] কিন্তু সে দেশ আগে কষ্টের মধ্যে ছিল তার অন্ধকার আর থাকবে না; তিনি আগেকার দিনের ঈশ্বর সবূলূন দেশ ও নপ্তালি দেশকে নীচু করেছিলেন, কিন্তু পরে সমুদ্রের কাছাকাছি সেই রাস্তা, যর্দ্দন তীরবর্তী দেশ, জাতিদের গালীলকে সম্মানিত করেছেন।
[IRV | BN | OT | Isaiah | Chapter 9 | Verse 2] যে জাতি অন্ধকারে চলত তারা মহা আলো দেখতে পেয়েছে; যারা মৃত্যুর ছায়ার দেশে বাস করত তাদের ওপরে আলো উঠেছে।
[IRV | BN | OT | Isaiah | Chapter 9 | Verse 3] তুমি সেই জাতি বড় করেছ, তাদের আনন্দ বাড়িয়েছ; তারা তোমার ফসল কাটার দিনের র মতো আনন্দ করে, যেমন লুটের মাল ভাগের দিন উল্লাসিত হয়।
[IRV | BN | OT | Isaiah | Chapter 9 | Verse 4] কারণ তুমি তাঁর ভারের যোঁয়ালী, তাঁর কাঁধের বাঁক, তাঁর অত্যাচারকারী লাঠি ভেঙে ফেলেছেন, যেমন মিদিয়নের দিনের করেছিলে।
[IRV | BN | OT | Isaiah | Chapter 9 | Verse 5] কারণ যুদ্ধের সজ্জিত লোকের সমস্ত সজ্জা ও রক্তে রঞ্জিত পোশাক সব পোড়ার জিনিস হবে আগুনের দাহ্য হিসাবে হবে।
[IRV | BN | OT | Isaiah | Chapter 9 | Verse 6] কারণ একটি বালক আমাদের জন্য জন্মগ্রহণ করেছেন, একটি পুত্র আমাদেরকে দেওয়া হয়েছে। তারই কাঁধে শাসনভার থাকবে তার নাম আশ্চর্য্য মন্ত্রী, শক্তিশালী ঈশ্বর, চিরস্থায়ী পিতা, শান্তির রাজা।
[IRV | BN | OT | Isaiah | Chapter 9 | Verse 7] দায়ূদের সিংহাসন ও তাঁর রাজ্যের ওপরে কর্তৃত্ব বৃদ্ধি ও শান্তির সীমা থাকবে না, সুস্থির ও সুদৃঢ় করা হয়, ন্যায়বিচারে ও ধার্মিকতার সঙ্গে এখন থেকে অনন্তকাল পর্যন্ত। বাহিনীদের সদাপ্রভুর উদ্যোগে এটা করবে।
[IRV | BN | OT | Isaiah | Chapter 9 | Verse 8] প্রভু যাকোবের কাছে এক বাক্য পাঠিয়েছেন তা ইস্রায়েলের ওপরে পড়েছে।
[IRV | BN | OT | Isaiah | Chapter 9 | Verse 9] [দেশের] সব লোক, ইফ্রয়িম ও শমরিয়ার সব বাসিন্দারা, তা জানতে পারবে; তারা অহঙ্কারে ও হৃদয়ের গর্বে বলছে,
[IRV | BN | OT | Isaiah | Chapter 9 | Verse 10] “ইটগুলো পড়েছে, কিন্তু আমরা খোদাই করা পাথরে গাঁথব; সব ডুমুর গাছের কাঠ কেটে ফেলা হয়েছে, কিন্তু আমরা তার বদলে এরস কাঠ দেব।”
[IRV | BN | OT | Isaiah | Chapter 9 | Verse 11] অতএব সদাপ্রভু রৎসীনের বিরুদ্ধে তার শত্রুদেরকে তুলবেন আর তার বিরুদ্ধে শত্রুদেরকে উত্তেজিত করেছেন।
