[IRV | HI | NT | Revelation | Chapter 16 | Verse 1] फिर मैंने मन्दिर में किसी को ऊँचे शब्द से उन सातों स्वर्गदूतों से यह कहते सुना, “जाओ, परमेश्वर के प्रकोप के सातों कटोरों को पृथ्वी पर उण्डेल दो।”
[IRV | HI | NT | Revelation | Chapter 16 | Verse 2] अतः पहले स्वर्गदूत ने जाकर अपना कटोरा पृथ्वी पर उण्डेल दिया। और उन मनुष्यों के जिन पर पशु की छाप थी, और जो उसकी मूर्ति की पूजा करते थे, एक प्रकार का बुरा और दुःखदाई फोड़ा निकला। (प्रका. 16:11)
[IRV | HI | NT | Revelation | Chapter 16 | Verse 3] दूसरे स्वर्गदूत ने अपना कटोरा समुद्र पर उण्डेल दिया और वह मरे हुए के लहू जैसा बन गया, और समुद्र में का हर एक जीवधारी मर गया। (प्रका. 8:8)
[IRV | HI | NT | Revelation | Chapter 16 | Verse 4] तीसरे स्वर्गदूत ने अपना कटोरा नदियों, और पानी के सोतों पर उण्डेल दिया, और वे लहू बन गए।
[IRV | HI | NT | Revelation | Chapter 16 | Verse 5] और मैंने पानी के स्वर्गदूत को यह कहते सुना, “हे पवित्र, जो है, और जो था, तू न्यायी है और तूने यह न्याय किया। (प्रका. 11:17)
[IRV | HI | NT | Revelation | Chapter 16 | Verse 6] क्योंकि उन्होंने पवित्र लोगों, और भविष्यद्वक्ताओं का लहू बहाया था, और तूने उन्हें लहू पिलाया; क्योंकि वे इसी योग्य हैं।”
[IRV | HI | NT | Revelation | Chapter 16 | Verse 7] फिर मैंने वेदी से यह शब्द सुना, “हाँ, हे सर्वशक्तिमान प्रभु परमेश्वर, तेरे निर्णय ठीक और सच्चे हैं।” (भज. 119:137, भज. 19:9)
[IRV | HI | NT | Revelation | Chapter 16 | Verse 8] चौथे स्वर्गदूत ने अपना कटोरा सूर्य पर उण्डेल दिया, और उसे मनुष्यों को आग से झुलसा देने का अधिकार दिया गया।
[IRV | HI | NT | Revelation | Chapter 16 | Verse 9] मनुष्य बड़ी तपन से झुलस गए, और परमेश्वर के नाम की जिसे इन विपत्तियों पर अधिकार है, निन्दा की और उन्होंने न मन फिराया और न महिमा की।
[IRV | HI | NT | Revelation | Chapter 16 | Verse 10] पाँचवें स्वर्गदूत ने अपना कटोरा उस पशु के सिंहासन पर उण्डेल दिया और उसके राज्य पर अंधेरा छा गया; और लोग पीड़ा के मारे अपनी-अपनी जीभ चबाने लगे, (मत्ती 13:42)
[IRV | HI | NT | Revelation | Chapter 16 | Verse 11] और अपनी पीड़ाओं और फोड़ों के कारण स्वर्ग के परमेश्वर की निन्दा की; पर अपने-अपने कामों से मन न फिराया।
[IRV | HI | NT | Revelation | Chapter 16 | Verse 12] छठवें स्वर्गदूत ने अपना कटोरा महानदी फरात पर उण्डेल दिया और उसका पानी सूख गया कि पूर्व दिशा के राजाओं के लिये मार्ग तैयार हो जाए। (यशा. 44:27)
[IRV | HI | NT | Revelation | Chapter 16 | Verse 13] और मैंने उस अजगर के मुँह से, और उस पशु के मुँह से और उस झूठे भविष्यद्वक्ता के मुँह से तीन अशुद्ध आत्माओं को मेंढ़कों के रूप में निकलते देखा।
[IRV | HI | NT | Revelation | Chapter 16 | Verse 14] ये चिन्ह दिखानेवाली दुष्टात्माएँ हैं, जो सारे संसार के राजाओं के पास निकलकर इसलिए जाती हैं, कि उन्हें सर्वशक्तिमान परमेश्वर के उस बड़े दिन की लड़ाई के लिये इकट्ठा करें।
[IRV | HI | NT | Revelation | Chapter 16 | Verse 15] “देख, मैं चोर के समान आता हूँ; धन्य वह है, जो जागता रहता है, और अपने वस्त्र कि सावधानी करता है कि नंगा न फिरे, और लोग उसका नंगापन न देखें।”
[IRV | HI | NT | Revelation | Chapter 16 | Verse 16] और उन्होंने राजाओं को उस जगह इकट्ठा किया, जो इब्रानी में हर-मगिदोन कहलाता है।
[IRV | HI | NT | Revelation | Chapter 16 | Verse 17] और सातवें स्वर्गदूत ने अपना कटोरा हवा पर उण्डेल दिया, और मन्दिर के सिंहासन से यह बड़ा शब्द हुआ, “हो चुका।”
[IRV | HI | NT | Revelation | Chapter 16 | Verse 18] फिर बिजलियाँ, और शब्द, और गर्जन हुए, और एक ऐसा बड़ा भूकम्प हुआ, कि जब से मनुष्य की उत्पत्ति पृथ्वी पर हुई, तब से ऐसा बड़ा भूकम्प कभी न हुआ था। (मत्ती 24:21)
[IRV | HI | NT | Revelation | Chapter 16 | Verse 19] इससे उस बड़े नगर के तीन टुकडे़ हो गए, और जाति-जाति के नगर गिर पड़े, और बड़े बाबेल का स्मरण परमेश्वर के यहाँ हुआ, कि वह अपने क्रोध की जलजलाहट की मदिरा उसे पिलाए।
[IRV | HI | NT | Revelation | Chapter 16 | Verse 20] और हर एक टापू अपनी जगह से टल गया, और पहाड़ों का पता न लगा।
[IRV | HI | NT | Revelation | Chapter 16 | Verse 21] और आकाश से मनुष्यों पर मन-मन भर के बड़े ओले गिरे, और इसलिए कि यह विपत्ति बहुत ही भारी थी, लोगों ने ओलों की विपत्ति के कारण परमेश्वर की निन्दा की।
