[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 1] Hear the word of the LORD, ye children of Israel: for the LORD hath a controversy with the inhabitants of the land, because there is no truth, nor mercy, nor knowledge of God in the land.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 2] By swearing, and lying, and killing, and stealing, and committing adultery, they break out, and blood toucheth blood.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 3] Therefore shall the land mourn, and every one that dwelleth in it shall languish, with the beasts of the field, and with the fowls of heaven; yes, the fishes of the sea also shall be taken away.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 4] Yet let no man contend, nor reprove another: for thy people are as they that contend with the priest.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 5] Therefore shalt thou fall in the day, and the prophet also shall fall with thee in the night, and I will destroy thy mother.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 6] My people are destroyed for lack of knowledge: because thou hast rejected knowledge, I will also reject thee, that thou shalt be no priest to me: seeing thou hast forgotten the law of thy God, I will also forget thy children.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 7] As they were increased, so they sinned against me: therefore will I change their glory into shame.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 8] They eat up the sin of my people, and they set their heart on their iniquity.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 9] And there shall be, like people, like priest: and I will punish them for their ways, and reward them their doings.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 10] For they shall eat, and not have enough: they shall be guilty of lewdness, and shall not increase: because they have ceased to take heed to the LORD.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 11] Lewdness and wine and new wine take away the heart.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 12] My people ask counsel at their stocks, and their staff declareth to them: for the spirit of lewdness hath caused them to err, and they have gone astray from under their God.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 13] They sacrifice upon the tops of the mountains, and burn incense upon the hills, under oaks and poplars and elms, because the shade of them is agreeable: therefore your daughters shall be guilty of lewdness, and your spouses shall commit adultery.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 14] I will not punish your daughters when they are guilty of lewdness, nor your spouses when they commit adultery: for they themselves are separated with prostitutes, and they sacrifice with harlots: therefore the people that doth not understand shall fall.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 15] Though thou, Israel, playest the harlot, yet let not Judah offend; and come not ye to Gilgal, neither go ye up to Beth-aven, nor swear, The LORD liveth.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 16] For Israel slideth back as a backsliding heifer: now the LORD will feed them as a lamb in a large place.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 17] Ephraim is joined to idols: let him alone.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 18] Their drink is sour: they have been guilty of lewd deeds continually: her rulers with shame do love, Give ye.
[WEBSTER | EN | OT | Hosea | Chapter 4 | Verse 19] The wind hath bound her up in her wings, and they shall be ashamed because of their sacrifices.
