[WEBSTER | EN | OT | Hosea | Chapter 6 | Verse 1] Come, and let us return to the LORD: for he hath torn, and he will heal us; he hath smitten, and he will bind us up.
[WEBSTER | EN | OT | Hosea | Chapter 6 | Verse 2] After two days will he revive us: in the third day will he raise us up, and we shall live in his sight.
[WEBSTER | EN | OT | Hosea | Chapter 6 | Verse 3] Then shall we know, if we follow on to know the LORD: his going forth is prepared as the morning; and he will come to us as the rain, as the latter and former rain to the earth.
[WEBSTER | EN | OT | Hosea | Chapter 6 | Verse 4] O Ephraim, what shall I do to thee? O Judah, what shall I do to thee? for your goodness is as the morning cloud, and as the early dew it goeth away.
[WEBSTER | EN | OT | Hosea | Chapter 6 | Verse 5] Therefore have I hewed them by the prophets; I have slain them by the words of my mouth: and thy judgments are as the light that goeth forth.
[WEBSTER | EN | OT | Hosea | Chapter 6 | Verse 6] For I desired mercy, and not sacrifice: and the knowledge of God more than burnt-offerings.
[WEBSTER | EN | OT | Hosea | Chapter 6 | Verse 7] But they like men have transgressed the covenant: there have they dealt treacherously against me.
[WEBSTER | EN | OT | Hosea | Chapter 6 | Verse 8] Gilead is a city of them that work iniquity, and is polluted with blood.
[WEBSTER | EN | OT | Hosea | Chapter 6 | Verse 9] And as troops of robbers wait for a man, so the company of priests murder in the way by consent: for they commit lewdness.
[WEBSTER | EN | OT | Hosea | Chapter 6 | Verse 10] I have seen a horrible thing in the house of Israel: there is the prostitution of Ephraim, Israel is defiled.
[WEBSTER | EN | OT | Hosea | Chapter 6 | Verse 11] Also, O Judah, he hath set a harvest for thee, when I returned the captivity of my people.
