[IRV | UR | OT | Job | Chapter 12 | Verse 1] तब अय्यूब ने जवाब दिया,
[IRV | UR | OT | Job | Chapter 12 | Verse 2] बेशक आदमी तो तुम ही हो “ और हिकमत तुम्हारे ही साथ मरेगी।
[IRV | UR | OT | Job | Chapter 12 | Verse 3] लेकिन मुझ में भी समझ है, जैसे तुम में है, मैं तुम से कम नहीं। भला ऐसी बातें जैसी यह हैं, कौन नहीं जानता?
[IRV | UR | OT | Job | Chapter 12 | Verse 4] मैं उस आदमी की तरह हूँ जो अपने पड़ोसी के लिए हँसी का निशाना बना है। मैं वह आदमी था जो ख़ुदा से दुआ करता और वह उसकी सुन लेता था। रास्तबाज़ और कामिल आदमी हँसी का निशाना होता ही है।
[IRV | UR | OT | Job | Chapter 12 | Verse 5] जो चैन से है उसके ख़्याल में दुख के लिए हिकारत होती है; यह उनके लिए तैयार रहती है जिनका पाँव फिसलता है।
[IRV | UR | OT | Job | Chapter 12 | Verse 6] डाकुओं के ख़ेमे सलामत रहते हैं, और जो ख़ुदा को गु़स्सा दिलाते हैं, वह महफू़ज़ रहते हैं; उन ही के हाथ को ख़ुदा ख़ूब भरता है।
[IRV | UR | OT | Job | Chapter 12 | Verse 7] हैवानों से पूछ और वह तुझे सिखाएँगे, और हवा के परिन्दों से दरियाफ़्त कर और वह तुझे बताएँगे।
[IRV | UR | OT | Job | Chapter 12 | Verse 8] या ज़मीन से बात कर, वह तुझे सिखाएगी; और समन्दर की मछलियाँ तुझ से बयान करेंगी।
[IRV | UR | OT | Job | Chapter 12 | Verse 9] कौन नहीं जानता कि इन सब बातों में ख़ुदावन्द ही का हाथ है जिसने यह सब बनाया?
[IRV | UR | OT | Job | Chapter 12 | Verse 10] उसी के हाथ में हर जानदार की जान, और कुल बनी आदम की जान ताक़त है।
[IRV | UR | OT | Job | Chapter 12 | Verse 11] क्या कान बातों को नहीं परख लेता, जैसे ज़बान खाने को चख लेती है?
[IRV | UR | OT | Job | Chapter 12 | Verse 12] बुड्ढों में समझ होती है , और उम्र की दराज़ी में समझदारी।
[IRV | UR | OT | Job | Chapter 12 | Verse 13] ख़ुदा में समझ और कु़व्वत है, उसके पास मसलहत और समझ है।
[IRV | UR | OT | Job | Chapter 12 | Verse 14] देखो, वह ढा देता है तो फिर बनता नहीं। वह आदमी को बंद कर देता है, तो फिर खुलता नहीं।
[IRV | UR | OT | Job | Chapter 12 | Verse 15] देखो, वह मेंह को रोक लेता है, तो पानी सूख जाता है। फिर जब वह उसे भेजता है, तो वह ज़मीन को उलट देता है।
[IRV | UR | OT | Job | Chapter 12 | Verse 16] उसमें ताक़त और ता'सीर की कु़व्वत है। धोका खाने वाला और धोका देने वाला दोनों उसी के हैं।
[IRV | UR | OT | Job | Chapter 12 | Verse 17] वह सलाहकारों को लुटवा कर ग़ुलामी में ले जाता है, और 'अदालत करने वालों को बेवकू़फ़ बना देता है।
[IRV | UR | OT | Job | Chapter 12 | Verse 18] वह शाही बन्धनों को खोल डालता है, और बादशाहों की कमर पर पटका बाँधता है।
[IRV | UR | OT | Job | Chapter 12 | Verse 19] वह काहिनों को लुटवाकर ग़ुलामी में ले जाता, और ज़बरदस्तों को पछाड़ देता है।
[IRV | UR | OT | Job | Chapter 12 | Verse 20] वह 'ऐतमाद वाले की क़ुव्वत — ए — गोयाई दूर करता और बुज़ुर्गों की समझदारी को' छीन लेता है।
[IRV | UR | OT | Job | Chapter 12 | Verse 21] वह हाकिमों पर हिकारत बरसाता, और ताक़तवरों की कमरबंद को खोल डालता' है।
[IRV | UR | OT | Job | Chapter 12 | Verse 22] वह अँधेरे में से गहरी बातों को ज़ाहिर करता, और मौत के साये को भी रोशनी में ले आता है
[IRV | UR | OT | Job | Chapter 12 | Verse 23] वह क़ौमों को बढ़ाकर उन्हें हलाक कर डालता है; वह क़ौमों को फैलाता और फिर उन्हें समेट लेता है।
[IRV | UR | OT | Job | Chapter 12 | Verse 24] वह ज़मीन की क़ौमों के सरदारों की 'अक़्ल उड़ा देता और उन्हें ऐसे वीरान में भटका देता है जहाँ रास्ता नहीं।
[IRV | UR | OT | Job | Chapter 12 | Verse 25] वह रोशनी के बगै़र तारीकी में टटोलते फिरते हैं, और वह उन्हें ऐसा बना देता है कि मतवाले की तरह लड़खड़ाते हुए चलते हैं।
