[IRV | UR | OT | Job | Chapter 40 | Verse 1] ख़ुदावन्द ने अय्यूब से यह भी कहा,
[IRV | UR | OT | Job | Chapter 40 | Verse 2] “क्या जो फु़जू़ल हुज्जत करता है वह क़ादिर — ए — मुतलक़ से झगड़ा करे? जो ख़ुदा से बहस करता है, वह इसका जवाब दे।”
[IRV | UR | OT | Job | Chapter 40 | Verse 3] अय्यूब का जवाब तब अय्यूब ने ख़ुदावन्द को जवाब दिया,
[IRV | UR | OT | Job | Chapter 40 | Verse 4] “देख, मैं नाचीज़ हूँ! मैं तुझे क्या जवाब दूँ? मैं अपना हाथ अपने मुँह पर रखता हूँ।
[IRV | UR | OT | Job | Chapter 40 | Verse 5] अब जवाब न दूँगा; एक बार मैं बोल चुका, बल्कि दो बार लेकिन अब आगे न बढ़ूँगा।”
[IRV | UR | OT | Job | Chapter 40 | Verse 6] तब ख़ुदावन्द ने अय्यूब को बगोले में से जवाब दिया,
[IRV | UR | OT | Job | Chapter 40 | Verse 7] मर्द की तरह अब अपनी कमर कस ले, मैं तुझ से सवाल करता हूँ और तू मुझे बता।
[IRV | UR | OT | Job | Chapter 40 | Verse 8] क्या तू मेरे इन्साफ़ को भी बातिल ठहराएगा?
[IRV | UR | OT | Job | Chapter 40 | Verse 9] क्या तू मुझे मुजरिम ठहराएगा ताकि ख़ुद रास्त ठहरे? या क्या तेरा बाज़ू ख़ुदा के जैसा है? और क्या तू उसकी तरह आवाज़ से गरज़ सकता है?
[IRV | UR | OT | Job | Chapter 40 | Verse 10] 'अब अपने को शान — ओ — शौकत से आरास्ता कर, और 'इज़्जत — ओ — जलाल से मुलब्बस हो जा।
[IRV | UR | OT | Job | Chapter 40 | Verse 11] अपने क़हर के सैलाबों को बहा दे, और हर मग़रूर को देख और ज़लील कर।
[IRV | UR | OT | Job | Chapter 40 | Verse 12] हर मग़रूर को देख और उसे नीचा कर, और शरीरों को जहाँ खड़े हों पामाल कर दे।
[IRV | UR | OT | Job | Chapter 40 | Verse 13] उनको इकट्ठा मिट्टी में छिपा दे, और उस पोशीदा मक़ाम में उनके मुँह बाँध दे।
[IRV | UR | OT | Job | Chapter 40 | Verse 14] तब मैं भी तेरे बारे में मान लूँगा, कि तेरा ही दहना हाथ तुझे बचा सकता है।
[IRV | UR | OT | Job | Chapter 40 | Verse 15] 'अब हिप्पो पोटीमस' को देख, जिसे मैंने तेरे साथ बनाया; वह बैल की तरह घास खाता है।
[IRV | UR | OT | Job | Chapter 40 | Verse 16] देख, उसकी ताक़त उसकी कमर में है, और उसका ज़ोर उसके पेट के पट्ठों में।
[IRV | UR | OT | Job | Chapter 40 | Verse 17] वह अपनी दुम को देवदार की तरह हिलाता है, उसकी रानों की नसे एक साथ पैवस्ता हैं।
[IRV | UR | OT | Job | Chapter 40 | Verse 18] उसकी हड्डियाँ पीतल के नलों की तरह हैं, उसके आ'ज़ा लोहे के बेन्डों की तरह हैं।
[IRV | UR | OT | Job | Chapter 40 | Verse 19] वह ख़ुदा की ख़ास सन'अत' है; उसके ख़ालिक़ ही ने उसे तलवार बख़्शी है।
[IRV | UR | OT | Job | Chapter 40 | Verse 20] यक़ीनन टीले उसके लिए ख़ूराक एक साथ पहुँचाते हैं जहाँ मैदान के सब जानवर खेलते कूदते हैं।
[IRV | UR | OT | Job | Chapter 40 | Verse 21] वह कंवल के दरख़्त के नीचे लेटता है, सरकंडों की आड़ और दलदल में।
[IRV | UR | OT | Job | Chapter 40 | Verse 22] कंवल के दरख़्त उसे अपने साये के नीचे छिपा लेते हैं। नाले के बीदे उसे घेर लेतीं हैं।
[IRV | UR | OT | Job | Chapter 40 | Verse 23] देख, अगर दरिया में बाढ़ हो तो वह नहीं काँपता चाहे यरदन उसके मुँह तक चढ़ आये वह बे खौफ़ है।
[IRV | UR | OT | Job | Chapter 40 | Verse 24] जब वह होशियार हो, तो क्या कोई उसे पकड़ लेगा; या फंदा लगाकर उसकी नाक को छेदेगा?
