[IRV | UR | OT | Job | Chapter 34 | Verse 1] इसके 'अलावा इलीहू ने यह भी कहा,
[IRV | UR | OT | Job | Chapter 34 | Verse 2] “ऐ तुम 'अक़्लमन्द लोगों, मेरी बातें सुनो, और ऐ तुम जो अहल — ए — 'इल्म हो, मेरी तरफ़ कान लगाओ;
[IRV | UR | OT | Job | Chapter 34 | Verse 3] क्यूँकि कान बातों को परखता है, जैसे ज़बान' खाने को चखती है।
[IRV | UR | OT | Job | Chapter 34 | Verse 4] जो कुछ ठीक है, हम अपने लिए चुन लें, जो भला है, हम आपस में जान लें।
[IRV | UR | OT | Job | Chapter 34 | Verse 5] क्यूँकि अय्यूब ने कहा, 'मैं सादिक़ हूँ, और ख़ुदा ने मेरी हक़ तल्फ़ी की है।
[IRV | UR | OT | Job | Chapter 34 | Verse 6] अगरचे मैं हक़ पर हूँ, तोभी झूटा ठहरता हूँ जबकि मैं बेक़ुसूर हूँ, मेरा ज़ख़्म ला 'इलाज है।
[IRV | UR | OT | Job | Chapter 34 | Verse 7] अय्यूब जैसा बहादुर कौन है, जो मज़ाक़ को पानी की तरह पी जाता है?
[IRV | UR | OT | Job | Chapter 34 | Verse 8] जो बदकिरदारों की रफ़ाफ़त में चलता है, और शरीर लोगों के साथ फिरता है।
[IRV | UR | OT | Job | Chapter 34 | Verse 9] क्यूँकि उसने कहा है, कि 'आदमी को कुछ फ़ायदा नहीं कि वह ख़ुदा में ख़ुश है।”
[IRV | UR | OT | Job | Chapter 34 | Verse 10] “इसलिए ऐ अहल — ए — अक़्ल मेरी सुनो, यह हरगिज़ हो नहीं सकता कि ख़ुदा शरारत का काम करे, और क़ादिर — ए — मुतलक़ गुनाह करे।
[IRV | UR | OT | Job | Chapter 34 | Verse 11] वह इंसान को उसके आ'माल के मुताबिक़ बदला देगा, वह ऐसा करेगा कि हर किसी को अपनी ही राहों के मुताबिक़ बदला मिलेगा।
[IRV | UR | OT | Job | Chapter 34 | Verse 12] यक़ीनन ख़ुदा बुराई नहीं करेगा; क़ादिर — ए — मुतलक़ से बेइन्साफ़ी न होगी।
