[IRV | UR | OT | Job | Chapter 29 | Verse 1] और अय्यूब फिर अपनी मिसाल लाकर कहने लगा,
[IRV | UR | OT | Job | Chapter 29 | Verse 2] “काश कि मैं ऐसा होता जैसे गुज़रे महीनों में, या'नी जैसा उन दिनों में जब ख़ुदा मेरी हिफ़ाज़त करता था।
[IRV | UR | OT | Job | Chapter 29 | Verse 3] जब उसका चराग़ मेरे सिर पर रोशन रहता था, और मैं अँधेरे में उसके नूर के ज़रिए' से चलता था।
[IRV | UR | OT | Job | Chapter 29 | Verse 4] जैसा में अपनी बरोमन्दी के दिनों में था, जब ख़ुदा की ख़ुशनूदी मेरे ख़ेमे पर थी।
[IRV | UR | OT | Job | Chapter 29 | Verse 5] जब क़ादिर — ए — मुतलक़ भी मेरे साथ था, और मेरे बच्चे मेरे साथ थे।
[IRV | UR | OT | Job | Chapter 29 | Verse 6] जब मेरे क़दम मख्खन से धुलते थे, और चट्टान मेरे लिए तेल की नदियाँ बहाती थी।
[IRV | UR | OT | Job | Chapter 29 | Verse 7] जब मैं शहर के फाटक पर जाता और अपने लिए चौक में बैठक तैयार करता था;
[IRV | UR | OT | Job | Chapter 29 | Verse 8] तो जवान मुझे देखते और छिप जाते, और उम्र रसीदा उठ खड़े होते थे।
[IRV | UR | OT | Job | Chapter 29 | Verse 9] हाकिम बोलना बंद कर देते, और अपने हाथ अपने मुँह पर रख लेते थे।
[IRV | UR | OT | Job | Chapter 29 | Verse 10] रईसों की आवाज़ थम जाती, और उनकी ज़बान तालू से चिपक जाती थी।
[IRV | UR | OT | Job | Chapter 29 | Verse 11] क्यूँकि कान जब मेरी सुन लेता तो मुझे मुबारक कहता था, और आँख जब मुझे देख लेती तो मेरी गावाही देती थी;
[IRV | UR | OT | Job | Chapter 29 | Verse 12] क्यूँकि मैं ग़रीब को जब वह फ़रियाद करता छुड़ाता था और यतीमों को भी जिसका कोई मददगार न था।
[IRV | UR | OT | Job | Chapter 29 | Verse 13] हलाक होनेवाला मुझे दुआ देता था, और मैं बेवा के दिल को ऐसा ख़ुश करता था कि वह गाने लगती थी।
[IRV | UR | OT | Job | Chapter 29 | Verse 14] मैंने सदाक़त को पहना और उससे मुलब्बस हुआ: मेरा इन्साफ़ गोया जुब्बा और 'अमामा था।
[IRV | UR | OT | Job | Chapter 29 | Verse 15] मैं अंधों के लिए आँखें था, और लंगड़ों के लिए पाँव।
[IRV | UR | OT | Job | Chapter 29 | Verse 16] मैं मोहताज का बाप था, और मैं अजनबी के मु'आमिले की भी तहक़ीक़ करता था।
[IRV | UR | OT | Job | Chapter 29 | Verse 17] मैं नारास्त के जबड़ों को तोड़ डालता, और उसके दाँतों से शिकार छुड़ालेता था।
[IRV | UR | OT | Job | Chapter 29 | Verse 18] तब मैं कहता था, कि मैं अपने आशियाने में हूँगा और मैं अपने दिनों को रेत की तरह बे शुमार करूँगा,
[IRV | UR | OT | Job | Chapter 29 | Verse 19] मेरी जड़ें पानी तक फैल गई हैं, और रात भर ओस मेरी शाखों पर रहती है;
[IRV | UR | OT | Job | Chapter 29 | Verse 20] मेरी शौकत मुझ में ताज़ा है, और मेरी कमान मेरे हाथ में नई की जाती है।
[IRV | UR | OT | Job | Chapter 29 | Verse 21] 'लोग मेरी तरफ़ कान लगाते और मुन्तज़िर रहते, और मेरी मशवरत के लिए ख़ामोश हो जाते थे।
[IRV | UR | OT | Job | Chapter 29 | Verse 22] मेरी बातों के बा'द, वह फिर न बोलते थे; और मेरी तक़रीर उन पर टपकती थी
[IRV | UR | OT | Job | Chapter 29 | Verse 23] वह मेरा ऐसा इन्तिज़ार करते थे जैसा बारिश का; और अपना मुँह ऐसा फैलाते थे जैसे पिछले मेंह के लिए।
[IRV | UR | OT | Job | Chapter 29 | Verse 24] जब वह मायूस होते थे तो मैं उन पर मुस्कराता था, और मेरे चेहरे की रोनक की उन्होंने कभी न बिगाड़ा।
[IRV | UR | OT | Job | Chapter 29 | Verse 25] मैं उनकी राह को चुनता, और सरदार की तरह बैठता, और ऐसे रहता था जैसे फ़ौज में बादशाह, और जैसे वह जो ग़मज़दों को तसल्ली देता है।
