[IRV | UR | OT | Job | Chapter 36 | Verse 1] फ़िर इलीहू ने यह भी कहा,
[IRV | UR | OT | Job | Chapter 36 | Verse 2] मुझे ज़रा इजाज़त दे और मैं तुझे बताऊँगा, क्यूँकि ख़ुदा की तरफ़ से मुझे कुछ और भी कहना है
[IRV | UR | OT | Job | Chapter 36 | Verse 3] मैं अपने 'इल्म को दूर से लाऊँगा और रास्ती अपने खालिक़ से मनसूब करूँगा
[IRV | UR | OT | Job | Chapter 36 | Verse 4] क्यूँकि हक़ीक़त में मेरी बातें झूटी नहीं हैं, और जो तेरे साथ है 'इल्म में कामिल हैं।
[IRV | UR | OT | Job | Chapter 36 | Verse 5] देख ख़ुदा क़ादिर है, और किसी को बेकार नहीं जानता वह समझ की क़ुव्वत में ग़ालिब है।
[IRV | UR | OT | Job | Chapter 36 | Verse 6] वह शरीरों की जिंदगी को बरक़रार नहीं रखता , बल्कि मुसीबत ज़दों को उनका हक़ अदा करता है।
[IRV | UR | OT | Job | Chapter 36 | Verse 7] वह सादिक़ों से अपनी आँखे नहीं फेरता, बल्कि उन्हें बादशाहों के साथ हमेशा के लिए तख़्त पर बिठाता है।
[IRV | UR | OT | Job | Chapter 36 | Verse 8] और वह सरफ़राज़ होते हैं और अगर वह बेड़ियों से जकड़े जाएं और मुसीबत की रस्सियों से बंधें,
[IRV | UR | OT | Job | Chapter 36 | Verse 9] तो वह उन्हें उनका 'अमल और उनकी तक्सीरें दिखाता है, कि उन्होंने घमण्ड किया है।
[IRV | UR | OT | Job | Chapter 36 | Verse 10] वह उनके कान को ता'लीम के लिए खोलता है, और हुक्म देता है कि वह गुनाह से बाज़ आयें।
[IRV | UR | OT | Job | Chapter 36 | Verse 11] अगर वह सुन लें और उसकी इबादत करें तो अपने दिन इक़बालमंदी में और अपने बरस खु़शहाली में बसर करेंगे
[IRV | UR | OT | Job | Chapter 36 | Verse 12] लेकिन अगर न सुनें तो वह तलवार से हलाक होंगे, और जिहालत में मरेंगे।
[IRV | UR | OT | Job | Chapter 36 | Verse 13] लेकिन वह जो दिल में बे दीन हैं, ग़ज़ब को रख छोड़ते जब वह उन्हें बांधता है तो वह मदद के लिए दुहाई नहीं देते,
[IRV | UR | OT | Job | Chapter 36 | Verse 14] वह जवानी में मरतें हैं और उनकी ज़िन्दगी छोटों के बीच में बर्बाद होता है।
[IRV | UR | OT | Job | Chapter 36 | Verse 15] वह मुसीबत ज़दह को मुसीबत से छुड़ाता है, और ज़ुल्म में उनके कान खोलता है।
[IRV | UR | OT | Job | Chapter 36 | Verse 16] बल्कि वह तुझे भी दुख से छुटकारा दे कर ऐसी वसी' जगह में जहाँ तंगी नहीं है पहुँचा देता और जो कुछ तेरे दस्तरख़्वान पर चुना जाता है वह चिकनाई से पुर होता है।
[IRV | UR | OT | Job | Chapter 36 | Verse 17] लेकिन तू तो शरीरों के मुक़द्दमा की ता'ईद करता है, इसलिए 'अदल और इन्साफ़ तुझ पर क़ाबिज़ हैं।
[IRV | UR | OT | Job | Chapter 36 | Verse 18] ख़बरदार तेरा क़हर तुझ से तक्फ़ीर न कराए और फ़िदया की फ़रादानी तुझे गुमराह न करे।
[IRV | UR | OT | Job | Chapter 36 | Verse 19] क्या तेरा रोना या तेरा ज़ोर व तवानाई इस बात के लिए काफ़ी है कि तू मुसीबत में न पड़े।
[IRV | UR | OT | Job | Chapter 36 | Verse 20] उस रात की ख़्वाहिश न कर, जिसमें क़ौमें अपने घरों से उठा ली जाती हैं।
[IRV | UR | OT | Job | Chapter 36 | Verse 21] होशियार रह, गुनाह की तरफ़ राग़िब न हो, क्यूँकि तू ने मुसीबत को नहीं बल्कि इसी को चुना है।
[IRV | UR | OT | Job | Chapter 36 | Verse 22] देख, ख़ुदा अपनी क़ुदरत से बड़े — बड़े काम करता है। कौन सा उस्ताद उसकी तरह है?
[IRV | UR | OT | Job | Chapter 36 | Verse 23] किसने उसे उसका रास्ता बताया? या कौन कह सकता है कि तू ने नारास्ती की है?
[IRV | UR | OT | Job | Chapter 36 | Verse 24] 'उसके काम की बड़ाई करना याद रख, जिसकी ता'रीफ़ लोग करते रहे हैं।
[IRV | UR | OT | Job | Chapter 36 | Verse 25] सब लोगों ने इसको देखा है, इंसान उसे दूर से देखता है।
[IRV | UR | OT | Job | Chapter 36 | Verse 26] देख, ख़ुदा बुज़ुर्ग है और हम उसे नहीं जानते, उसके बरसों का शुमार दरियाफ़्त से बाहर है।
[IRV | UR | OT | Job | Chapter 36 | Verse 27] क्यूँकि वह पानी के क़तरों को ऊपर खींचता है, जो उसी के अबख़िरात से मेंह की सूरत में टपकते हैं;
[IRV | UR | OT | Job | Chapter 36 | Verse 28] जिनकी फ़लाक उंडेलते, और इंसान पर कसरत से बरसाते हैं।
[IRV | UR | OT | Job | Chapter 36 | Verse 29] बल्कि क्या कोई बादलों के फैलाव, और उसके शामियाने की गरजों को समझ सकता है?
[IRV | UR | OT | Job | Chapter 36 | Verse 30] देख, वह अपने नूर को अपने चारों तरफ़ फैलाता है, और समन्दर की तह को ढाँकता है।
[IRV | UR | OT | Job | Chapter 36 | Verse 31] क्यूँकि इन्हीं से वह क़ौमों का इन्साफ़ करता है, और ख़ूराक इफ़रात से 'अता फ़रमाता है।
[IRV | UR | OT | Job | Chapter 36 | Verse 32] वह बिजली को अपने हाथों में लेकर, उसे हुक्म देता है कि दुश्मन पर गिरे।
[IRV | UR | OT | Job | Chapter 36 | Verse 33] इसकी कड़क उसी की ख़बर देती है, चौपाये भी तूफ़ान की आमद बताते हैं।
