[IRV | UR | OT | Job | Chapter 3 | Verse 1] इसके बाद अय्यूब ने अपना मुँह खोल कर अपने पैदाइश के दिन पर ला'नत की।
[IRV | UR | OT | Job | Chapter 3 | Verse 2] और अय्यूब कहने लगा:
[IRV | UR | OT | Job | Chapter 3 | Verse 3] “मिट जाए वह दिन जिसमें मैं पैदा हुआ, और वह रात भी जिसमें कहा गया, 'कि देखो, बेटा हुआ।”
[IRV | UR | OT | Job | Chapter 3 | Verse 4] वह दिन अँधेरा हो जाए। ख़ुदा ऊपर से उसका लिहाज़ न करे, और न उस पर रोशनी पड़े।
[IRV | UR | OT | Job | Chapter 3 | Verse 5] अँधेरा और मौत का साया उस पर क़ाबिज़ हो। बदली उस पर छाई रहे और दिन को तारीक कर देनेवाली चीज़ें उसे दहशत ज़दा करें।
[IRV | UR | OT | Job | Chapter 3 | Verse 6] गहरी तारीकी उस रात को दबोच ले। वह साल के दिनों के बीच ख़ुशी न करने पाए, और न महीनों की ता'दाद में आए।
[IRV | UR | OT | Job | Chapter 3 | Verse 7] वह रात बाँझ हो जाए; उसमें ख़ुशी की कोई आवाज़ न आए।
[IRV | UR | OT | Job | Chapter 3 | Verse 8] दिन पर ला'नत करने वाले उस पर ला'नत करें और वह भी जो अज़दह “को छेड़ने को तैयार हैं।
[IRV | UR | OT | Job | Chapter 3 | Verse 9] उसकी शाम के तारे तारीक हो जाएँ, वह रोशनी की राह देखे, जबकि वह है नहीं, और न वह सुबह की पलकों को देखे।
[IRV | UR | OT | Job | Chapter 3 | Verse 10] क्यूँकि उसने मेरी माँ के रहम के दरवाज़ों को बंद न किया और दुख को मेरी आँखों से छिपा न रख्खा।
[IRV | UR | OT | Job | Chapter 3 | Verse 11] मैं रहम ही में क्यूँ न मर गया? मैंने पेट से निकलते ही जान क्यूँ न दे दी?
[IRV | UR | OT | Job | Chapter 3 | Verse 12] मुझे क़ुबूल करने को घुटने क्यूँ थे, और छातियाँ कि मैं उनसे पियूँ?
[IRV | UR | OT | Job | Chapter 3 | Verse 13] नहीं तो इस वक़्त मैं पड़ा होता, और बेख़बर रहता, मैं सो जाता। तब मुझे आराम मिलता।
[IRV | UR | OT | Job | Chapter 3 | Verse 14] ज़मीन के बादशाहों और सलाहकारों के साथ, जिन्होंने अपने लिए मक़बरे बनाए।
[IRV | UR | OT | Job | Chapter 3 | Verse 15] या उन शाहज़ादों के साथ होता, जिनके पास सोना था। जिन्होंने अपने घर चाँदी से भर लिए थे;
[IRV | UR | OT | Job | Chapter 3 | Verse 16] या पोशीदा गिरते हमल की तरह, मैं वजूद में न आता या उन बच्चों की तरह जिन्होंने रोशनी ही न देखी।
[IRV | UR | OT | Job | Chapter 3 | Verse 17] वहाँ शरीर फ़साद से बाज़ आते हैं, और थके मांदे राहत पाते हैं।
[IRV | UR | OT | Job | Chapter 3 | Verse 18] वहाँ क़ैदी मिलकर आराम करते हैं, और दरोग़ा की आवाज़ सुनने में नहीं आती।
[IRV | UR | OT | Job | Chapter 3 | Verse 19] छोटे और बड़े दोनों वहीं हैं, और नौकर अपने मालिक से आज़ाद है।”
[IRV | UR | OT | Job | Chapter 3 | Verse 20] “दुखियारे को रोशनी, और तल्ख़जान को ज़िन्दगी क्यूँ मिलती है?
[IRV | UR | OT | Job | Chapter 3 | Verse 21] जो मौत की राह देखते हैं लेकिन वह आती नहीं, और छिपे ख़ज़ाने से ज़्यादा उसकी तलाश करते हैं।
[IRV | UR | OT | Job | Chapter 3 | Verse 22] जो निहायत शादमान और ख़ुश होते हैं, जब क़ब्र को पा लेते हैं।
[IRV | UR | OT | Job | Chapter 3 | Verse 23] ऐसे आदमी को रोशनी क्यूँ मिलती है, जिसकी राह छिपी है, और जिसे ख़ुदा ने हर तरफ़ से बंद कर दिया है?
[IRV | UR | OT | Job | Chapter 3 | Verse 24] क्यूँकि मेरे खाने की जगह मेरी आहें हैं, और मेरा कराहना पानी की तरह जारी है।
[IRV | UR | OT | Job | Chapter 3 | Verse 25] क्यूँकि जिस बात से मैं डरता हूँ, वही मुझ पर आती है, और जिस बात का मुझे ख़ौफ़ होता है, वही मुझ पर गुज़रती है।
[IRV | UR | OT | Job | Chapter 3 | Verse 26] क्यूँकि मुझे न चैन है, न आराम है, न मुझे कल पड़ती है; बल्कि मुसीबत ही आती है।”
