[OEB | EN | NT | John | Chapter 2 | Verse 1] Two days after this there was a wedding at Cana in Galilee, and Jesus’ mother was there.
[OEB | EN | NT | John | Chapter 2 | Verse 2] Jesus himself, too, with his disciples, was invited to the wedding.
[OEB | EN | NT | John | Chapter 2 | Verse 3] And, when the wine ran short, his mother said to him, ‘They have no wine left.’
[OEB | EN | NT | John | Chapter 2 | Verse 4] ‘What do you want with me?’ answered Jesus. ‘My time has not come yet.’
[OEB | EN | NT | John | Chapter 2 | Verse 5] His mother said to the servants, ‘Do whatever he tells you.’
[OEB | EN | NT | John | Chapter 2 | Verse 6] There were standing there six stone water-jars, in accordance with the Jewish rule of purification, each holding twenty or thirty gallons.
[OEB | EN | NT | John | Chapter 2 | Verse 7] Jesus said to the servants, ‘Fill the water-jars with water.’
[OEB | EN | NT | John | Chapter 2 | Verse 8] And, when they had filled them to the brim, he added, ‘Now take some out, and carry it to the Master of the feast.’ The servants did so.
[OEB | EN | NT | John | Chapter 2 | Verse 9] And, when the Master of the feast had tasted the water which had now become wine, not knowing where it had come from – although the servants who had taken out the water knew –
[OEB | EN | NT | John | Chapter 2 | Verse 10] He called the groom and said to him, ‘Everyone puts good wine on the table first, and inferior wine afterwards, when his guests have drunk freely; but you have kept back the good wine till now!’
[OEB | EN | NT | John | Chapter 2 | Verse 11] This, the first sign of his mission, Jesus gave at Cana in Galilee, and by it revealed his glory; and his disciples believed in him.
[OEB | EN | NT | John | Chapter 2 | Verse 12] After this, Jesus went down to Capernaum – he, his mother, his brothers, and his disciples; but they stayed there only a few days.
[OEB | EN | NT | John | Chapter 2 | Verse 13] Then, as the Jewish Passover was near, Jesus went up to Jerusalem.
[OEB | EN | NT | John | Chapter 2 | Verse 14] In the Temple Courts he found people who were selling bullocks, sheep, and pigeons, and the money changers at their counters.
[OEB | EN | NT | John | Chapter 2 | Verse 15] So he made a whip of cords, and drove them all out of the Temple Courts, and the sheep and bullocks as well; he scattered the money of the money changers, and overturned their tables,
[OEB | EN | NT | John | Chapter 2 | Verse 16] and said to the pigeon-dealers, ‘Take these things away. Do not turn my Father’s house into a market house.’
[OEB | EN | NT | John | Chapter 2 | Verse 17] His disciples remembered that scripture said – “Passion for your house will consume me.”
[OEB | EN | NT | John | Chapter 2 | Verse 18] Then some of the religious authorities asked Jesus, ‘What sign are you going to show us, since you act in this way?’
[OEB | EN | NT | John | Chapter 2 | Verse 19] ‘Destroy this temple,’ was his answer, ‘and I will raise it in three days.’
[OEB | EN | NT | John | Chapter 2 | Verse 20] ‘This Temple,’ the authorities replied, ‘has been forty-six years in building, and are you going to “raise it in three days”?’
[OEB | EN | NT | John | Chapter 2 | Verse 21] But Jesus was speaking of his body as a temple.
[OEB | EN | NT | John | Chapter 2 | Verse 22] Afterwards, when he had risen from the dead, his disciples remembered that he had said this; and they believed the passage of scripture, and the words which Jesus had spoken.
[OEB | EN | NT | John | Chapter 2 | Verse 23] While Jesus was in Jerusalem, during the Passover Festival, many came to trust in him, when they saw the signs of his mission that he was giving.
[OEB | EN | NT | John | Chapter 2 | Verse 24] But Jesus did not put himself in their power because he knew what was in their hearts.
[OEB | EN | NT | John | Chapter 2 | Verse 25] He did not need anyone to tell him about people because he could read what was in them.
