[OEB | EN | NT | John | Chapter 19 | Verse 1] After that, Pilate had Jesus scourged.
[OEB | EN | NT | John | Chapter 19 | Verse 2] The soldiers made a crown with some thorns and put it on his head and threw a purple robe round him.
[OEB | EN | NT | John | Chapter 19 | Verse 3] They kept coming up to him and saying, ‘Long live the king of the Jews!’ and they gave him blow after blow with their hands.
[OEB | EN | NT | John | Chapter 19 | Verse 4] Pilate again came outside, and said to the people, ‘Look! I am bringing him out to you, so that you may know that I find nothing with which he can be charged.’
[OEB | EN | NT | John | Chapter 19 | Verse 5] Then Jesus came outside, wearing the crown of thorns and the purple robe; and Pilate said to them, ‘Here is the man!’
[OEB | EN | NT | John | Chapter 19 | Verse 6] When the chief priests and the guards saw him, they shouted, ‘Crucify him! Crucify him!’ ‘Take him yourselves and crucify him,’ said Pilate. ‘For my part, I find nothing with which he can be charged.’
[OEB | EN | NT | John | Chapter 19 | Verse 7] ‘But we,’ replied the crowd, ‘have a Law, under which he deserves death for making himself out to be the Son of God.’
[OEB | EN | NT | John | Chapter 19 | Verse 8] When Pilate heard what they said, he became still more alarmed;
[OEB | EN | NT | John | Chapter 19 | Verse 9] and, going into the Government house again, he said to Jesus, ‘Where do you come from?’
[OEB | EN | NT | John | Chapter 19 | Verse 10] But Jesus made no reply. So Pilate said to him, ‘Do you refuse to speak to me? Don’t you know that I have power to release you, and have power to crucify you?’
[OEB | EN | NT | John | Chapter 19 | Verse 11] ‘You would have no power over me at all,’ answered Jesus, ‘if it had not been given you from above; and, therefore, the man who betrayed me to you is guilty of the greater sin.’
[OEB | EN | NT | John | Chapter 19 | Verse 12] This made Pilate anxious to release him; but the crowd shouted, ‘If you release that man, you are no friend of the Emperor! Anyone who makes himself out to be a king is setting himself against the Emperor!’
[OEB | EN | NT | John | Chapter 19 | Verse 13] On hearing what they said, Pilate brought Jesus out, and took his seat on the Bench at a place called “The Stone Pavement” – in Hebrew “Gabbatha.”
[OEB | EN | NT | John | Chapter 19 | Verse 14] It was the Passover Preparation day, and about noon. Then he said to the crowd, ‘Here is your king!’
[OEB | EN | NT | John | Chapter 19 | Verse 15] At that the people shouted, ‘Kill him! Kill him! Crucify him!’ ‘What! Should I crucify your king?’ exclaimed Pilate. ‘We have no king but the Emperor,’ replied the chief priests;
[OEB | EN | NT | John | Chapter 19 | Verse 16] so Pilate gave Jesus up to them to be crucified. So they took Jesus;
[OEB | EN | NT | John | Chapter 19 | Verse 17] and he went out, carrying his cross himself, to the place which is named from a skull, or, in Hebrew, Golgotha.
[OEB | EN | NT | John | Chapter 19 | Verse 18] There they crucified him, and two others with him – one on each side, and Jesus between them.
[OEB | EN | NT | John | Chapter 19 | Verse 19] Pilate also had these words written and put up over the cross – “JESUS OF NAZARETH, THE KING OF THE JEWS.”
[OEB | EN | NT | John | Chapter 19 | Verse 20] These words were read by many people, because the place where Jesus was crucified was near the city; and they were written in Hebrew, Latin and Greek.
[OEB | EN | NT | John | Chapter 19 | Verse 21] The chief priests said to Pilate, ‘Do not write “The king of the Jews”, but write what the man said – “I am the king of the Jews.”’
[OEB | EN | NT | John | Chapter 19 | Verse 22] But Pilate answered, ‘What I have written, I have written.’
[OEB | EN | NT | John | Chapter 19 | Verse 23] When the soldiers had crucified Jesus, they took his clothes and divided them into four shares – a share for each soldier – and they took the coat also. The coat had no seam, being woven in one piece from top to bottom.
[OEB | EN | NT | John | Chapter 19 | Verse 24] So they said to one another, ‘Do not let us tear it, but let us cast lots for it, to see who will have it.’ This was in fulfilment of the words of scripture – “They shared my clothes among them, and over my clothing they cast lots.” That was what the soldiers did.
[OEB | EN | NT | John | Chapter 19 | Verse 25] Meanwhile near the cross of Jesus were standing his mother and his mother’s sister, as well as Mary the wife of Clopas and Mary of Magdala.
[OEB | EN | NT | John | Chapter 19 | Verse 26] When Jesus saw his mother, and the disciple whom he loved, standing near, he said to his mother, ‘There is your son.’
[OEB | EN | NT | John | Chapter 19 | Verse 27] Then he said to that disciple, ‘There is your mother.’ And from that very hour the disciple took her to live in his house.
[OEB | EN | NT | John | Chapter 19 | Verse 28] Afterwards, knowing that everything was now finished, Jesus said, in fulfilment of the words of scripture, ‘I am thirsty.’
[OEB | EN | NT | John | Chapter 19 | Verse 29] There was a bowl standing there full of common wine; so they put a sponge soaked in the wine on the end of a hyssop-stalk, and held it up to his mouth.
