[OEB | EN | NT | John | Chapter 17 | Verse 1] After saying this, Jesus raised his eyes heavenwards, and said: ‘Father, the hour has come; honour your Son, so that your Son may honour you;
[OEB | EN | NT | John | Chapter 17 | Verse 2] even as you gave him power over all humanity, so that he should give eternal life to everyone you have given him.
[OEB | EN | NT | John | Chapter 17 | Verse 3] And the eternal life is this – to know you the one true God, and Jesus Christ whom you have sent as your messenger.
[OEB | EN | NT | John | Chapter 17 | Verse 4] I have honoured you on earth by completing the work which you have given me to do;
[OEB | EN | NT | John | Chapter 17 | Verse 5] and now do you honour me, Father, at your own side, with the honour which I had at your side before the world began.
[OEB | EN | NT | John | Chapter 17 | Verse 6] I have revealed you to those whom you gave me from the world; they were your own, and you gave them to me; and they have laid your message to heart.
[OEB | EN | NT | John | Chapter 17 | Verse 7] They recognise now that everything that you gave me was from you;
[OEB | EN | NT | John | Chapter 17 | Verse 8] for I have given them the teaching which you gave me, and they received it, and clearly understood that I came from you, and they believed that you have sent me as your messenger.
[OEB | EN | NT | John | Chapter 17 | Verse 9] I intercede for them; I am not interceding for the world, but for those whom you have given me, for they are your own –
[OEB | EN | NT | John | Chapter 17 | Verse 10] All that is mine is yours, and all that is yours is mine – and I am honoured in them.
[OEB | EN | NT | John | Chapter 17 | Verse 11] Now I am to be in this world no longer, but they are still to be in the world, and I am to come to you. Holy Father, keep them by that revelation of your name which you have given me, so that they may be one, as we are.
[OEB | EN | NT | John | Chapter 17 | Verse 12] While I was with them, I kept them by that revelation, and I have guarded them; and not one of them has been lost, except that lost soul – in fulfilment of scripture.
[OEB | EN | NT | John | Chapter 17 | Verse 13] But now I am to come to you; and I am speaking like this, while still in the world, so that they may have my own joy, in all its fullness, in their hearts.
[OEB | EN | NT | John | Chapter 17 | Verse 14] I have given them your message; and the world hated them, because they do not belong to the world, even as I do not belong to the world.
[OEB | EN | NT | John | Chapter 17 | Verse 15] I do not ask you to take them out of the world, but to keep them from evil.
[OEB | EN | NT | John | Chapter 17 | Verse 16] They do not belong to the world, even as I do not belong to the world.
[OEB | EN | NT | John | Chapter 17 | Verse 17] Consecrate them by the truth; your message is truth.
[OEB | EN | NT | John | Chapter 17 | Verse 18] Just as you have sent me as your messenger to the world, so I send them as my messengers to the world.
[OEB | EN | NT | John | Chapter 17 | Verse 19] And it is for their sakes that I am consecrating myself, so that they also may be truly consecrated.
[OEB | EN | NT | John | Chapter 17 | Verse 20] But it is not only for them that I am interceding, but also for those who believe in me through their message,
[OEB | EN | NT | John | Chapter 17 | Verse 21] that they all may be one – that as you, Father, are in union with us – and so the world may believe that you have sent me as your messenger.
[OEB | EN | NT | John | Chapter 17 | Verse 22] I have given them the honour which you have given me, so that they may be one as we are one –
[OEB | EN | NT | John | Chapter 17 | Verse 23] I in union with them and you with me – so that they may be perfected in their union, and so that the world may know that you have sent me as your messenger, and that you have loved them as you have loved me.
[OEB | EN | NT | John | Chapter 17 | Verse 24] Father, my desire for all those whom you have given me is that they may be with me where I am, so that they may see the honour which you have given me; for you did love me before the beginning of the world.
[OEB | EN | NT | John | Chapter 17 | Verse 25] Righteous Father, though the world did not know you, I knew you; and these people knew that you have sent me as your messenger.
[OEB | EN | NT | John | Chapter 17 | Verse 26] I have made you known to them, and will do so still; that the love that you have had for me may be in their hearts, and that I may be in them also.’
