[OEB | EN | NT | John | Chapter 8 | Verse 1] except Jesus, who went to the Mount of Olives.
[OEB | EN | NT | John | Chapter 8 | Verse 2] But he went again into the Temple Courts early in the morning, and all the people came to him; and he sat down and taught them.
[OEB | EN | NT | John | Chapter 8 | Verse 3] Presently, however, the Teachers of the Law and the Pharisees brought a woman who had been caught in adultery, and placed her in the middle of the Court,
[OEB | EN | NT | John | Chapter 8 | Verse 4] and said to Jesus, ‘Teacher, this woman was found in the act of adultery.
[OEB | EN | NT | John | Chapter 8 | Verse 5] Now Moses, in the Law, commanded us to stone such women to death; what do you say?’
[OEB | EN | NT | John | Chapter 8 | Verse 6] They said this to test him, in order to have a charge to bring against him. But Jesus stooped down, and wrote on the ground with his finger.
[OEB | EN | NT | John | Chapter 8 | Verse 7] However, as they continued asking him, he raised himself, and said, ‘Let the person among you who has never done wrong throw the first stone at her.’
[OEB | EN | NT | John | Chapter 8 | Verse 8] And again he stooped down, and wrote on the ground.
[OEB | EN | NT | John | Chapter 8 | Verse 9] When they heard that, they went out one by one, beginning with the eldest; and Jesus was left alone with the woman in the middle of the Court.
[OEB | EN | NT | John | Chapter 8 | Verse 10] Raising himself, Jesus said to her, ‘Woman, where are they? Did no one condemn you?’
[OEB | EN | NT | John | Chapter 8 | Verse 11] ‘No one, Sir,’ she answered. ‘Neither do I condemn you,’ said Jesus ‘go, and do not sin again.’
[OEB | EN | NT | John | Chapter 8 | Verse 12] Jesus again addressed the people. ‘I am the light of the world,’ he said. ‘The person who follows me will not walk in darkness, but will have the light of life.’
[OEB | EN | NT | John | Chapter 8 | Verse 13] ‘You are bearing testimony to yourself!’ exclaimed the Pharisees, ‘your testimony is not trustworthy.’
[OEB | EN | NT | John | Chapter 8 | Verse 14] ‘Even if I bear testimony to myself,’ answered Jesus, ‘my testimony is trustworthy; for I know where I came from, and where I am going; but you do not know where I come from, nor where I am going.
[OEB | EN | NT | John | Chapter 8 | Verse 15] You judge by appearances; I judge no one.
[OEB | EN | NT | John | Chapter 8 | Verse 16] Yet, even if I were to judge, my judgment would be trustworthy; because I am not alone, but the Father who sent me is with me.
[OEB | EN | NT | John | Chapter 8 | Verse 17] Why, in your own Law it is said that the testimony of two persons is trustworthy.
[OEB | EN | NT | John | Chapter 8 | Verse 18] I, who bear testimony to myself, am one, and the Father who sent me also bears testimony to me.’
[OEB | EN | NT | John | Chapter 8 | Verse 19] ‘Where is your father, then?’ they asked. ‘You know neither me nor my Father,’ replied Jesus. ‘If you had known me, you would have also known my Father.’
[OEB | EN | NT | John | Chapter 8 | Verse 20] These statements Jesus made in the Treasury, while teaching in the Temple Courts. Yet no one arrested him, for his time had not then come.
[OEB | EN | NT | John | Chapter 8 | Verse 21] Jesus again spoke to the people. ‘I am going away,’ he said, ‘and you will look for me, but you will die in your sin; you cannot come where I am going.’
[OEB | EN | NT | John | Chapter 8 | Verse 22] ‘Is he going to kill himself,’ the people exclaimed, ‘that he says – “You cannot go where I am going”?’
[OEB | EN | NT | John | Chapter 8 | Verse 23] ‘You,’ added Jesus, ‘are from below, I am from above; you are of this present world, I am not;
[OEB | EN | NT | John | Chapter 8 | Verse 24] and so I told you that you would die in your sins, for, unless you believe that I am what I am, you will die in your sins.’
[OEB | EN | NT | John | Chapter 8 | Verse 25] ‘Who are you?’ they asked. ‘Why ask exactly what I have been telling you?’ said Jesus.
[OEB | EN | NT | John | Chapter 8 | Verse 26] ‘I have still much that concerns you to speak of and to pass judgment on; yet he who sent me may be trusted, and I speak to the world only of the things which I have heard from him.’
[OEB | EN | NT | John | Chapter 8 | Verse 27] They did not understand that he meant the Father.
[OEB | EN | NT | John | Chapter 8 | Verse 28] So Jesus added, ‘When you have lifted up the Son of Man, then you will understand that I am what I am, and that I do nothing of myself, but that I say just what the Father has taught me.
[OEB | EN | NT | John | Chapter 8 | Verse 29] Moreover, he who sent me is with me; he has not left me alone; for I always do what pleases him.’
[OEB | EN | NT | John | Chapter 8 | Verse 30] While he was speaking in this way, many came to believe in him.
[OEB | EN | NT | John | Chapter 8 | Verse 31] So Jesus went on to say to those who had believed him, ‘If you remain constant to my message, you are truly my disciples;
[OEB | EN | NT | John | Chapter 8 | Verse 32] and you will find out the truth, and the truth will set you free.’
[OEB | EN | NT | John | Chapter 8 | Verse 33] ‘We are descendants of Abraham,’ was their answer, ‘and have never yet been in slavery to anyone. What do you mean by saying “you will be set free”?’
[OEB | EN | NT | John | Chapter 8 | Verse 34] ‘In truth I tell you,’ replied Jesus, ‘everyone who sins is a slave to sin.
[OEB | EN | NT | John | Chapter 8 | Verse 35] And a slave does not remain in the home always; but a son remains always.
[OEB | EN | NT | John | Chapter 8 | Verse 36] If, then, the Son sets you free, you will be free indeed!
[OEB | EN | NT | John | Chapter 8 | Verse 37] I know that you are descendants of Abraham; yet you are seeking to put me to death, because my message finds no place in your hearts.
[OEB | EN | NT | John | Chapter 8 | Verse 38] I tell you what I have myself seen in the presence of my Father; and you, in the same way, do what you have learned from your father.’
[OEB | EN | NT | John | Chapter 8 | Verse 39] ‘Our father is Abraham,’ was their answer. ‘If you are Abraham’s children,’ replied Jesus, ‘do what Abraham did.
[OEB | EN | NT | John | Chapter 8 | Verse 40] But, as it is, you are seeking to put me to death – a man who has told you the truth as he heard it from God. Abraham did not act in that way.
[OEB | EN | NT | John | Chapter 8 | Verse 41] You are doing what your own father does.’ ‘We are not bastards,’ they said, ‘we have one Father – God himself.’
[OEB | EN | NT | John | Chapter 8 | Verse 42] ‘If God were your Father,’ Jesus replied, ‘you would have loved me, for I came out from God, and now am here; and I have not come of myself, but he sent me as his messenger.
[OEB | EN | NT | John | Chapter 8 | Verse 43] How is it that you do not understand what I say? It is because you cannot bear to listen to my message.
[OEB | EN | NT | John | Chapter 8 | Verse 44] As for you, you are children of your father the devil, and you are determined to do what your father loves to do. He was a murderer from the first, and did not stand by the truth, because there is no truth in him. Whenever he lies, he does what is natural to him; because he is a liar, and the father of lying.
[OEB | EN | NT | John | Chapter 8 | Verse 45] But, as for me, it is because I speak the truth to you that you do not believe me.
[OEB | EN | NT | John | Chapter 8 | Verse 46] Which of you can convict me of sin? Why then don’t you believe me, if I am speaking truth?
[OEB | EN | NT | John | Chapter 8 | Verse 47] The person who comes from God listens to God’s teaching; the reason why you do not listen is because you do not come from God.’
[OEB | EN | NT | John | Chapter 8 | Verse 48] ‘Aren’t we right, after all,’ replied the people, ‘in saying that you are a Samaritan, and are possessed by a demon?’
[OEB | EN | NT | John | Chapter 8 | Verse 49] ‘I am not possessed by a demon,’ Jesus answered, ‘but I am honouring my Father; and yet you dishonour me.
[OEB | EN | NT | John | Chapter 8 | Verse 50] Not that I am seeking honour for myself; there is one who is seeking my honour, and he decides.
[OEB | EN | NT | John | Chapter 8 | Verse 51] In truth I tell you, if anyone lays my message to heart, he will never really die.’
[OEB | EN | NT | John | Chapter 8 | Verse 52] ‘Now we are sure that you are possessed by a demon,’ the people replied. ‘Abraham died, and so did the prophets; and yet you say “If anyone lays my message to heart, they will never know death.”
[OEB | EN | NT | John | Chapter 8 | Verse 53] Are you greater than our ancestor Abraham, who died? And the prophets died too. Whom do you make yourself out to be?’
[OEB | EN | NT | John | Chapter 8 | Verse 54] ‘If I do honour to myself,’ answered Jesus, ‘such honour counts for nothing. It is my Father who does me honour – and you say that he is your God;
[OEB | EN | NT | John | Chapter 8 | Verse 55] and yet you have not learned to know him; but I know him; and, if I were to say that I do not know him, I should be a liar like you; but I do know him, and I lay his message to heart.
[OEB | EN | NT | John | Chapter 8 | Verse 56] Your ancestor Abraham rejoiced that he would see my day; and he did see it, and was glad.’
[OEB | EN | NT | John | Chapter 8 | Verse 57] ‘You are not fifty years old yet,’ the people exclaimed, ‘and have you seen Abraham?’
[OEB | EN | NT | John | Chapter 8 | Verse 58] ‘In truth I tell you,’ replied Jesus, ‘before Abraham existed I was.’
[OEB | EN | NT | John | Chapter 8 | Verse 59] At this they took up stones to throw at him; but Jesus hid himself, and left the Temple Courts.
