[OEB | EN | NT | John | Chapter 12 | Verse 1] Six days before the Passover Jesus came to Bethany, where Lazarus, whom he had raised from the dead, was living.
[OEB | EN | NT | John | Chapter 12 | Verse 2] There a supper was given in his honour at which Martha waited, while Lazarus was one of those present at the table.
[OEB | EN | NT | John | Chapter 12 | Verse 3] So Mary took a pound of choice spikenard perfume of great value, and anointed the feet of Jesus with it, and then wiped them with her hair. The whole house was filled with the scent of the perfume.
[OEB | EN | NT | John | Chapter 12 | Verse 4] One of the disciples, Judas Iscariot, who was about to betray Jesus, asked,
[OEB | EN | NT | John | Chapter 12 | Verse 5] ‘Why was not this perfume sold for a year’s wages, and the money given to poor people?’
[OEB | EN | NT | John | Chapter 12 | Verse 6] He said this, not because he cared for the poor, but because he was a thief, and, being in charge of the purse, used to take what was put in it.
[OEB | EN | NT | John | Chapter 12 | Verse 7] ‘Leave her alone,’ said Jesus, ‘so that she may keep it until the day when my body is being prepared for burial.
[OEB | EN | NT | John | Chapter 12 | Verse 8] The poor you always have with you, but you will not always have me.’
[OEB | EN | NT | John | Chapter 12 | Verse 9] Now great numbers of people found out that Jesus was at Bethany; and they came there, not only because of him, but also to see Lazarus, whom he had raised from the dead.
[OEB | EN | NT | John | Chapter 12 | Verse 10] The chief priests, however, plotted to put Lazarus, as well as Jesus, to death,
[OEB | EN | NT | John | Chapter 12 | Verse 11] because it was owing to him that many of the people had left them, and were becoming believers in Jesus.
[OEB | EN | NT | John | Chapter 12 | Verse 12] On the following day great numbers of people who had come to the Festival, hearing that Jesus was on his way to Jerusalem, took palm branches,
[OEB | EN | NT | John | Chapter 12 | Verse 13] and went out to meet him, shouting as they went, ‘God save him! Blessed is he who comes in the name of the Lord – the king of Israel!’
[OEB | EN | NT | John | Chapter 12 | Verse 14] Having found a young donkey, Jesus seated himself on it, in accordance with the passage of scripture –
[OEB | EN | NT | John | Chapter 12 | Verse 15] “Fear not, people of Zion. Your king is coming to you, sitting on the foal of a donkey.”
[OEB | EN | NT | John | Chapter 12 | Verse 16] His disciples did not understand all this at first; but, when Jesus had been exalted, then they remembered that these things had been said of him in scripture, and that they had done these things for him.
[OEB | EN | NT | John | Chapter 12 | Verse 17] Meanwhile the people who were with him, when he called Lazarus out of the tomb and raised him from the dead, were telling what they had seen.
[OEB | EN | NT | John | Chapter 12 | Verse 18] This, indeed, was why the crowd met him – because people had heard that he had given this sign of his mission.
[OEB | EN | NT | John | Chapter 12 | Verse 19] So the Pharisees said to one another, ‘You see that you are gaining nothing! Why, all the world has run after him!’
[OEB | EN | NT | John | Chapter 12 | Verse 20] Among those who were going up to worship at the Festival were some Greeks,
[OEB | EN | NT | John | Chapter 12 | Verse 21] who went to Philip of Bethsaida in Galilee, and said, ‘Sir, we wish to see Jesus.’
[OEB | EN | NT | John | Chapter 12 | Verse 22] Philip went and told Andrew, and then together they went and told Jesus.
[OEB | EN | NT | John | Chapter 12 | Verse 23] This was his reply – ‘The time has come for the Son of Man to be exalted.
