[OEB | EN | NT | John | Chapter 1 | Verse 1] In the beginning the Word was; and the Word was with God; and the Word was God.
[OEB | EN | NT | John | Chapter 1 | Verse 2] He was in the beginning with God;
[OEB | EN | NT | John | Chapter 1 | Verse 3] through him all things came into being, and nothing came into being apart from him.
[OEB | EN | NT | John | Chapter 1 | Verse 4] That which came into being in him was life; and the life was the light of humanity;
[OEB | EN | NT | John | Chapter 1 | Verse 5] and the light shines in the darkness, and the darkness never overpowered it.
[OEB | EN | NT | John | Chapter 1 | Verse 6] There appeared a man sent from God, whose name was John;
[OEB | EN | NT | John | Chapter 1 | Verse 7] he came as a witness – to bear witness to the light so that through him everyone might believe.
[OEB | EN | NT | John | Chapter 1 | Verse 8] He was not the light, but he came to bear witness to the light.
[OEB | EN | NT | John | Chapter 1 | Verse 9] That was the true light which enlightens everyone coming into the world.
[OEB | EN | NT | John | Chapter 1 | Verse 10] He was in the world; and through him the world came into being – yet the world did not know him.
[OEB | EN | NT | John | Chapter 1 | Verse 11] He came to his own – yet his own did not receive him.
[OEB | EN | NT | John | Chapter 1 | Verse 12] But to all who did receive him he gave power to become children of God – to those who believe in his name.
[OEB | EN | NT | John | Chapter 1 | Verse 13] For not to natural conception, nor to human instincts, nor to human will did they owe the new life, but to God.
[OEB | EN | NT | John | Chapter 1 | Verse 14] And the Word became human, and lived among us, (We saw his glory – the glory of the Only Son sent from the Father), full of love and truth.
[OEB | EN | NT | John | Chapter 1 | Verse 15] (John bears witness to him; he cried aloud – for it was he who spoke – ‘He who is coming after me is now before me, for he was ever first’);
[OEB | EN | NT | John | Chapter 1 | Verse 16] out of his fullness we have all received gift after gift of love;
[OEB | EN | NT | John | Chapter 1 | Verse 17] for the Law was given through Moses, love and truth came through Jesus Christ.
[OEB | EN | NT | John | Chapter 1 | Verse 18] No one has ever yet seen God; God the only Son, who is ever with the Father – he has revealed him.
[OEB | EN | NT | John | Chapter 1 | Verse 19] When the religious authorities in Jerusalem sent some Priests and Levites to ask John – ‘Who are you?’,
[OEB | EN | NT | John | Chapter 1 | Verse 20] he told them clearly and simply, ‘I am not the Christ.’
[OEB | EN | NT | John | Chapter 1 | Verse 21] ‘What then?’ they asked. ‘Are you Elijah?’ ‘No,’ he said, ‘I am not.’ ‘Are you “the prophet”?’ He answered, ‘No.’
[OEB | EN | NT | John | Chapter 1 | Verse 22] ‘Who then are you?’ they continued. ‘Tell us so that we have an answer to give to those who have sent us. What do you say about yourself?’
[OEB | EN | NT | John | Chapter 1 | Verse 23] ‘I,’ he answered, ‘am – “The voice of one crying aloud in the wilderness: make a straight road for the Lord”, as the prophet Isaiah said.’
[OEB | EN | NT | John | Chapter 1 | Verse 24] These men had been sent from the Pharisees;
[OEB | EN | NT | John | Chapter 1 | Verse 25] and their next question was, ‘Why then do you baptize, if you are not the Christ or Elijah or “the prophet”?’
[OEB | EN | NT | John | Chapter 1 | Verse 26] John’s answer was – ‘I baptize with water, but among you stands one whom you do not know;
[OEB | EN | NT | John | Chapter 1 | Verse 27] he is coming after me, yet I am not worthy even to unfasten his sandal.’
[OEB | EN | NT | John | Chapter 1 | Verse 28] This happened at Bethany, across the Jordan, where John was baptizing.
[OEB | EN | NT | John | Chapter 1 | Verse 29] The next day John saw Jesus coming towards him, and exclaimed, ‘Here is the Lamb of God, who takes away the sin of the world!
[OEB | EN | NT | John | Chapter 1 | Verse 30] I was talking about him when I said “After me there is coming a man who ranks ahead of me, because before I was born he already was.”
[OEB | EN | NT | John | Chapter 1 | Verse 31] I did not know who he was, but I have come baptizing with water to make him known to Israel.’
