[OEB | EN | NT | John | Chapter 10 | Verse 1] In truth I tell you, whoever does not go into the sheepfold through the door, but climbs up at some other place, that person is a thief and a robber;
[OEB | EN | NT | John | Chapter 10 | Verse 2] but the person who goes in through the door is shepherd to the sheep.
[OEB | EN | NT | John | Chapter 10 | Verse 3] For him the watchman opens the door; and the sheep listen to his voice; and he calls his own sheep by name, and leads them out.
[OEB | EN | NT | John | Chapter 10 | Verse 4] When he has brought them all out, he walks in front of them, and his sheep follow him, because they know his voice.
[OEB | EN | NT | John | Chapter 10 | Verse 5] They will not follow a stranger, but will run away from him; because they do not know a stranger’s voice.’
[OEB | EN | NT | John | Chapter 10 | Verse 6] This was the allegory that Jesus told them, but they did not understand of what he was speaking.
[OEB | EN | NT | John | Chapter 10 | Verse 7] So he continued, ‘In truth I tell you, I am the door for the sheep.
[OEB | EN | NT | John | Chapter 10 | Verse 8] All who came before me were thieves and robbers; but the sheep did not listen to them.
[OEB | EN | NT | John | Chapter 10 | Verse 9] I am the door; he who goes in through me will be safe, and he will go in and out and find pasture.
[OEB | EN | NT | John | Chapter 10 | Verse 10] The thief comes only to steal, to kill, and to destroy; I have come so that they may have life, and may have it in greater fullness.
[OEB | EN | NT | John | Chapter 10 | Verse 11] I am the good shepherd. The good shepherd lays down his life for his sheep.
[OEB | EN | NT | John | Chapter 10 | Verse 12] The hired man who is not a shepherd, and who does not own the sheep, when he sees a wolf coming, leaves them and runs away; then the wolf seizes them, and scatters the flock.
[OEB | EN | NT | John | Chapter 10 | Verse 13] He does this because he is only a hired man and does not care about the sheep.
[OEB | EN | NT | John | Chapter 10 | Verse 14] I am the good shepherd; and I know my sheep, and my sheep know me –
[OEB | EN | NT | John | Chapter 10 | Verse 15] Just as the Father knows me and I know the Father – and I lay down my life for the sheep.
[OEB | EN | NT | John | Chapter 10 | Verse 16] I have other sheep besides, which do not belong to this fold; I must lead them also, and they will listen to my voice; and they will become one flock under one shepherd.
[OEB | EN | NT | John | Chapter 10 | Verse 17] This is why the Father loves me, because I lay down my life – to receive it again.
[OEB | EN | NT | John | Chapter 10 | Verse 18] No one took it from me, but I lay it down of myself. I have authority to lay it down, and I have authority to receive it again. This is the command which I received from my Father.’
[OEB | EN | NT | John | Chapter 10 | Verse 19] In consequence of these words a difference of opinion again arose among the people.
[OEB | EN | NT | John | Chapter 10 | Verse 20] Many of them said, ‘He is possessed by a demon and is mad; why do you listen to him?’
[OEB | EN | NT | John | Chapter 10 | Verse 21] Others said, ‘This is not the teaching of one who is possessed by a demon. Can a demon give sight to the blind?’
[OEB | EN | NT | John | Chapter 10 | Verse 22] Soon after this the Festival of the Rededication was held at Jerusalem.
[OEB | EN | NT | John | Chapter 10 | Verse 23] It was winter; and Jesus was walking in the Temple Courts, in the Colonnade of Solomon,
[OEB | EN | NT | John | Chapter 10 | Verse 24] when the people gathered round him, and said, ‘How long are you going to keep us in suspense? If you are the Christ, tell us so frankly.’
[OEB | EN | NT | John | Chapter 10 | Verse 25] ‘I have told you so,’ replied Jesus, ‘and you do not believe me. The work that I am doing in my Father’s name bears testimony to me.
[OEB | EN | NT | John | Chapter 10 | Verse 26] But you do not believe me, because you are not of my flock.
[OEB | EN | NT | John | Chapter 10 | Verse 27] My sheep listen to my voice; I know them, and they follow me;
[OEB | EN | NT | John | Chapter 10 | Verse 28] and I give them eternal life, and they will not be lost; nor will anyone snatch them out of my hands.
[OEB | EN | NT | John | Chapter 10 | Verse 29] What my Father has entrusted to me is more than all else; and no one can snatch anything out of the Father’s hands.
[OEB | EN | NT | John | Chapter 10 | Verse 30] The Father and I are one.’
[OEB | EN | NT | John | Chapter 10 | Verse 31] Some of the people again brought stones to throw at him;
[OEB | EN | NT | John | Chapter 10 | Verse 32] and seeing this, Jesus said, ‘I have done before your eyes many good actions, inspired by the Father; for which of them would you stone me?’
[OEB | EN | NT | John | Chapter 10 | Verse 33] ‘It is not for any good action that we would stone you,’ they answered, ‘but for blasphemy; and because you, who are only a man, make yourself out to be God.’
[OEB | EN | NT | John | Chapter 10 | Verse 34] ‘Are there not,’ replied Jesus, ‘these words in your Law – “I said, You are gods”?
[OEB | EN | NT | John | Chapter 10 | Verse 35] If those to whom God’s word were addressed were said to be “gods” – and scripture cannot be set aside –
[OEB | EN | NT | John | Chapter 10 | Verse 36] do you say of one whom the Father has consecrated and sent as his messenger to the world “You are blaspheming,” because I said “I am God’s Son”?
[OEB | EN | NT | John | Chapter 10 | Verse 37] If I am not doing the work that my Father is doing, do not believe me;
[OEB | EN | NT | John | Chapter 10 | Verse 38] if I am doing it, even though you do not believe me, believe what that work shows; so that you may understand, and understand more and more clearly, that the Father is in union with me, and I with the Father.’
[OEB | EN | NT | John | Chapter 10 | Verse 39] The authorities again sought to arrest him; but he escaped their hands.
[OEB | EN | NT | John | Chapter 10 | Verse 40] Then Jesus again crossed the Jordan to the place where John used to baptize at first, and stayed there some time, during which many people came to see him.
[OEB | EN | NT | John | Chapter 10 | Verse 41] ‘John gave no sign of his mission,’ they said. ‘But everything that he said about this man was true.’
[OEB | EN | NT | John | Chapter 10 | Verse 42] And many learned to believe in Jesus there.
