[OEB | EN | NT | John | Chapter 18 | Verse 1] When Jesus had said this, he went out with his disciples and crossed the Kidron ravine to a place where there was a garden, into which he and his disciples went.
[OEB | EN | NT | John | Chapter 18 | Verse 2] The place was well known to Judas, the betrayer, for Jesus and his disciples had often met there.
[OEB | EN | NT | John | Chapter 18 | Verse 3] So Judas, who had obtained the soldiers of the Roman garrison, and some guards from the chief priests and the Pharisees, came there with lanterns, torches, and weapons.
[OEB | EN | NT | John | Chapter 18 | Verse 4] Jesus, aware of all that was coming upon him, went to meet them, and said to them, ‘For whom are you looking?’
[OEB | EN | NT | John | Chapter 18 | Verse 5] ‘Jesus of Nazareth,’ was their answer. ‘I am he,’ said Jesus. (Judas, the betrayer, was also standing with them.)
[OEB | EN | NT | John | Chapter 18 | Verse 6] When Jesus said “I am he,” they drew back and fell to the ground.
[OEB | EN | NT | John | Chapter 18 | Verse 7] So he again asked for whom they were looking, and they answered, ‘Jesus of Nazareth.’
[OEB | EN | NT | John | Chapter 18 | Verse 8] ‘I have already told you that I am he,’ replied Jesus, ‘so, if it is for me that you are looking, let these people go.’
[OEB | EN | NT | John | Chapter 18 | Verse 9] This was in fulfilment of his words – “Of those whom you have given me I have not lost one.”
[OEB | EN | NT | John | Chapter 18 | Verse 10] At this, Simon Peter, who had a sword with him, drew it, and struck the high priest’s servant, and cut off his right ear. The servant’s name was Malchus.
[OEB | EN | NT | John | Chapter 18 | Verse 11] But Jesus said to Peter, ‘Sheathe your sword. Should I not drink the cup which the Father has given me?’
[OEB | EN | NT | John | Chapter 18 | Verse 12] So the soldiers of the garrison, with their commanding officer and the Jewish guards, arrested Jesus and bound him,
[OEB | EN | NT | John | Chapter 18 | Verse 13] and took him first of all to Annas. Annas was the father-in-law of Caiaphas, who was high priest that year.
[OEB | EN | NT | John | Chapter 18 | Verse 14] It was Caiaphas who had counselled the religious authorities, that it was best that one person should die for the people.
[OEB | EN | NT | John | Chapter 18 | Verse 15] Meanwhile Simon Peter followed Jesus, and so did another disciple. That disciple, being well-known to the high priest, went with Jesus into the high priest’s courtyard,
[OEB | EN | NT | John | Chapter 18 | Verse 16] while Peter stood outside by the door. Presently the other disciple – the one well-known to the high priest – went out and spoke to the portress, and brought Peter in.
[OEB | EN | NT | John | Chapter 18 | Verse 17] So the maidservant said to Peter, ‘Aren’t you also one of this man’s disciples?’ ‘No, I am not,’ he said.
[OEB | EN | NT | John | Chapter 18 | Verse 18] The servants and guards were standing round a charcoal fire (which they had made because it was cold), and were warming themselves. Peter, too, was with them, standing and warming himself.
[OEB | EN | NT | John | Chapter 18 | Verse 19] The high priest questioned Jesus about his disciples and about his teaching.
[OEB | EN | NT | John | Chapter 18 | Verse 20] ‘For my part,’ answered Jesus, ‘I have spoken to all the world openly. I always taught in some synagogue, or in the Temple Courts, places where everyone assembles, and I never spoke of anything in secret.
[OEB | EN | NT | John | Chapter 18 | Verse 21] Why question me? Question those who have listened to me as to what I have spoken about to them. They must know what I said.’
[OEB | EN | NT | John | Chapter 18 | Verse 22] When Jesus said this, one of the guards, who was standing near, gave him a blow with his hand. ‘Do you answer the high priest like that?’ he exclaimed.
[OEB | EN | NT | John | Chapter 18 | Verse 23] ‘If I said anything wrong, give evidence about it,’ replied Jesus, ‘but if not, why do you strike me?’
[OEB | EN | NT | John | Chapter 18 | Verse 24] Annas sent him bound to Caiaphas the high priest.
[OEB | EN | NT | John | Chapter 18 | Verse 25] Meanwhile Simon Peter was standing there, warming himself; so they said to him, ‘Aren’t you also one of his disciples?’ Peter denied it. ‘No, I am not,’ he said.
[OEB | EN | NT | John | Chapter 18 | Verse 26] One of the high priest’s servants, a relation of the man whose ear Peter had cut off, exclaimed, ‘Didn’t I myself see you with him in the garden?’
[OEB | EN | NT | John | Chapter 18 | Verse 27] Peter again denied it; and at that moment a cock crowed.
[OEB | EN | NT | John | Chapter 18 | Verse 28] From Caiaphas they took Jesus to the Government house. It was early in the morning. But they did not enter the Government house themselves, otherwise they might become defiled, and so be unable to eat the Passover.
[OEB | EN | NT | John | Chapter 18 | Verse 29] Therefore Pilate came outside to speak to them. ‘What charge do you bring against this man?’ he asked.
[OEB | EN | NT | John | Chapter 18 | Verse 30] ‘If he had not been a criminal, we should not have given him up to you,’ they answered.
[OEB | EN | NT | John | Chapter 18 | Verse 31] ‘Take him yourselves,’ said Pilate, ‘and try him by your own Law.’ ‘We have no power to put anyone to death,’ the authorities replied –
[OEB | EN | NT | John | Chapter 18 | Verse 32] in fulfilment of what Jesus had said when indicating the death that he was destined to die.
[OEB | EN | NT | John | Chapter 18 | Verse 33] After that, Pilate went into the Government house again, and calling Jesus up, asked him, ‘Are you the king of the Jews?’
[OEB | EN | NT | John | Chapter 18 | Verse 34] ‘Do you ask me that yourself?’ replied Jesus, ‘or did others say it to you about me?’
[OEB | EN | NT | John | Chapter 18 | Verse 35] ‘Do you take me for a Jew?’ was Pilate’s answer. ‘It is your own nation and the chief priests who have given you up to me. What have you done?’
[OEB | EN | NT | John | Chapter 18 | Verse 36] ‘My kingly power,’ replied Jesus, ‘is not due to this world. If it had been so, my servants would be doing their utmost to prevent my being given up to the authorities; but my kingly power is not from the world.’
[OEB | EN | NT | John | Chapter 18 | Verse 37] ‘So you are a king after all!’ exclaimed Pilate. ‘Yes, it is true I am a king,’ answered Jesus. ‘I was born for this, I have come into the world for this – to bear testimony to the truth. Everyone who is on the side of truth listens to my voice.’
[OEB | EN | NT | John | Chapter 18 | Verse 38] ‘What is truth?’ exclaimed Pilate. After saying this, he went out to the crowd again, and said, ‘For my part, I find nothing with which he can be charged.
[OEB | EN | NT | John | Chapter 18 | Verse 39] It is, however, the custom for me to grant you the release of one man at the Passover Festival. Do you wish for the release of the king of the Jews?’
[OEB | EN | NT | John | Chapter 18 | Verse 40] ‘No, not this man,’ they shouted again, ‘but Barabbas!’ This Barabbas was a robber.
