[OEB | EN | NT | John | Chapter 4 | Verse 1] Now, when the Master heard that the Pharisees had been told that he was making and baptizing more disciples than John
[OEB | EN | NT | John | Chapter 4 | Verse 2] (Though it was not Jesus himself, but his disciples, who baptized),
[OEB | EN | NT | John | Chapter 4 | Verse 3] he left Judea, and set out again for Galilee.
[OEB | EN | NT | John | Chapter 4 | Verse 4] He had to pass through Samaria,
[OEB | EN | NT | John | Chapter 4 | Verse 5] and, on his way, he came to a Samaritan town called Shechem, near the plot of land that Jacob gave to his son Joseph.
[OEB | EN | NT | John | Chapter 4 | Verse 6] Jacob’s Spring was there, and Jesus, being tired after his journey, sat down beside the spring, just as he was. It was then about midday.
[OEB | EN | NT | John | Chapter 4 | Verse 7] A woman of Samaria came to draw water; and Jesus said to her – ‘Give me some to drink,’
[OEB | EN | NT | John | Chapter 4 | Verse 8] For his disciples had gone into the town to buy food.
[OEB | EN | NT | John | Chapter 4 | Verse 9] ‘How is it,’ replied the Samaritan woman, ‘that you who are a Jew ask for water from a Samaritan woman like me?’ (For Jews do not associate with Samaritans).
[OEB | EN | NT | John | Chapter 4 | Verse 10] ‘If you knew of the gift of God,’ replied Jesus, ‘and who it is that is saying to you “Give me some water,” you would have asked him, and he would have given you living water.’
[OEB | EN | NT | John | Chapter 4 | Verse 11] ‘You have no bucket, Sir, and the well is deep,’ she said. ‘Where did you get that “living water?”
[OEB | EN | NT | John | Chapter 4 | Verse 12] Surely you are not greater than our ancestor Jacob who gave us the well, and used to drink from it himself, and his sons, and his cattle!’
[OEB | EN | NT | John | Chapter 4 | Verse 13] ‘All who drink of this water,’ replied Jesus, ‘will be thirsty again;
[OEB | EN | NT | John | Chapter 4 | Verse 14] but whoever once drinks of the water that I will give him will never thirst any more; but the water that I will give him will become a spring welling up within him – a source of eternal life.’
[OEB | EN | NT | John | Chapter 4 | Verse 15] ‘Give me this water, Sir,’ said the woman, ‘so that I may not be thirsty, nor have to come all the way here to draw water.’
[OEB | EN | NT | John | Chapter 4 | Verse 16] ‘Go and call your husband,’ said Jesus, ‘and then come back.’
[OEB | EN | NT | John | Chapter 4 | Verse 17] ‘I have no husband,’ answered the woman. ‘You are right in saying “I have no husband,”’ replied Jesus,
[OEB | EN | NT | John | Chapter 4 | Verse 18] ‘For you have had five husbands, and the man with whom you are now living is not your husband; in saying that, you have spoken the truth.’
[OEB | EN | NT | John | Chapter 4 | Verse 19] ‘I see, Sir, that you are a prophet!’ exclaimed the woman.
[OEB | EN | NT | John | Chapter 4 | Verse 20] ‘It was on this mountain that our ancestors worshiped; and yet you Jews say that the proper place for worship is in Jerusalem.’
[OEB | EN | NT | John | Chapter 4 | Verse 21] ‘Believe me,’ replied Jesus, ‘a time is coming when it will be neither on this mountain nor in Jerusalem that you will worship the Father.
[OEB | EN | NT | John | Chapter 4 | Verse 22] You Samaritans do not know what you worship; we know what we worship, for salvation comes from the Jews.
[OEB | EN | NT | John | Chapter 4 | Verse 23] But a time is coming, indeed it is already here, when the true worshipers will worship the Father spiritually and truly; for such are the worshipers that the Father desires.
[OEB | EN | NT | John | Chapter 4 | Verse 24] God is Spirit; and those who worship him must worship spiritually and truly.’
[OEB | EN | NT | John | Chapter 4 | Verse 25] ‘I know,’ answered the woman, ‘that the Messiah, who is called the Christ, is coming; when once he has come, he will tell us everything.’
[OEB | EN | NT | John | Chapter 4 | Verse 26] ‘I am he,’ Jesus said to her, ‘I who am speaking to you.’
[OEB | EN | NT | John | Chapter 4 | Verse 27] At this moment his disciples came up, and were surprised to find him talking with a woman; but none of them asked “What do you want?” or “Why are you talking with her?”
[OEB | EN | NT | John | Chapter 4 | Verse 28] So the woman, leaving her pitcher, went back to the town, and said to the people,
[OEB | EN | NT | John | Chapter 4 | Verse 29] ‘Come and see someone who has told me everything that I have done. Can he be the Christ?’
[OEB | EN | NT | John | Chapter 4 | Verse 30] And the people left the town and went to see Jesus.
[OEB | EN | NT | John | Chapter 4 | Verse 31] Meanwhile the disciples kept saying to him, ‘Take something to eat, Rabbi.’
[OEB | EN | NT | John | Chapter 4 | Verse 32] ‘I have food to eat,’ he answered, ‘of which you know nothing.’
[OEB | EN | NT | John | Chapter 4 | Verse 33] ‘Can anyone have brought him anything to eat?’ the disciples said to one another.
[OEB | EN | NT | John | Chapter 4 | Verse 34] ‘My food,’ replied Jesus, ‘is to do the will of him who sent me, and to complete his work.
[OEB | EN | NT | John | Chapter 4 | Verse 35] Don’t you say that it still wants four months to harvest? Why, look up, and see how white the fields are for harvest!
[OEB | EN | NT | John | Chapter 4 | Verse 36] Already the reaper is receiving wages and gathering in sheaves for eternal life, so that sower and reaper rejoice together.
[OEB | EN | NT | John | Chapter 4 | Verse 37] For here the proverb holds good – “One sows, another reaps.”
[OEB | EN | NT | John | Chapter 4 | Verse 38] I have sent you to reap that on which you have spent no labour; others have laboured, and you have reaped the results of their labour.’
[OEB | EN | NT | John | Chapter 4 | Verse 39] Many from that town came to believe in Jesus – Samaritans though they were – because the woman had said, “He has told me everything that I have done.”
[OEB | EN | NT | John | Chapter 4 | Verse 40] And, when these Samaritans had come to Jesus, they begged him to stay with them, and he stayed there two days.
[OEB | EN | NT | John | Chapter 4 | Verse 41] But far more came to believe in him because of what he said himself,
[OEB | EN | NT | John | Chapter 4 | Verse 42] and they said to the woman, ‘It is no longer because of what you say that we believe in him, for we have heard him ourselves and know that he really is the Saviour of the world.’
[OEB | EN | NT | John | Chapter 4 | Verse 43] After these two days Jesus went on to Galilee;
[OEB | EN | NT | John | Chapter 4 | Verse 44] for he himself declared that “a prophet is not honoured in his own country.”
[OEB | EN | NT | John | Chapter 4 | Verse 45] When he entered Galilee, the Galileans welcomed him, for they had seen all that he did at Jerusalem during the Festival, at which they also had been present.
[OEB | EN | NT | John | Chapter 4 | Verse 46] So Jesus came again to Cana in Galilee, where he had turned the water into wine. Now there was one of the king’s officers whose son was lying ill at Capernaum.
[OEB | EN | NT | John | Chapter 4 | Verse 47] When this man heard that Jesus had returned from Judea to Galilee, he went to him, and begged him to come down and cure his son; for he was at the point of death.
[OEB | EN | NT | John | Chapter 4 | Verse 48] Jesus answered, ‘Unless you all see signs and wonders, you will not believe.’
[OEB | EN | NT | John | Chapter 4 | Verse 49] ‘Sir,’ said the officer, ‘come down before my child dies.’ And Jesus answered, ‘Go, your son is living.’
[OEB | EN | NT | John | Chapter 4 | Verse 50] The man believed what Jesus said to him, and went;
[OEB | EN | NT | John | Chapter 4 | Verse 51] and, while he was on his way down, his servants met him, and told him that his child was living.
[OEB | EN | NT | John | Chapter 4 | Verse 52] So he asked them at what time the boy began to get better. ‘It was yesterday, about one o’clock,’ they said, ‘that the fever left him.’
[OEB | EN | NT | John | Chapter 4 | Verse 53] By this the father knew that it was at the very time when Jesus had said to him “Your son is living”; and he himself, with all his household, believed in Jesus.
[OEB | EN | NT | John | Chapter 4 | Verse 54] This was the second occasion on which Jesus gave a sign of his mission on coming from Judea to Galilee.
