[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 1] Now the Philistines were fighting against Israel; and the men of Israel went in flight before the Philistines, falling down wounded in Mount Gilboa.
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 2] And the Philistines went hard after Saul and his sons, and put to death Jonathan and Abinadab and Malchi-shua, the sons of Saul.
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 3] And the fight was going against Saul, and the archers came across him, and he was wounded by the archers.
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 4] Then Saul said to the servant who had the care of his arms, Take your sword and put it through me, before these men without circumcision come and make sport of me. But his servant, full of fear, would not do so. Then Saul took out his sword, falling on it himself.
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 5] And when his servant saw that Saul was dead, he did the same, and came to his death.
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 6] So death overtook Saul and his three sons; all his family came to an end together.
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 7] And when all the men of Israel who were in the valley saw that the men of Israel had gone in flight and that Saul and his sons were dead, they went in flight away from their towns; and the Philistines came and took them for themselves.
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 8] Now the day after, when the Philistines came to take their goods from the dead, they saw Saul and his sons dead in Mount Gilboa.
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 9] And they took everything off him, and took his head and his war-dress, and sent word into the land of the Philistines round about to give the news to their gods and to the people.
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 10] And they put his war-dress in the house of their gods, and put up his head in the house of Dagon.
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 11] And when the news came to Jabesh-gilead of what the Philistines had done to Saul,
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 12] All the fighting-men came up and took away Saul's body and the bodies of his sons, and took them to Jabesh, and put their bones to rest under the oak-tree in Jabesh, and took no food for seven days.
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 13] So death came to Saul because of the sin which he did against the Lord, that is, because of the word of the Lord which he kept not; and because he went for directions to one who had an evil spirit,
[BBE | EN | OT | 1 Chronicles | Chapter 10 | Verse 14] And not to the Lord: for this reason, he put him to death and gave the kingdom to David, the son of Jesse.
