[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 1] These are the sons of Israel: Reuben, Simeon, Levi and Judah, Issachar and Zebulun;
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 2] Dan, Joseph and Benjamin, Naphtali, Gad and Asher.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 3] The sons of Judah: Er and Onan and Shelah; these three were his sons by Bathshua, the Canaanite woman. And Er, Judah's oldest son, did evil in the eyes of the Lord; and he put him to death.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 4] And Tamar, his daughter-in-law, had Perez and Zerah by him. All the sons of Judah were five.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 5] The sons of Perez: Hezron and Hamul.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 6] And the sons of Zerah: Zimri and Ethan and Heman and Calcol and Dara; five of them.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 7] And the sons of Carmi: Achan, the troubler of Israel, who did wrong about the cursed thing.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 8] And the son of Ethan: Azariah.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 9] And the sons of Hezron, the offspring of his body: Jerahmeel and Ram and Chelubai.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 10] And Ram was the father of Amminadab; and Amminadab was the father of Nahshon, chief of the children of Judah;
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 11] And Nahshon was the father of Salma, and Salma was the father of Boaz,
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 12] And Boaz was the father of Obed, and Obed was the father of Jesse,
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 13] And Jesse was the father of Eliab, his oldest son, and Abinadab, the second, and Shimea, the third,
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 14] Nethanel, the fourth, Raddai, the fifth,
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 15] Ozem, the sixth, David, the seventh;
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 16] And their sisters were Zeruiah and Abigail. And Zeruiah had three sons: Abishai and Joab and Asahel.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 17] And Abigail was the mother of Amasa; and the father of Amasa was Jether the Ishmaelite.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 18] And Caleb, the son of Hezron, had children by Azubah his wife, the daughter of Jerioth; and these were her sons: Jesher and Shobab and Ardon.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 19] And after the death of Azubah, Caleb took as his wife Ephrath, who was the mother of Hur.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 20] And Hur was the father of Uri; and Uri was the father of Bezalel.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 21] And after that, Hezron had connection with the daughter of Machir, the father of Gilead, whom he took as his wife when he was sixty years old; and she had Segub by him.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 22] And Segub was the father of Jair, who had twenty-three towns in the land of Gilead.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 23] And Geshur and Aram took the tent-towns of Jair from them, with Kenath and the small places round it, even sixty towns. All these were the sons of Machir, the father of Gilead.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 24] And after the death of Hezron, Caleb had connection with Ephrath, his father Hezron's wife, and she gave birth to his son Asshur, the father of Tekoa.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 25] And the sons of Jerahmeel, the oldest son of Hezron, were Ram, the oldest, and Bunah and Oren and Ozem and Ahijah.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 26] And Jerahmeel had another wife, whose name was Atarah: she was the mother of Onam.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 27] And the sons of Ram, the oldest son of Jerahmeel, were Maaz and Jamin and Eker.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 28] And the sons of Onam were Shammai and Jada; and the sons of Shammai: Nadab and Abishur.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 29] And the name of Abishur's wife was Abihail; and she had Ahban and Molid by him.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 30] And the sons of Nadab: Seled and Appaim; but Seled came to his end without sons.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 31] And the sons of Appaim: Ishi. And the sons of Ishi: Sheshan. And the sons of Sheshan: Ahlai.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 32] And the sons of Jada, the brother of Shammai: Jether and Jonathan; and Jether came to his end without sons.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 33] And the sons of Jonathan: Peleth and Zaza. These were the sons of Jerahmeel.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 34] Now Sheshan had no sons, but only daughters. And Sheshan had an Egyptian servant, whose name was Jarha.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 35] And Sheshan gave his daughter to Jarha, his servant, as a wife; and she had Attai by him.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 36] And Attai was the father of Nathan, and Nathan was the father of Zabad,
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 37] And Zabad was the father of Ephlal, and Ephlal was the father of Obed,
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 38] And Obed was the father of Jehu, and Jehu was the father of Azariah,
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 39] And Azariah was the father of Helez, and Helez was the father of Eleasah,
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 40] And Eleasah was the father of Sismai, and Sismai was the father of Shallum,
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 41] And Shallum was the father of Jekamiah, and Jekamiah was the father of Elishama.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 42] And the sons of Caleb, the brother of Jerahmeel, were Mareshah, his oldest son, who was the father of Ziph and Hebron.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 43] And the sons of Hebron: Korah and Tappuah and Rekem and Shema.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 44] And Shema was the father of Raham, the father of Jorkeam, and Rekem was the father of Shammai.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 45] And the son of Shammai was Maon; and Maon was the father of Beth-zur.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 46] And Ephah, Caleb's servant-wife, had Haran and Moza and Gazez; and Haran was the father of Gazez.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 47] And the sons of Jahdai: Regem and Jotham and Geshan and Pelet and Ephah and Shaaph.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 48] Maacah, Caleb's servant-wife, was the mother of Sheber and Tirhanah,
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 49] And Shaaph, the father of Madmannah, Sheva, the father of Machbena and the father of Gibea; and Caleb's daughter was Achsah. These were the sons of Caleb.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 50] The sons of Hur, the oldest son of Ephrathah; Shobal, the father of Kiriath-jearim,
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 51] Salma, the father of Beth-lehem, Hareph, the father of Beth-gader.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 52] And Shobal, the father of Kiriath-jearim, had sons: Haroeh, half of the Manahathites.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 53] And the families of Kiriath-jearim: the Ithrites and the Puthites and the Shumathites and the Mishraites; from them came the Zorathites and the Eshtaolites.
[BBE | EN | OT | 1 Chronicles | Chapter 2 | Verse 54] The sons of Salma: Beth-lehem and the Netophathites, Atroth-beth-Joab and half of the Manahathites, the Zorites.
