[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 1] And David made houses for himself in the town of David; and he got ready a place for the ark of God, and put up a tent for it.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 2] Then David said, The ark of God may not be moved by any but the Levites, for they have been marked out by God to take the ark of God, and to do his work for ever.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 3] And David made all Israel come together at Jerusalem, to take the ark of the Lord to its place, which he had got ready for it.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 4] And David got together the sons of Aaron, and the Levites;
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 5] Of the sons of Kohath: Uriel the chief, and his brothers, a hundred and twenty;
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 6] Of the sons of Merari: Asaiah the chief, and his brothers, two hundred and twenty;
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 7] Of the sons of Gershom: Joel the chief, and his brothers, a hundred and thirty;
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 8] Of the sons of Elizaphan: Shemaiah the chief, and his brothers, two hundred;
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 9] Of the sons of Hebron: Eliel the chief, and his brothers, eighty;
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 10] Of the sons of Uzziel: Amminadab the chief, and his brothers, a hundred and twelve.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 11] And David sent for Zadok and Abiathar the priests, and for the Levites, Uriel, Asaiah and Joel, Shemaiah and Eliel and Amminadab,
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 12] And said to them, You are the heads of the families of the Levites: make yourselves holy, you and your brothers, so that you may take the ark of the Lord, the God of Israel, to the place which I have made ready for it.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 13] For because you did not take it at the first, the Lord our God sent punishment on us, because we did not get directions from him in the right way.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 14] So the priests and the Levites made themselves holy to take up the ark of the Lord, the God of Israel.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 15] And the sons of the Levites took up the ark of God, lifting it by its rods, as the Lord had said to Moses.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 16] And David gave orders to the chief of the Levites to put their brothers the music-makers in position, with instruments of music, corded instruments and brass, with glad voices making sounds of joy.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 17] So Heman, the son of Joel, and, of his brothers, Asaph, the son of Berechiah; and of the sons of Merari their brothers, Ethan, the son of Kushaiah, were put in position by the Levites;
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 18] And with them their brothers of the second order, Zechariah, Bani and Jaaziel and Shemiramoth and Jehiel and Unni, Eliab and Benaiah and Maaseiah and Mattithiah and Eliphelehu and Mikneiah, and Obed-edom and Jeiel, the door-keepers.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 19] So those who made melody, Heman, Asaph, and Ethan, were put in position, with brass instruments, sounding loudly;
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 20] And Zechariah and Aziel and Shemiramoth and Jehiel, Unni and Eliab and Maaseiah and Benaiah, with corded instruments put to Alamoth.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 21] And Mattithiah and Eliphelehu and Mikneiah and Obed-edom and Jeiel and Azaziah, with corded instruments on the octave, to give the first note of the song.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 22] And Chenaniah, chief of the Levites, was master of the music: he gave directions about the song, because he was expert.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 23] And Berechiah and Elkanah were door-keepers for the ark.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 24] And Shebaniah and Joshaphat and Nethanel and Amasai and Zechariah and Benaiah and Eliezer, the priests, made music on the horns before the ark of God; and Obed-edom and Jehiah were door-keepers for the ark.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 25] So David, and the responsible men of Israel, and the captains over thousands, went with joy to get the ark of the agreement of the Lord out of the house of Obed-edom.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 26] And when God gave help to the Levites who were lifting up the ark of the agreement of the Lord, they made an offering of seven oxen and seven sheep.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 27] And David was clothed with a robe of fair linen, as were all the Levites who took up the ark, and those who made melody, and Chenaniah the master of those who made melody; and David had on a linen ephod;
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 28] So all Israel took up the ark of the agreement of the Lord, with loud cries and with horns and brass and corded instruments sounding loudly.
[BBE | EN | OT | 1 Chronicles | Chapter 15 | Verse 29] And when the ark of the agreement of the Lord came into the town of David, Michal, the daughter of Saul, looking out of the window, saw King David dancing and playing; and to her mind he seemed foolish.
