[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 1] And the sons of Reuben, the oldest son of Israel, (for he was the oldest son, but, because he made his father's bride-bed unclean, his birthright was given to the sons of Joseph, the son of Israel; but he is not to be given the place of the oldest.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 2] Though Judah became stronger than his brothers, and from him came the ruler, the birthright was Joseph's:)
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 3] The sons of Reuben, the oldest son of Israel: Hanoch and Pallu, Hezron and Carmi.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 4] The sons of Joel: Shemaiah his son, Gog his son, Shimei his son,
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 5] Micah his son, Reaiah his son, Baal his son,
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 6] Beerah his son, whom Tiglath-pileser, king of Assyria, took away as a prisoner: he was chief of the Reubenites.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 7] And his brothers by their families, when the list of their generations was made up: the chief, Jeiel, and Zechariah,
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 8] And Bela, the son of Azaz, the son of Shema, the son of Joel, who was living in Aroer, as far as Nebo and Baal-meon;
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 9] And to the east his limits went as far as the starting point of the waste land, ending at the river Euphrates, because their cattle were increased in number in the land of Gilead.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 10] And in the days of Saul they made war on the Hagarites, and overcame them; and they put up their tents through all the land east of Gilead.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 11] And the sons of Gad were living opposite to them, in the land of Bashan as far as Salecah:
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 12] Joel the chief, and Shapham the second, and Janai and Shaphat in Bashan;
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 13] And their brothers, the men of their family: Michael and Meshullam and Sheba and Jorai and Jacan and Zia and Eber, seven of them.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 14] These were the sons of Abihail, the son of Huri, the son of Jaroah, the son of Gilead, the son of Michael, the son of Jeshishai, the son of Jahdo, the son of Buz;
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 15] Ahi, the son of Abdiel, the son of Guni, head of their families.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 16] And they were living in Gilead in Bashan, in its small towns and in all the grass-land of Sirion as far as its limits.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 17] All these were listed under the names of their families, in the time of Jotham, king of Judah, and in the time of Jeroboam, king of Israel.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 18] There were forty-four thousand, seven hundred and sixty of the sons of Reuben and of the Gadites and of the half-tribe of Manasseh, all strong men, expert in the use of the body-cover, the sword, and the bow, and in the art of war, all able to take up arms.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 19] And they went to war against the Hagarites, with Jetur and Naphish and Nodab.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 20] And they were helped against them, so that the Hagarites, and those with them, were given into their power. For they sent up prayers to God in the fight, and he gave ear to them, because they put their faith in him.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 21] And they took away their cattle: fifty thousand camels, two hundred and fifty thousand sheep, and two thousand asses, and a hundred thousand men.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 22] And a very great number went to their death, because the war was God's purpose. And they went on living in their place till they were taken away as prisoners.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 23] And the men of the half-tribe of Manasseh were living in the land: and their numbers were increased till all the land from Bashan to Baal-hermon and Senir and the mountain Hermon was theirs.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 24] And these were the heads of their families: Epher and Ishi and Eliel and Azriel and Jeremiah and Hodaviah and Jahdiel, men of war, of great name, heads of families.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 25] And they did evil against the God of their fathers, worshipping the gods of the people of the land, whom God had put to destruction before them.
[BBE | EN | OT | 1 Chronicles | Chapter 5 | Verse 26] And the God of Israel put an impulse into the heart of Pul, king of Assyria, and of Tiglath-pileser, king of Assyria, who took them away as prisoners, all the Reubenites and the Gadites and the half-tribe of Manasseh, to Halah and Habor and Hara and to the river of Gozan, to this day.
