[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 1] And Esther established it by a command forever, and it was written for a memorial.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 2] The king levied a tax upon his kingdom both by land and sea.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 3] As for his strength and valour, and the wealth and glory of his kingdom, behold, they are written in the book of the Persians and Medes for a memorial.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 4] Mordecai was viceroy to King Ahasuerus, and was a great man in the kingdom, honored by the Jews, and lived his life loved by all his nation.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 5] [Mordecai said, “These things have come from God.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 6] For I remember the dream which I had concerning these matters; for not one detail of them has failed.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 7] There was the little spring which became a river, and there was light, and the sun and much water. The river is Esther, whom the king married and made queen.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 8] The two serpents are Haman and me.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 9] The nations are those which combined to destroy the name of the Jews.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 10] But as for my nation, this is Israel, even those who cried to God and were delivered; for the Lord delivered his people. The Lord rescued us out of all these calamities; and God worked such signs and great wonders as have not been done among the nations.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 11] Therefore he ordained two lots. One for the people of God, and one for all the other nations.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 12] And these two lots came for an appointed season, and for a day of judgment, before God, and for all the nations.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 13] God remembered his people and vindicated his inheritance.
[WEB | EN | OT | Esther (Greek) | Chapter 10 | Verse 14] They shall observe these days in the month Adar, on the fourteenth and on the fifteenth day of the month, with an assembly, joy, and gladness before God, throughout the generations forever among his people Israel.
