[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 1] ராஜாவாகிய சாலொமோன் அனைத்து இஸ்ரவேலின்மேலும் ராஜாவாக இருந்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 2] அவனுக்கு இருந்த அதிகாரிகள்: சாதோக்கின் மகனாகிய அசரியா ஆசாரியனாக இருந்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 3] சீசாவின் மகனாகிய ஏலிகோரேப்பும் அகியாவும் எழுத்தர்களாக இருந்தார்கள்; அகிலூதின் மகன் யோசபாத் மந்திரியாக இருந்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 4] யோய்தாவின் மகன் பெனாயா படைத்தலைவனும், சாதோக்கும் அபியத்தாரும் ஆசாரியர்களுமாக இருந்தார்கள்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 5] நாத்தானின் மகன் அசரியா அலுவலர்களின் தலைவனாக இருந்தான்; நாத்தானின் மகன் சாபூத் ராஜாவின் ஆசாரியனும் நண்பனாகவும் இருந்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 6] அகீஷார் அரண்மனை அதிகாரியும், அப்தாவின் மகன் அதோனீராம் கட்டாய வேலை செய்கிறவர்களின் அதிகாரியாக இருந்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 7] ராஜாவிற்கும் அவனுடைய அரண்மனையில் உள்ளவர்களுக்கும் தேவையான உணவுப்பொருள்களைச் சேகரிக்கிற பன்னிரண்டு அதிகாரிகள் சாலொமோனுக்கு இஸ்ரவேல் தேசமெங்கும் வைக்கப்பட்டிருந்தார்கள்; அவர்கள் மாதத்திற்கு ஒவ்வொருவராக வருடம் முழுவதும் பராமரித்துவந்தார்கள்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 8] அவர்களின் பெயர்கள்: ஊரின் மகன், இவன் எப்பிராயீம் மலைத் தேசத்தில் இருந்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 9] தேக்கேரின் மகன், இவன் மாகாத்சிலும், சால்பீமிலும், பெத்ஷிமேசிலும், ஏலோன்பெத்தானானிலும் இருந்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 10] ஏசேதின் மகன், இவன் அறுபோத்தில் இருந்தான்; சோக்கோவும் எப்பேர் பூமியனைத்தும் இவனுடைய விசாரிப்பில் இருந்தது.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 11] அபினதாபின் மகன், இவன் தோரின் நாட்டுப்புறம் அனைத்திற்கும் அதிகாரியாக இருந்தான்; சாலொமோனின் மகளாகிய தாபாத் இவனுக்கு மனைவியாக இருந்தாள்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 12] அகிலூதின் மகனாகிய பானா, இவன் விசாரிப்பில், தானாகும், மெகிதோவும், சர்த்தனாவுக்குப் பக்கமாகவும் யெஸ்ரயேலுக்குக் கீழாகவும் பெத்செயான்துவங்கி ஆபேல் மெகொலாவரை யக்மெயாமுக்கு மறுபக்கம்வரை இருக்கிற பெத்செயான் அனைத்தும் இருந்தது.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 13] கேபேரின் மகன், இவன் கீலேயாத்திலுள்ள ராமோத்தில் இருந்தான்; கீலேயாத்திலுள்ள மனாசேயின் மகனாகிய யாவீரின் கிராமங்களும் மதில்களும் வெண்கலத் தாழ்ப்பாள்களுமுள்ள பாசான் தேசத்தினுடைய அறுபது பெரிய பட்டணங்களுள்ள அர்கோப் பட்டணமும் இவன் விசாரிப்பில் இருந்தது.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 14] இத்தோவின் மகன் அகினதாப், இவன் மகனாயீமில் இருந்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 15] அகிமாஸ், இவன் நப்தலியில் இருந்தான்; இவன் சாலொமோனுக்கு இருந்த ஒரு மகளாகிய பஸ்மாத் என்பவளைத் திருமணம்செய்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 16] ஊசாயின் மகன் பானா, இவன் ஆசேரிலும் ஆலோத்திலும் இருந்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 17] பருவாவின் மகன் யோசபாத், இவன் இசக்காரில் இருந்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 18] ஏலாவின் மகன் சீமேயி, இவன் பென்யமீனில் இருந்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 19] ஊரியின் மகன் கேபேர், இவன் எமோரியர்களின் ராஜாவாகிய சீகோனுக்கும் பாசானின் ராஜாவாகிய ஓகுக்கும் இருந்த தேசமாகிய கீலேயாத் தேசத்தில் இருந்தான்; இவன் மாத்திரம் அத்தேசத்தில் அதிபதியாக இருந்தான்.
[IRV | TA | OT | 1 Kings | Chapter 4 | Verse 20] யூதாவும் இஸ்ரவேலும் கடற்கரை மணலைப்போல அதிகமாக இருந்து, சாப்பிட்டுக் குடித்து மகிழ்ந்துகொண்டிருந்தார்கள்.
