[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 1] તમે યહોવાહ તમારા ઈશ્વરનાં સંતાન છો. મૃત્યુ પામેલાંને લીધે તમારે તમારા શરીર પર ઘા ન કરવા, કે ચહેરા પર મૂંડન ન કરવું.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 2] કેમ કે તમે યહોવાહ તમારા ઈશ્વરના પવિત્ર લોકો છો, પૃથ્વીની સપાટી પરના સર્વ લોકોમાંથી તમને યહોવાહે પોતાની ખાસ પ્રજા થવા માટે પસંદ કર્યા છે.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 3] તમારે કોઈ અશુદ્ધ વસ્તુમાંથી ખાવું નહિ.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 4] તમારે આ પ્રાણીઓને ખાવાં એટલે બળદ, ઘેટાં, બકરાં,
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 5] હરણ, સાબર, કાળિયાર, જંગલી બકરાં, પર્વતીય ઘેટાં.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 6] જે કોઈ પ્રાણીની ખરી ફાટેલી હોય અને ફાટીને તેના બે ભાગ થઈ ગયેલા હોય, વાગોળતો હોય તેવાં પ્રાણીને તમે ખાઈ શકો.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 7] પરંતુ, તમારે કેટલાંક પ્રાણીઓ જેવા કે, વાગોળતાં હોય પણ જેઓની ખરી બે ભાગમાં ફાટી ગયેલી હોય આ પ્રાણીઓ ન ખાવાં. એટલે કે ઊંટ, સસલું તથા શાફાન કેમ કે તેઓ વાગોળે છે પણ તેમની ખરી ફાટેલી નથી, તેઓ તમારા માટે અશુદ્ધ છે.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 8] ડુક્કરની ખરી ફાટેલી હોય છે પણ તે વાગોળતું નથી એટલે તે તમારા માટે અશુદ્ધ છે. તેનું માંસ તમારે ખાવું નહિ અને તેમના મૃતદેહને તમારે સ્પર્શ કરવો નહિ.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 9] જળચર પ્રાણીઓમાં તમારે ખાવાં તે આ છે: જેમને ભિંગડાં તથા પર હોય તે ખાવાં;
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 10] પરંતુ જેઓને પર કે ભિંગડાં ના હોય તેવા જળચરો તમારે ખાવાં નહિ, તેઓ તમારા માટે અશુદ્ધ છે.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 11] બધાં જ શુદ્ધ પક્ષીઓ તમે ખાઈ શકો.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 12] પણ આ પક્ષીઓમાંથી તમારે ખાવાં નહિ એટલે કે, ગરુડ, ગીધ, કુરર,
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 13] સમડી, બાજ તથા કલીલ તેની જુદી જાત પ્રમાણે.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 14] પ્રત્યેક જાતના કાગડા,
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 15] શાહમૃગ, ચીબરી, સીગલ, તથા દરેક જાતના શકરા,
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 16] ચીબરી, ઘુવડ, રાજહંસ,
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 17] જળકૂકડી, ગીધ, કરઢોક;
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 18] દરેક જાતનું બગલું, હંસલો તથા ચામાચીડિયું.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 19] બધાં પાંખવાળાં સર્પટિયાં તમારા માટે અશુદ્ધ છે. તે ન ખાવાય
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 20] પરંતુ તમે બધાં શુદ્ધ પક્ષીઓ ખાઈ શકો.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 21] પોતાની રીતે મૃત્યુ પામેલા કોઈ પણ પશુનું માંસ તમારે ખાવું નહિ. તમારા નગરમાં રહેતા પરદેશીને ખાવા માટે આપવું હોય તો આપો. ભલે તે લોકો ખાય; અથવા કોઈ પરદેશીને તે વેચે તો ભલે વેચે. કેમ કે તમે તો યહોવાહ તમારા ઈશ્વરના પવિત્ર લોક છો. વળી બકરીના બચ્ચાંને માતાના દૂધમાં બાફવું નહિ.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 22] પ્રતિવર્ષ તમારે તમારા ખેતરના બીજની બધી ઊપજમાંથી દશમો ભાગ જુદો રાખવો.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 23] તેઓ જે જગ્યા પોતાના પવિત્રસ્થાન માટે પસંદ કરે ત્યાં તેઓની આગળ તમારા અનાજનો દશાંશ, તમારા દ્રાક્ષારસનો, તમારા તેલનો તથા તમારાં પશુ તથા ઘેટાં બકરાંના તથા અન્ય જાનવરોના પ્રથમજનિતને તમારે ખાવાં, કે જેથી તમે યહોવાહ તમારા ઈશ્વરનો આદર કરતાં શીખો.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 24] જો મુસાફરી એટલી લાંબી હોય કે તે તું લઈ જઈ શકે નહિ, કેમ કે જ્યારે યહોવાહ ઈશ્વર તને આશીર્વાદ આપે, ત્યારે યહોવાહ તારા ઈશ્વર જે જગ્યા તેમના પવિત્રસ્થાન માટે પસંદ કરે તે તારાથી ઘણે દૂર હોય,
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 25] તો તમારે તે વેચીને, નાણાં તમારા હાથમાં લઈને યહોવાહ તમારા ઈશ્વર જે જગ્યા પસંદ કરે ત્યાં જવું.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 26] અને તારું દિલ ચાહે તે ખરીદવા માટે તારે એ પૈસા વડે બળદો, ઘેટાં, દ્રાક્ષારસ અને મધ તમને જે કંઈ પસંદ પડે તે ખરીદવું અને તમારા ઈશ્વર યહોવાહ સમક્ષ તમારે અને તમારા કુટુંબે તે ખાઈને આનંદ કરવો;
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 27] તમારા ઘરના લેવીઓને તમારે કદી ભૂલવા જોઈએ નહિ. કારણ કે, તેઓને તમારી સાથે કોઈ પણ ભાગ કે વારસો મળેલો નથી.
[IRV | GU | OT | Deuteronomy | Chapter 14 | Verse 28] દર ત્રીજે વર્ષને અંતે તે વર્ષની તમારી ઊપજનો દશમો ભાગ કાઢી લાવીને તમારા ઘરમાં તમારે સંગ્રહ કરવો;
