[GNV | EN | OT | Zechariah | Chapter 4 | Verse 1] And the Angel that talked with mee, came againe and waked mee, as a man that is raysed out of his sleepe,
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 2] And saide vnto me, What seest thou? And I said, I haue looked, and beholde, a candlesticke all of gold with a bowle vpon the toppe of it, and his seuen lampes therein, and seuen pipes to the lampes, which were vpon the toppe thereof.
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 3] And two oliue trees ouer it, one vpon the right side of the bowle, and the other vpon the left side thereof.
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 4] So I answered, and spake to the Angel that talked with me, saying, What are these, my Lord?
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 5] Then the Angel that talked with mee, answered and said vnto me, Knowest thou not what these be? And I said, No, my Lord.
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 6] Then he answered and spake vnto me, saying, This is the word of the Lord vnto Zerubbabel, saying, Neither by an armie nor strength, but by my Spirit, saith the Lord of hostes.
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 7] Who art thou, O great mountaine, before Zerubbabel? thou shalt be a plaine, and he shall bring foorth the head stone thereof, with shoutings, crying, Grace, grace vnto it.
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 8] Moreouer, the word of the Lord came vnto me, saying,
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 9] The handes of Zerubbabel haue layde the foundation of this house: his handes shall also finish it, and thou shalt knowe that the Lord of hostes hath sent me vnto you.
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 10] For who hath despised the day of the small thinges? but they shall reioyce, and shall see the stone of tinne in the hand of Zerubbabel: these seuen are the eyes of the Lord, which go thorow the whole world.
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 11] Then answered I, and said vnto him, What are these two oliue trees vpon the right and vpon the left side thereof?
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 12] And I spake moreouer, and said vnto him, What bee these two oliue branches, which thorowe the two golden pipes emptie themselues into the golde?
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 13] And hee answered me, and saide, Knowest thou not what these bee? And I sayde, No, my Lord.
[GNV | EN | OT | Zechariah | Chapter 4 | Verse 14] Then said he, These are the two oliue branches, that stand with the ruler of the whole earth.
