[GNV | EN | OT | Zechariah | Chapter 6 | Verse 1] Againe, I turned and lift vp mine eyes, and looked: and beholde, there came foure charets out from betweene two mountaines, and the mountaines were mountaines of brasse.
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 2] In the first charet were red horses, and in the second charet blacke horses,
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 3] And in the thirde charet white horses, and in the fourth charet, horses of diuers colours, and reddish.
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 4] Then I answered, and saide vnto the Angell that talked with mee, What are these, my Lord?
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 5] And the Angell answered, and sayde vnto mee, These are the foure spirites of the heauen, which goe foorth from standing with the Lord of all the earth.
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 6] That with the blacke horse went forth into the land of the North, and the white went out after them, and they of diuers colours went forth toward the South countrey.
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 7] And the reddish went out, and required to go, and passe through the world, and he sayde, Goe passe through the worlde. So they went thorowout the world.
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 8] Then cryed hee vpon me, and spake vnto me, saying, Beholde, these that goe towarde the North countrey, haue pacified my spirit in the North countrey.
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 9] And the worde of the Lord came vnto me, saying,
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 10] Take of them of ye captiuitie, euen of Heldai, and of Tobijah, and Iedaiah, which are come from Babel, and come thou the same day, and goe vnto the house of Ioshiah, the sonne of Zephaniah.
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 11] Take euen siluer, and golde, and make crownes, and set them vpon the head of Iehoshua, the sonne of Iehozadak the hie Priest,
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 12] And speake vnto him, saying, Thus speaketh the Lord of hostes, and sayth, Behold the man whose name is the Branch, and he shall growe vp out of his place, and he shall build the Temple of the Lord.
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 13] Euen hee shall build the Temple of the Lord, and he shall beare the glory, and shall sit and rule vpon his throne, and he shalbe a Priest vpon his throne, and the counsell of peace shall be betweene them both.
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 14] And the crownes shall be to Helem, and to Tobijah, and to Iedaiah, and to Hen the sonne of Zephaniah, for a memoriall in the Temple of the Lord.
[GNV | EN | OT | Zechariah | Chapter 6 | Verse 15] And they that are farre off, shall come and build in the Temple of the Lord, and ye shall know, that the Lord of hostes hath sent me vnto you. And this shall come to passe, if ye will obey the voyce of the Lord your God.
