[BBE | EN | NT | Philemon | Chapter 1 | Verse 1] Paul, a prisoner of Jesus Christ, and Timothy our brother, to Philemon, our dear helper in the faith,
[BBE | EN | NT | Philemon | Chapter 1 | Verse 2] And to Apphia, our sister, and to Archippus, our brother in God's army, and to the church in your house:
[BBE | EN | NT | Philemon | Chapter 1 | Verse 3] Grace to you and peace from God our Father and the Lord Jesus Christ.
[BBE | EN | NT | Philemon | Chapter 1 | Verse 4] I give praise to God at all times and make prayer for you,
[BBE | EN | NT | Philemon | Chapter 1 | Verse 5] Hearing of the love and the faith which you have to the Lord Jesus and to all the saints;
[BBE | EN | NT | Philemon | Chapter 1 | Verse 6] That the faith which you have in common with them may be working with power, in the knowledge of every good thing in you, for Christ.
[BBE | EN | NT | Philemon | Chapter 1 | Verse 7] For I had great joy and comfort in your love, because the hearts of the saints have been made strong again through you, brother.
[BBE | EN | NT | Philemon | Chapter 1 | Verse 8] And so, though I might, in the name of Christ, give you orders to do what is right,
[BBE | EN | NT | Philemon | Chapter 1 | Verse 9] Still, because of love, in place of an order, I make a request to you, I, Paul, an old man and now a prisoner of Christ Jesus:
[BBE | EN | NT | Philemon | Chapter 1 | Verse 10] My request is for my child Onesimus, the child of my chains,
[BBE | EN | NT | Philemon | Chapter 1 | Verse 11] Who in the past was of no profit to you, but now is of profit to you and to me:
[BBE | EN | NT | Philemon | Chapter 1 | Verse 12] Whom I have sent back to you, him who is my very heart:
[BBE | EN | NT | Philemon | Chapter 1 | Verse 13] Though my desire was to keep him with me, to be my servant in the chains of the good news, in your place:
[BBE | EN | NT | Philemon | Chapter 1 | Verse 14] But without your approval I would do nothing; so that your good works might not be forced, but done freely from your heart.
[BBE | EN | NT | Philemon | Chapter 1 | Verse 15] For it is possible that for this reason he was parted from you for a time, so that you might have him for ever;
[BBE | EN | NT | Philemon | Chapter 1 | Verse 16] No longer as a servant, but more than a servant, a brother, very dear to me specially, but much more to you, in the flesh as well as in the Lord.
[BBE | EN | NT | Philemon | Chapter 1 | Verse 17] If then you take me to be your friend and brother, take him in as myself.
[BBE | EN | NT | Philemon | Chapter 1 | Verse 18] If he has done you any wrong or is in debt to you for anything, put it to my account.
[BBE | EN | NT | Philemon | Chapter 1 | Verse 19] I, Paul, writing this myself, say, I will make payment to you: and I do not say to you that you are in debt to me even for your life.
[BBE | EN | NT | Philemon | Chapter 1 | Verse 20] So brother, let me have joy of you in the Lord: give new life to my heart in Christ.
[BBE | EN | NT | Philemon | Chapter 1 | Verse 21] Being certain that you will do my desire, I am writing to you, in the knowledge that you will do even more than I say.
[BBE | EN | NT | Philemon | Chapter 1 | Verse 22] And make a room ready for me; for I am hoping that through your prayers I will be given to you.
[BBE | EN | NT | Philemon | Chapter 1 | Verse 23] Epaphras, my brother-prisoner in Christ Jesus, sends you his love;
[BBE | EN | NT | Philemon | Chapter 1 | Verse 24] And so do Mark, Aristarchus, Demas, and Luke, my brother-workers.
[BBE | EN | NT | Philemon | Chapter 1 | Verse 25] The grace of our Lord Jesus Christ be with your spirit. So be it.
