[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 1] And concerning the times and the seasons, brethren, ye have no need of my writing to you,
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 2] for yourselves have known thoroughly that the day of the Lord as a thief in the night doth so come,
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 3] for when they may say, Peace and surety, then sudden destruction doth stand by them, as the travail [doth] her who is with child, and they shall not escape;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 4] and ye, brethren, are not in darkness, that the day may catch you as a thief;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 5] all ye are sons of light, and sons of day; we are not of night, nor of darkness,
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 6] so, then, we may not sleep as also the others, but watch and be sober,
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 7] for those sleeping, by night do sleep, and those making themselves drunk, by night are drunken,
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 8] and we, being of the day — let us be sober, putting on a breastplate of faith and love, and an helmet — a hope of salvation,
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 9] because God did not appoint us to anger, but to the acquiring of salvation through our Lord Jesus Christ,
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 10] who did die for us, that whether we wake — whether we sleep — together with him we may live;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 11] wherefore, comfort ye one another, and build ye up, one the one, as also ye do.
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 12] And we ask you, brethren, to know those labouring among you, and leading you in the Lord, and admonishing you,
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 13] and to esteem them very abundantly in love, because of their work; be at peace among yourselves;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 14] and we exhort you, brethren, admonish the disorderly, comfort the feeble-minded, support the infirm, be patient unto all;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 15] see no one evil for evil may render to any one, but always that which is good pursue ye, both to one another and to all;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 16] always rejoice ye;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 17] continually pray ye;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 18] in every thing give thanks, for this [is] the will of God in Christ Jesus in regard to you.
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 19] The Spirit quench not;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 20] prophesyings despise not;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 21] all things prove; that which is good hold fast;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 22] from all appearance of evil abstain ye;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 23] and the God of the peace Himself sanctify you wholly, and may your whole spirit, and soul, and body, be preserved unblameably in the presence of our Lord Jesus Christ;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 24] stedfast is He who is calling you, who also will do [it].
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 25] Brethren, pray for us;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 26] salute all the brethren in an holy kiss;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 27] I charge you [by] the Lord, that the letter be read to all the holy brethren;
[YLT | EN | NT | 1 Thessalonians | Chapter 5 | Verse 28] the grace of our Lord Jesus Christ [is] with you! Amen.
