[DARBY | EN | NT | Acts | Chapter 10 | Verse 1] But a certain man in Caesarea, — by name Cornelius, a centurion of the band called Italic,
[DARBY | EN | NT | Acts | Chapter 10 | Verse 2] pious, and fearing God with all his house, [both] giving much alms to the people, and supplicating God continually,
[DARBY | EN | NT | Acts | Chapter 10 | Verse 3] — saw plainly in a vision, about the ninth hour of the day, an angel of God coming unto him, and saying to him, Cornelius.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 4] But he, having fixed his eyes upon him, and become full of fear, said, What is it, Lord? And he said to him, Thy prayers and thine alms have gone up for a memorial before God.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 5] And now send men to Joppa and fetch Simon, who is surnamed Peter.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 6] He lodges with a certain Simon, a tanner, whose house is by the sea.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 7] And when the angel who was speaking to him had departed, having called two of his household and a pious soldier of those who were constantly with him,
[DARBY | EN | NT | Acts | Chapter 10 | Verse 8] and related all things to them, he sent them to Joppa.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 9] And on the morrow, as these were journeying and drawing near to the city, Peter went up on the house to pray, about the sixth hour.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 10] And he became hungry and desired to eat. But as they were making ready an ecstasy came upon him:
[DARBY | EN | NT | Acts | Chapter 10 | Verse 11] and he beholds the heaven opened, and a certain vessel descending, as a great sheet, [bound] by [the] four corners [and] let down to the earth;
[DARBY | EN | NT | Acts | Chapter 10 | Verse 12] in which were all the quadrupeds and creeping things of the earth, and the fowls of the heaven.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 13] And there was a voice to him, Rise, Peter, slay and eat.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 14] And Peter said, In no wise, Lord; for I have never eaten anything common or unclean.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 15] And [there was] a voice again the second time to him, What God has cleansed, do not thou make common.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 16] And this took place thrice, and the vessel was straightway taken up into heaven.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 17] And as Peter doubted in himself what the vision which he had seen might mean, behold also the men who were sent by Cornelius, having sought out the house of Simon, stood at the gate,
[DARBY | EN | NT | Acts | Chapter 10 | Verse 18] and having called [some one], they inquired if Simon who was surnamed Peter was lodged there.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 19] But as Peter continued pondering over the vision, the Spirit said to him, Behold, three men seek thee;
[DARBY | EN | NT | Acts | Chapter 10 | Verse 20] but rise up, go down, and go with them, nothing doubting, because I have sent them.
[DARBY | EN | NT | Acts | Chapter 10 | Verse 21] And Peter going down to the men said, Behold, I am he whom ye seek: what is the cause for which ye come?
