[DARBY | EN | NT | Acts | Chapter 5 | Verse 1] But a certain man, Ananias by name, with Sapphira his wife, sold a possession,
[DARBY | EN | NT | Acts | Chapter 5 | Verse 2] and put aside for himself part of the price, [his] wife also being privy to it; and having brought a certain part, laid it at the feet of the apostles.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 3] But Peter said, Ananias, why has Satan filled thy heart that thou shouldest lie to the Holy Spirit, and put aside for thyself a part of the price of the estate?
[DARBY | EN | NT | Acts | Chapter 5 | Verse 4] While it remained did it not remain to thee? and sold, was [it not] in thine own power? Why is it that thou hast purposed this thing in thine heart? Thou hast not lied to men, but to God.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 5] And Ananias, hearing these words, fell down and expired. And great fear came upon all who heard [it].
[DARBY | EN | NT | Acts | Chapter 5 | Verse 6] And the young men, rising up, swathed him up for burial, and having carried him out, buried him.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 7] And it came to pass about three hours afterwards, that his wife, not knowing what had happened, came in.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 8] And Peter answered her, Tell me if ye gave the estate for so much? And she said, Yes, for so much.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 9] And Peter said to her, Why [is it] that ye have agreed together to tempt the Spirit of [the] Lord? Lo, the feet of those that have buried thy husband [are] at the door, and they shall carry thee out.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 10] And she fell down immediately at his feet and expired. And when the young men came in they found her dead; and, having carried her out, they buried her by her husband.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 11] And great fear came upon all the assembly, and upon all who heard these things.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 12] And by the hands of the apostles were many signs and wonders done among the people; (and they were all with one accord in Solomon's porch,
[DARBY | EN | NT | Acts | Chapter 5 | Verse 13] but of the rest durst no man join them, but the people magnified them;
[DARBY | EN | NT | Acts | Chapter 5 | Verse 14] and believers were more than ever added to the Lord, multitudes both of men and women;)
[DARBY | EN | NT | Acts | Chapter 5 | Verse 15] so that they brought out the sick into the streets and put [them] on beds and couches, that at least the shadow of Peter, when he came, might overshadow some one of them.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 16] And the multitude also of the cities round about came together to Jerusalem, bringing sick persons and persons beset by unclean spirits, who were all healed.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 17] And the high priest rising up, and all they that were with him, which is the sect of the Sadducees, were filled with wrath,
[DARBY | EN | NT | Acts | Chapter 5 | Verse 18] and laid hands on the apostles and put them in the public prison.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 19] But an angel of [the] Lord during the night opened the doors of the prison, and leading them out, said,
[DARBY | EN | NT | Acts | Chapter 5 | Verse 20] Go ye and stand and speak in the temple to the people all the words of this life.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 21] And when they heard it, they entered very early into the temple and taught. And when the high priest was come, and they that were with him, they called together the council and all the elderhood of the sons of Israel, and sent to the prison to have them brought.
[DARBY | EN | NT | Acts | Chapter 5 | Verse 22] And when the officers were come, they did not find them in the prison; and returned and reported
