[JPS | EN | OT | Daniel | Chapter 2 | Verse 1] And in the second year of the reign of Nebuchadnezzar, Nebuchadnezzar dreamed dreams; and his spirit was troubled, and his sleep broke from him.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 2] Then the king commanded to call the magicians, and the enchanters, and the sorcerers, and the Chaldeans, to tell the king his dreams. So they came and stood before the king.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 3] And the king said unto them: 'I have dreamed a dream, and my spirit is troubled to know the dream.'
[JPS | EN | OT | Daniel | Chapter 2 | Verse 4] Then spoke the Chaldeans to the king in Aramaic: 'O king, live for ever! tell thy servants the dream, and we will declare the interpretation.'
[JPS | EN | OT | Daniel | Chapter 2 | Verse 5] The king answered and said to the Chaldeans: 'The thing is certain with me; if ye make not known unto me the dream and the interpretation thereof, ye shall be cut in pieces, and your houses shall be made a dunghill.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 6] But if ye declare the dream and the interpretation thereof, ye shall receive of me gifts and rewards and great honour; only declare unto me the dream and the interpretation thereof.'
[JPS | EN | OT | Daniel | Chapter 2 | Verse 7] They answered the second time and said: 'Let the king tell his servants the dream, and we will declare the interpretation.'
[JPS | EN | OT | Daniel | Chapter 2 | Verse 8] The king answered and said: 'I know of a truth that ye would gain time, inasmuch as ye see the thing is certain with me,
[JPS | EN | OT | Daniel | Chapter 2 | Verse 9] that, if ye make not known unto me the dream, there is but one law for you; and ye have agreed together to speak before me lying and corrupt words, till the time be changed; only tell me the dream, and I shall know that ye can declare unto me the interpretation thereof.'
[JPS | EN | OT | Daniel | Chapter 2 | Verse 10] The Chaldeans answered before the king, and said: 'There is not a man upon the earth that can declare the king's matter; forasmuch as no great and powerful king hath asked such a thing of any magician, or enchanter, or Chaldean.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 11] And it is a hard thing that the king asketh, and there is none other that can declare it before the king, except the gods, whose dwelling is not with flesh.'
[JPS | EN | OT | Daniel | Chapter 2 | Verse 12] For this cause the king was angry and very furious, and commanded to destroy all the wise men of Babylon.
[JPS | EN | OT | Daniel | Chapter 2 | Verse 13] So the decree went forth, and the wise men were to be slain; and they sought Daniel and his companions to be slain.
