[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 1] Now, brothers, concerning the coming of our Lord Jesus Christ and our gathering together to him, we ask you
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 2] not to be quickly shaken in your mind or troubled, either by spirit or by word or by letter as if from us, saying that the day of Christ has already come.
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 3] Let no one deceive you in any way. For it will not be unless the rebellion comes first, and the man of sin is revealed, the son of destruction.
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 4] He opposes and exalts himself against all that is called God or that is worshiped, so that he sits as God in the temple of God, setting himself up as God.
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 5] Don’t you remember that when I was still with you, I told you these things?
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 6] Now you know what is restraining him, to the end that he may be revealed in his own season.
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 7] For the mystery of lawlessness already works. Only there is one who restrains now, until he is taken out of the way.
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 8] Then the lawless one will be revealed, whom the Lord will kill with the breath of his mouth and destroy by the manifestation of his coming;
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 9] even he whose coming is according to the working of Satan with all power and signs and lying wonders,
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 10] and with all deception of wickedness for those who are being lost, because they didn’t receive the love of the truth, that they might be saved.
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 11] Because of this, God sends them a powerful delusion, that they should believe a lie,
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 12] that they all might be judged who didn’t believe the truth, but had pleasure in unrighteousness.
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 13] But we are bound to always give thanks to God for you, brothers loved by the Lord, because God chose you from the beginning for salvation through sanctification of the Spirit and belief in the truth,
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 14] to which he called you through our Good News, for the obtaining of the glory of our Lord Jesus Christ.
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 15] So then, brothers, stand firm and hold the traditions which you were taught by us, whether by word or by letter.
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 16] Now our Lord Jesus Christ himself, and God our Father, who loved us and gave us eternal comfort and good hope through grace,
[WEB | EN | NT | 2 Thessalonians | Chapter 2 | Verse 17] comfort your hearts and establish you in every good work and word.
