[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 1] Paul, called to be an apostle of Jesus Christ through the will of God, and Sosthenes our brother,
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 2] unto the church of God which is at Corinth, to them that are sanctified in Christ Jesus, called to be saints, with all that in every place call upon the name of Jesus Christ our Lord, both theirs and ours:
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 3] grace be unto you, and peace, from God our Father, and from the Lord Jesus Christ.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 4] I thank my God always on your behalf, for the grace of God which is given you by Jesus Christ;
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 5] that in every thing ye are enriched by him, in all utterance, and in all knowledge;
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 6] even as the testimony of Christ was confirmed in you:
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 7] so that ye come behind in no gift; waiting for the coming of our Lord Jesus Christ:
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 8] who shall also confirm you unto the end, that ye may be blameless in the day of our Lord Jesus Christ.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 9] God is faithful, by whom ye were called unto the fellowship of his Son Jesus Christ our Lord.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 10] Now I beseech you, brethren, by the name of our Lord Jesus Christ, that ye all speak the same thing, and that there be no divisions among you; but that ye be perfectly joined together in the same mind and in the same judgment.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 11] For it hath been declared unto me of you, my brethren, by them which are of the house of Chloe, that there are contentions among you.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 12] Now this I say, that every one of you saith, I am of Paul; and I of Apollos; and I of Cephas; and I of Christ.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 13] Is Christ divided? was Paul crucified for you? or were ye baptized in the name of Paul?
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 14] I thank God that I baptized none of you, but Crispus and Gaius;
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 15] lest any should say that I had baptized in mine own name.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 16] And I baptized also the household of Stephanas: besides, I know not whether I baptized any other.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 17] For Christ sent me not to baptize, but to preach the gospel: not with wisdom of words, lest the cross of Christ should be made of none effect.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 18] For the preaching of the cross is to them that perish foolishness; but unto us which are saved it is the power of God.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 19] For it is written, I will destroy the wisdom of the wise, and will bring to nothing the understanding of the prudent.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 20] Where is the wise? where is the scribe? where is the disputer of this world? hath not God made foolish the wisdom of this world?
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 21] For after that in the wisdom of God the world by wisdom knew not God, it pleased God by the foolishness of preaching to save them that believe.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 22] For the Jews require a sign, and the Greeks seek after wisdom:
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 23] but we preach Christ crucified, unto the Jews a stumblingblock, and unto the Greeks foolishness;
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 24] but unto them which are called, both Jews and Greeks, Christ the power of God, and the wisdom of God.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 25] Because the foolishness of God is wiser than men; and the weakness of God is stronger than men.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 26] For ye see your calling, brethren, how that not many wise men after the flesh, not many mighty, not many noble, are called:
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 27] but God hath chosen the foolish things of the world to confound the wise; and God hath chosen the weak things of the world to confound the things which are mighty;
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 28] and base things of the world, and things which are despised, hath God chosen, yea, and things which are not, to bring to nought things that are:
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 29] that no flesh should glory in his presence.
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 30] But of him are ye in Christ Jesus, who of God is made unto us wisdom, and righteousness, and sanctification, and redemption:
[KJV | EN | NT | 1 Corinthians | Chapter 1 | Verse 31] that, according as it is written, He that glorieth, let him glory in the Lord.
