[IRV | HI | OT | Ezra | Chapter 2 | Verse 1] जिनको बाबेल का राजा नबूकदनेस्सर बाबेल को बन्दी बनाकर ले गया था, उनमें से प्रान्त के जो लोग बँधुआई से छूटकर यरूशलेम और यहूदा को अपने-अपने नगर में लौटे वे ये हैं।
[IRV | HI | OT | Ezra | Chapter 2 | Verse 2] ये जरुब्बाबेल, येशुअ, नहेम्याह, सरायाह, रेलायाह, मोर्दकै, बिलशान, मिस्पार, बिगवै, रहूम और बानाह के साथ आए। इस्राएली प्रजा के मनुष्यों की गिनती यह है: अर्थात्
[IRV | HI | OT | Ezra | Chapter 2 | Verse 3] परोश की सन्तान दो हजार एक सौ बहत्तर,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 4] शपत्याह की सन्तान तीन सौ बहत्तर,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 5] आरह की सन्तान सात सौ पचहत्तर,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 6] पहत्मोआब की सन्तान येशुअ और योआब की सन्तान में से दो हजार आठ सौ बारह,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 7] एलाम की सन्तान बारह सौ चौवन,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 8] जत्तू की सन्तान नौ सौ पैंतालीस,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 9] जक्कई की सन्तान सात सौ साठ,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 10] बानी की सन्तान छः सौ बयालीस,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 11] बेबै की सन्तान छः सौ तेईस,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 12] अजगाद की सन्तान बारह सौ बाईस,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 13] अदोनीकाम की सन्तान छः सौ छियासठ,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 14] बिगवै की सन्तान दो हजार छप्पन,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 15] आदीन की सन्तान चार सौ चौवन,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 16] हिजकिय्याह की सन्तान आतेर की सन्तान में से अठानवे,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 17] बेसै की सन्तान तीन सौ तेईस,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 18] योरा के लोग एक सौ बारह,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 19] हाशूम के लोग दो सौ तेईस,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 20] गिब्बार के लोग पंचानबे,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 21] बैतलहम के लोग एक सौ तेईस,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 22] नतोपा के मनुष्य छप्पन;
[IRV | HI | OT | Ezra | Chapter 2 | Verse 23] अनातोत के मनुष्य एक सौ अट्ठाईस,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 24] अज्मावेत के लोग बयालीस,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 25] किर्यत्यारीम कपीरा और बेरोत के लोग सात सौ तैंतालीस,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 26] रामाह और गेबा के लोग छः सौ इक्कीस,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 27] मिकमाश के मनुष्य एक सौ बाईस,
[IRV | HI | OT | Ezra | Chapter 2 | Verse 28] बेतेल और आई के मनुष्य दो सौ तेईस,
