[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 1] यिर्मयाला परमेश्वरापासून जे वचन आले ते हे आहे आणि म्हणाले,
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 2] परमेश्वर, इस्राएलाचा देव, जे काही बोलला, तो म्हणतो, “मी तुझ्याशी बोललेले सर्व वचने आपणासाठी पुस्तकात लिहून ठेव.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 3] कारण पाहा, परमेश्वराचे हे निवेदन आहे, असे दिवस येतील की, ज्यात मी आपल्या लोकांचे इस्राएल आणि यहूदा यांचे भविष्य प्रस्थापित करील. कारण मी त्यांच्या पूर्वजांना दिलेल्या देशात त्यांना परत आणीन आणि ते त्याचा ताबा घेतील.” असे मी परमेश्वर म्हणत आहे.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 4] इस्राएलाविषयी व यहूदाविषयी ही परमेश्वराने जाहीर केलेली वचने आहेत.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 5] कारण परमेश्वर हे म्हणाला, “आम्ही दहशतीने थरथर कापणाऱ्याची वाणी ऐकली आहे शांतीची नाही.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 6] विचारा व पाहा जर पुरुष बालकाला जन्म देईल. प्रत्येक तरुण पुरुषाचा हात प्रसवणाऱ्या स्त्रीप्रमाणे त्याच्या कमरेवर दिला आहे हे मी का पाहत आहे? त्या सर्वांची चेहरे फिक्के का पडली आहेत?
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 7] हायहाय! तो दिवस महान आहे, त्याच्यासारखा कोणताही नाही. तो याकोबासाठी चिंतेचा समय आहे, पण त्यातून त्यांचे रक्षण होईल.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 8] सेनाधीश परमेश्वर म्हणतो त्या दिवशी असे होईल की, मी तुमच्या मानेवरील जोखड मोडीन आणि तुमची बंधने तोडीन, यापुढे परके तुला गुलाम करणार नाहीत.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 9] पण परमेश्वर त्यांचा देव याची आणि दावीद त्यांचा राजा ज्याला मी त्यांच्यावर स्थापीन त्याची ते सेवा करतील.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 10] परमेश्वर असे म्हणतो, म्हणून तू याकोबा, माझ्या सेवका, घाबरु नकोस, आणि इस्राएला, हिंमत खचू नको. कारण पाहा, मी तुला दूर स्थानातून परत आणीन आणि तुझ्या वंशजांना बंदिवासाच्या देशातून तारीन. याकोब पुन्हा येईल आणि शांती असेल; तो सुरक्षित राहील आणि तेथे कोणी दहशत घालणार नाही.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 11] कारण परमेश्वर असे म्हणतो, मी तुला तारायला तुम्हाबरोबर आहे. मग मी ज्या राष्ट्रातून तुझी पांगापांग केली आहे. त्या सर्वांचा मी पूर्ण शेवट करीन, पण मी खात्रीने तुझा शेवट करणार नाही, तरी मी तुला न्यायाने शासन करीन आणि खचीत तुला शिक्षा केल्यावाचून सोडणार नाही.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 12] कारण परमेश्वर असे म्हणतो, तुझी जखम बरी न होऊ शकणारी आहे; तुझा घाय संसर्गजन्य आहे.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 13] तुझा वाद चालवणारा कोणीही नाही; तुझा घाय बरा करण्यासाठी कोणताही उपाय नाही.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 14] तुझे सर्व प्रियकर तुला विसरले आहेत. ते तुला शोधत नाहीत, कारण तुझ्या पुष्कळ अन्यायामुळे आणि अगणित पापांमुळे, मी तुला शत्रूप्रमाणे जखम करून आणि क्रूर धन्याप्रमाणे शिक्षा करून, मी तुला घायाळ केले आहे.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 15] तुझ्या जखमेमुळे तू मदतीसाठी का ओरडतो? तुझ्या यातना बऱ्या न होऊ शकणाऱ्या आहेत. कारण तुझ्या पुष्कळ अन्यायामुळे, तुझ्या असंख्य पापामुळे मी तुला या गोष्टी केल्या आहेत.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 16] म्हणून जे प्रत्येकजण तुला खाऊन टाकतील ते खाऊन टाकले जातील, आणि तुझे सर्व शत्रू बंदिवासात जातील. कारण ज्या कोणी तुला लुटले त्यांची लूट होईल आणि तुला लुटणाऱ्या सर्वांना मी लुटीस देईन.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 17] कारण मी तुला आरोग्य देईन; मी तुमच्या जखमा बऱ्या करीन. हे परमेश्वराचे निवेदन आहे. मी हे करीन कारण की, त्यांनी तुला टाकून दिलेले म्हटले आहे. कोणीही या सियोनेची काळजी घेत नाही.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 18] परमेश्वर असे म्हणतो, पाहा, मी याकोबाच्या डेऱ्याचे भविष्य परत फिरवीन आणि त्याच्या घराण्यावर दया करीन. मग नगर नाशाच्या ढिगाऱ्यावर बांधण्यात येईल आणि ज्याठिकाणी किल्ले होते त्याच जागी पुन्हा होतील.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 19] नंतर त्यांच्यामधून उपकारस्तुती आणि आनंदोत्सव करणाऱ्यांचा आवाज निघेल, कारण मी त्यांची वाढ करीन आणि ती कमी होणार नाही; मी त्यांचे गौरव करीन म्हणजे ते हलके होणार नाहीत.
[IRV | MR | OT | Jeremiah | Chapter 30 | Verse 20] मग त्यांचे लोक पूर्वीच्या सारखे होतील आणि त्यांची मंडळी माझ्यासमोर प्रस्थापित होईल जेव्हा त्यांच्या सर्व लोकांना जे कोणी त्यांना आता पीडा देतील त्यांना मी शिक्षा करीन.
