[LXX | EL | OT | Tobit | Chapter 8 | Verse 1] Ὅτε δὲ συνετέλεσαν δειπνοῦντες, εἰσήγαγον Τωβίαν πρὸς αὐτήν.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 2] Ὁ δὲ πορεύομενος ἐμνήσθη τῶν λόγων Ῥαφαὴλ, καὶ ἔλαβε τὴν τέφραν τῶν θυμιαμάτων, καὶ ἐπέθηκε τὴν καρδίαν τοῦ ἰχθύος καὶ τὸ ἧπαρ, καὶ ἐκάπνισεν.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 3] Ὅτε δὲ ὠσφράνθη τὸ δαιμόνιον τῆς ὀσμῆς, ἔφυγεν εἰς τὰ ἀνώτατα Αἰγύπτου, καὶ ἔδησεν αὐτὸ ὁ ἄγγελος.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 4] Ὡς δὲ συνεκλείσθησαν ἀμφότεροι, ἀνέστη Τωβίας ἀπὸ τῆς κλίνης, καὶ εἶπεν, ἀνάστηθι ἀδελφὴ, καὶ προσευξώμεθα ἵνα ἐλεήσῃ ἡμᾶς ὁ Κύριος.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 5] Καὶ ἤρξατο Τωβίας λέγειν, εὐλογητὸς εἶ ὁ Θεὸς τῶν πατέρων ἡμῶν, καὶ εὐλογητὸν τὸ ὄνομά σου τὸ ἅγιον καὶ ἔνδοξον εἰς τοὺς αἰῶνας· εὐλογησάτωσάν σε οἱ οὐρανοὶ, καὶ πᾶσαι αἱ κτίσεις σου.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 6] Σὺ ἐποίησας Ἀδάμ, καὶ ἔδωκας αὐτῷ βοηθὸν Εὖαν στήριγμα τὴν γυναῖκα αὐτοῦ· ἐκ τούτων ἐγενήθη τὸ ἀνθρώπων σπέρμα· σὺ εἶπας, οὐ καλὸν εἶναι τὸν ἄνθρωπον μόνον, ποιήσωμεν αὐτῷ βοηθὸν ὅμοιον αὐτῷ.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 7] Καὶ νῦν, Κύριε, οὐ διὰ πορνείαν ἐγὼ λαμβάνω τὴν ἀδελφήν μου ταύτην, ἀλλὰ ἐπʼ ἀληθείας ἐπίταξον ἐλεῆσαί με, καὶ αὐτῇ συγκαταγηρᾶσαι.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 8] Καὶ εἶπε μετʼ αὐτοῦ, ἀμήν.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 9] Καὶ ἐκοιμήθησαν ἀμφότεροι τὴν νύκτα· καὶ ἀναστὰς Ῥαγουὴλ ἐπορεύθη, καὶ ὤρυξε τὰφον,
[LXX | EL | OT | Tobit | Chapter 8 | Verse 10] λέγων, μὴ καὶ οὗτος ἀποθάνῃ;
[LXX | EL | OT | Tobit | Chapter 8 | Verse 11] Καὶ ἦλθε Ῥαγουὴλ εἰς τὴν οἰκίαν ἑαυτοῦ,
[LXX | EL | OT | Tobit | Chapter 8 | Verse 12] καὶ εἶπεν Ἔδνᾳ τῇ γυναικὶ αὐτοῦ, ἀπόστειλον μίαν τῶν παιδισκῶν, καὶ ἰδέτωσαν εἰ ζῇ· εἰ δὲ μὴ, ἵνα θάψωμεν αὐτὸν, καὶ μηδεὶς γνῷ.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 13] Καὶ εἰσῆλθεν ἡ παιδίσκη ἀνοίξασα τὴν θύραν, καὶ εὗρε τοὺς δύο καθεύδοντας,
[LXX | EL | OT | Tobit | Chapter 8 | Verse 14] καὶ ἐξελθοῦσα ἀπήγγειλεν αὐτοῖς, ὅτι ζῇ.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 15] Καὶ εὐλόγησε Ῥαγουὴλ τὸν Θεὸν, λέγων, εὐλογητὸς εἶ σὺ ὁ Θεὸς ἐν πάσῃ εὐλογίᾳ καθαρᾷ καὶ ἁγίᾳ· καὶ εὐλογείτωσάν σε οἱ ἅγιοί σου, καὶ πᾶσαι αἱ κτίσεις σου, καὶ πάντες οἱ ἄγγελοί σου, καὶ οἱ ἐκλεκτοί σου· εὐλογείτωσάν σε εἰς τοὺς αἰῶνας.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 16] Εὐλογητὸς εἶ, ὅτι ηὔφρανάς με, καὶ οὐκ ἐγένετό μοι καθὼς ὑπενόουν, ἀλλὰ κατὰ τὸ πολὺ ἔλεός σου ἐποίησας μεθʼ ἡμῶν.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 17] Εὐλογητὸς εἶ, ὅτι ἠλέησας δύο μονογενεῖς· ποίησον αὐτοῖς, δέσποτα, ἔλεος, συντέλεσον τὴν ζωὴν αὐτῶν ἐν ὑγιείᾳ μετʼ εὐφροσύνης καὶ ἐλέους.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 18] Ἐκέλευσε δὲ τοῖς οἰκέταις χῶσαι τὸν τάφον.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 19] Καὶ ἐποίησεν αὐτοῖς γάμον ἡμερῶν δεκατεσσάρων.
[LXX | EL | OT | Tobit | Chapter 8 | Verse 20] Καὶ εἶπεν αὐτῷ Ῥαγουὴλ, πρινὴ συντελεσθῆναι τὰς ἡμέρας τοῦ γάμου, ἐνόρκως, μὴ ἐξελθεῖν αὐτὸν ἐὰν μὴ πληρωθῶσιν αἱ δεκατέσσαρες ἡμέραι τοῦ γάμου,
[LXX | EL | OT | Tobit | Chapter 8 | Verse 21] καὶ τότε λαβόντα τὸ ἥμισυ τῶν ὑπαρχόντων αὐτοῦ πορεύεσθαι μεθʼ ὑγείας πρὸς τὸν πατέρα, καὶ τὰ λοιπὰ ὅταν ἀποθάνω, καὶ ἡ γυνή μου.
