[LXX | EL | OT | Tobit | Chapter 3 | Verse 1] Καὶ λυπηθεὶς ἔκλαυσα, καὶ προσευξάμην μετʼ ὀδύνης, λέγων, Δίκαιος εἶ Κύριε,
[LXX | EL | OT | Tobit | Chapter 3 | Verse 2] καὶ πάντα τὰ ἔργα σου, καὶ πᾶσαι αἱ ὁδοί σου ἐλεημοσύναι καὶ ἀλήθεια, καὶ κρίσιν ἀληθινὴν καὶ δικαίαν σὺ κρίνεις εἰς τὸν αἰῶνα.
[LXX | EL | OT | Tobit | Chapter 3 | Verse 3] Μνήσθητί μου, καὶ ἐπίβλεψον ἐπʼ ἐμέ· μή με ἐκδικῇς ταῖς ἁμαρτίαις μου καὶ τοῖς ἀγνοήμασί μου, καί τῶν πατέρων μου, ἃ ἥμαρτον ἐνώπιόν σου.
[LXX | EL | OT | Tobit | Chapter 3 | Verse 4] Παρήκουσαν γὰρ τῶν ἐντολῶν σου, καὶ ἔδωκας ἡμᾶς εἰς διαρπαγὴν καὶ αἰχμαλωσίαν καὶ θάνατον καὶ παραβολὴν ὀνειδισμοῦ πᾶσι τοῖς ἔθνεσιν ἐν οἷς ἐσκορπίσμεθα.
[LXX | EL | OT | Tobit | Chapter 3 | Verse 5] Καὶ νῦν πολλαὶ αἱ κρίσεις σου εἰσιὶ καὶ ἀληθιναὶ, ἐξ ἐμοῦ ποιῆσαι περὶ τῶν ἁμαρτιῶν μου καὶ τῶν πατέρων μου, ὃτι οὐκ ἐποιήσαμεν τὰς ἐντολάς σου, οὐ γὰρ ἐπορεύθημεν ἐν ἀληθείᾳ ἐνώπιόν σου.
[LXX | EL | OT | Tobit | Chapter 3 | Verse 6] Καὶ νῦν κατὰ τὸ ἀρεστὸν ἐνώπιόν σου ποίησον μετʼ ἐμοῦ· ἐπίταξον ἀναλαβεῖν τὸ πνεῦμά μου, ὅπως ἀπολυθῶ, καὶ γένωμαι γῆ, διότι λυσιτελεῖ μοι ἀποθανεῖν, ἢ ζῇν· ὅτι ὀνειδισμοὺς ψευδεῖς ἤκουσα, καὶ λύπη ἐστὶ πολλὴ ἐν ἐμοί· ἐπίταξον ἀπολυθῆναί με τῆς ἀνάγκης ἤδη εἰς τὸν αἰώνιον τόπον, μὴ ἀποστρέψῃς τὸ πρόσωπόν σου ἀπʼ ἐμοῦ.
[LXX | EL | OT | Tobit | Chapter 3 | Verse 7] Ἐν τῇ αὐτῇ ἡμέρᾳ συνέβη τῇ θυγατρὶ Ῥαγουὴλ Σάῤῥᾳ ἐν Ἐκβατάνοις τῆς Μηδίας, καὶ ταύτην ὀνειδισθῆναι ὑπὸ παιδισκῶν πατρὸς αὐτῆς,
[LXX | EL | OT | Tobit | Chapter 3 | Verse 8] ὅτι ἦν δεδομένη ἀνδράσιν ἑπτὰ, καὶ Ἀσμοδαῖος τὸ πονηρὸν δαιμόνιον ἀπέκτεινεν αὐτοὺς, πρινὴ γενέσθαι αὐτοὺς μετʼ αὐτῆς ὡς ἐν γυναιξί· καὶ εἶπαν αὐτῇ, οὐ συνιεῖς ἀποπνίγουσά σου τοὺς ἄνδρας; ἤδη ἑπτὰ ἔσχες, καὶ ἑνὸς αὐτῶν οὐκ ὠνομάσθης.
[LXX | EL | OT | Tobit | Chapter 3 | Verse 9] Τί ἡμᾶς μαστιγοῖς; εἰ ἀπέθαναν, βάδιζε μετʼ αὐτῶν, μὴ ἴδοιμέν σου υἱὸν ἢ θυγατέρα εἰς τὸν αἰῶνα.
[LXX | EL | OT | Tobit | Chapter 3 | Verse 10] Ταῦτα ἀκούσασα ἐλυπήθη σφόδρα, ὥστε ἀπάγξασθαι· καὶ εἶπε, μία μέν εἰμι τῷ πατρί μου· ἐὰν ποιήσω τοῦτο, ὄνειδος αὐτῷ ἔσται, καὶ τὸ γῆρας αὐτοῦ κατάξω μετʼ ὀδύνης εἰς ᾅδου.
[LXX | EL | OT | Tobit | Chapter 3 | Verse 11] Καὶ ἐδεήθη πρὸς τῇ θυρίδι, καὶ εἶπεν, εὐλογητὸς εἶ Κύριε ὁ Θεός μου, καὶ εὐλογητὸν τὸ ὄνομά σου τὸ ἅγιον καὶ ἔντιμον εἰς τοὺς αἰῶνας· εὐλογήσαισάν σε πάντα τὰ ἔργα σου εἰς τὸν αἰῶνα.
