[ERV | EN | OT | Genesis | Chapter 41 | Verse 1] And it came to pass at the end of two full years, that Pharaoh dreamed: and, behold, he stood by the river.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 2] And, behold, there came up out of the river seven kine, well favoured and fatfleshed; and they fed in the reed-grass.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 3] And, behold, seven other kine came up after them out of the river, ill favoured and leanfleshed; and stood by the other kine upon the brink of the river.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 4] And the ill favoured and leanfleshed kine did eat up the seven well favoured and fat kine. So Pharaoh awoke.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 5] And he slept and dreamed a second time: and, behold, seven ears of corn came up upon one stalk, rank and good.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 6] And, behold, seven ears, thin and blasted with the east wind, sprung up after them.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 7] And the thin ears swallowed up the seven rank and full ears. And Pharaoh awoke, and, behold, it was a dream.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 8] And it came to pass in the morning that his spirit was troubled; and he sent and called for all the magicians of Egypt, and all the wise men thereof: and Pharaoh told them his dream; but there was none that could interpret them unto Pharaoh.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 9] Then spake the chief butler unto Pharaoh, saying, I do remember my faults this day:
[ERV | EN | OT | Genesis | Chapter 41 | Verse 10] Pharaoh was wroth with his servants, and put me in ward in the house of the captain of the guard, me and the chief baker:
[ERV | EN | OT | Genesis | Chapter 41 | Verse 11] and we dreamed a dream in one night, I and he; we dreamed each man according to the interpretation of his dream.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 12] And there was with us there a young man, an Hebrew, servant to the captain of the guard; and we told him, and he interpreted to us our dreams; to each man according to his dream he did interpret.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 13] And it came to pass, as he interpreted to us, so it was; me he restored unto mine office, and him he hanged.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 14] Then Pharaoh sent and called Joseph, and they brought him hastily out of the dungeon: and he shaved himself, and changed his raiment, and came in unto Pharaoh.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 15] And Pharaoh said unto Joseph, I have dreamed a dream, and there is none that can interpret it: and I have heard say of thee, that when thou hearest a dream thou canst interpret it.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 16] And Joseph answered Pharaoh, saying, It is not in me: God shall give Pharaoh an answer of peace.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 17] And Pharaoh spake unto Joseph, In my dream, behold, I stood upon the brink of the river:
[ERV | EN | OT | Genesis | Chapter 41 | Verse 18] and, behold, there came up out of the river seven kine, fatfleshed and well favoured; and they fed in the reed-grass:
[ERV | EN | OT | Genesis | Chapter 41 | Verse 19] and, behold, seven other kine came up after them, poor and very ill favoured and leanfleshed, such as I never saw in all the land of Egypt for badness:
[ERV | EN | OT | Genesis | Chapter 41 | Verse 20] and the lean and ill favoured kine did eat up the first seven fat kine:
[ERV | EN | OT | Genesis | Chapter 41 | Verse 21] and when they had eaten them up, it could not be known that they had eaten them; but they were still ill favoured, as at the beginning. So I awoke.
[ERV | EN | OT | Genesis | Chapter 41 | Verse 22] And I saw in my dream, and, behold, seven ears came up upon one stalk, full and good:
[ERV | EN | OT | Genesis | Chapter 41 | Verse 23] and, behold, seven ears, withered, thin, and blasted with the east wind, sprung up after them:
