[ERV | EN | OT | Genesis | Chapter 36 | Verse 1] Now these are the generations of Esau ( the same is Edom).
[ERV | EN | OT | Genesis | Chapter 36 | Verse 2] Esau took his wives of the daughters of Canaan; Adah the daughter of Elon the Hittite, and Oholibamah the daughter of Anah, the daughter of Zibeon the Hivite;
[ERV | EN | OT | Genesis | Chapter 36 | Verse 3] and Basemath Ishmael’s daughter, sister of Nebaioth.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 4] And Adah bare to Esau Eliphaz; and Basemath bare Reuel;
[ERV | EN | OT | Genesis | Chapter 36 | Verse 5] and Oholibamah bare Jeush, and Jalam, and Korah: these are the sons of Esau, which were born unto him in the land of Canaan.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 6] And Esau took his wives, and his sons, and his daughters, and all the souls of his house, and his cattle, and all his beasts, and all his possessions, which he had gathered in the land of Canaan; and went into a land away from his brother Jacob.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 7] For their substance was too great for them to dwell together; and the land of their sojournings could not bear them because of their cattle.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 8] And Esau dwelt in mount Seir: Esau is Edom.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 9] And these are the generations of Esau the father of the Edomites in mount Seir:
[ERV | EN | OT | Genesis | Chapter 36 | Verse 10] these are the names of Esau’s sons; Eliphaz the son of Adah the wife of Esau, Reuel the son of Basemath the wife of Esau.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 11] And the sons of Eliphaz were Teman, Omar, Zepho, and Gatam, and Kenaz.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 12] And Timna was concubine to Eliphaz Esau’s son; and she bare to Eliphaz Amalek: these are the sons of Adah Esau’s wife.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 13] And these are the sons of Reuel; Nahath, and Zerah, Shammah, and Mizzah: these were the sons of Basemath Esau’s wife.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 14] And these were the sons of Oholibamah the daughter of Anah, the daughter of Zibeon, Esau’s wife: and she bare to Esau Jeush, and Jalam, and Korah.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 15] These are the dukes of the sons of Esau: the sons of Eliphaz the firstborn of Esau; duke Teman, duke Omar, duke Zepho, duke Kenaz,
[ERV | EN | OT | Genesis | Chapter 36 | Verse 16] duke Korah, duke Gatam, duke Amalek: these are the dukes that came of Eliphaz in the land of Edom; these are the sons of Adah.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 17] And these are the sons of Reuel Esau’s son; duke Nahath, duke Zerah, duke Shammah, duke Mizzah: these are the dukes that came of Reuel in the land of Edom; these are the sons of Basemath Esau’s wife.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 18] And these are the sons of Oholibamah Esau’s wife; duke Jeush, duke Jalam, duke Korah: these are the dukes that came of Oholibamah the daughter of Anah, Esau’s wife.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 19] These are the sons of Esau, and these are their dukes: the same is Edom.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 20] These are the sons of Seir the Horite, the inhabitants of the land; Lotan and Shobal and Zibeon and Anah,
[ERV | EN | OT | Genesis | Chapter 36 | Verse 21] and Dishon and Ezer and Dishan: these are the dukes that came of the Horites, the children of Seir in the land of Edom.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 22] And the children of Lotan were Hori and Hemam; and Lotan’s sister was Timna.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 23] And these are the children of Shobal; Alvan and Manahath and Ebal, Shepho and Onam.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 24] And these are the children of Zibeon; Aiah and Anah: this is Anah who found the hot springs in the wilderness, as he fed the asses of Zibeon his father.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 25] And these are the children of Anah; Dishon and Oholibamah the daughter of Anah.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 26] And these are the children of Dishon; Hemdan and Eshban and Ithran and Cheran.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 27] These are the children of Ezer; Bilhan and Zaavan and Akan.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 28] These are the children of Dishan; Uz and Aran.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 29] These are the dukes that came of the Horites; duke Lotan, duke Shobal, duke Zibeon, duke Anah,
[ERV | EN | OT | Genesis | Chapter 36 | Verse 30] duke Dishon, duke Ezer, duke Dishan: these are the dukes that came of the Horites, according to their dukes in the land of Seir.
[ERV | EN | OT | Genesis | Chapter 36 | Verse 31] And these are the kings that reigned in the land of Edom, before there reigned any king over the children of Israel.
