[KJV | EN | OT | Joel | Chapter 2 | Verse 1] Blow ye the trumpet in Zion, and sound an alarm in my holy mountain: Let all the inhabitants of the land tremble: For the day of the Lord cometh, for it is nigh at hand;
[KJV | EN | OT | Joel | Chapter 2 | Verse 2] A day of darkness and of gloominess, A day of clouds and of thick darkness, As the morning spread upon the mountains: A great people and a strong; There hath not been ever the like, Neither shall be any more after it, Even to the years of many generations.
[KJV | EN | OT | Joel | Chapter 2 | Verse 3] A fire devoureth before them; And behind them a flame burneth: The land is as the garden of Eden before them, And behind them a desolate wilderness; Yea, and nothing shall escape them.
[KJV | EN | OT | Joel | Chapter 2 | Verse 4] The appearance of them is as the appearance of horses; And as horsemen, so shall they run.
[KJV | EN | OT | Joel | Chapter 2 | Verse 5] Like the noise of chariots on the tops of mountains shall they leap, Like the noise of a flame of fire that devoureth the stubble, As a strong people set in battle array.
[KJV | EN | OT | Joel | Chapter 2 | Verse 6] Before their face the people shall be much pained: All faces shall gather blackness.
[KJV | EN | OT | Joel | Chapter 2 | Verse 7] They shall run like mighty men; they shall climb the wall like men of war; And they shall march every one on his ways, And they shall not break their ranks:
[KJV | EN | OT | Joel | Chapter 2 | Verse 8] Neither shall one thrust another; They shall walk every one in his path: And when they fall upon the sword, they shall not be wounded.
[KJV | EN | OT | Joel | Chapter 2 | Verse 9] They shall run to and fro in the city; They shall run upon the wall, They shall climb up upon the houses; They shall enter in at the windows like a thief.
[KJV | EN | OT | Joel | Chapter 2 | Verse 10] The earth shall quake before them; The heavens shall tremble: The sun and the moon shall be dark, And the stars shall withdraw their shining:
[KJV | EN | OT | Joel | Chapter 2 | Verse 11] And the Lord shall utter his voice before his army: For his camp is very great: For he is strong that executeth his word: For the day of the Lord is great and very terrible; And who can abide it?
[KJV | EN | OT | Joel | Chapter 2 | Verse 12] Therefore also now, saith the Lord, Turn ye even to me with all your heart, And with fasting, and with weeping, and with mourning:
[KJV | EN | OT | Joel | Chapter 2 | Verse 13] And rent your heart, and not your garments, And turn unto the Lord your God: For he is gracious and merciful, Slow to anger, and of great kindness, And repenteth him of the evil.
[KJV | EN | OT | Joel | Chapter 2 | Verse 14] Who knoweth if he will return and repent, And leave a blessing behind him; Even a meat offering and a drink offering unto the Lord your God?
[KJV | EN | OT | Joel | Chapter 2 | Verse 15] Blow the trumpet in Zion, Sanctify a fast, call a solemn assembly:
[KJV | EN | OT | Joel | Chapter 2 | Verse 16] Gather the people, sanctify the congregation, assemble the elders, Gather the children, and those that suck the breasts: Let the bridegroom go forth of his chamber, and the bride out of her closet.
[KJV | EN | OT | Joel | Chapter 2 | Verse 17] Let the priests, the ministers of the Lord, weep between the porch and the altar, And let them say, Spare thy people, O Lord, And give not thine heritage to reproach, That the heathen should rule over them: Wherefore should they say among the people, Where is their God?
[KJV | EN | OT | Joel | Chapter 2 | Verse 18] Then will the Lord be jealous for his land, And pity his people.
[KJV | EN | OT | Joel | Chapter 2 | Verse 19] Yea, the Lord will answer and say unto his people, Behold, I will send you corn, and wine, and oil, And ye shall be satisfied therewith: And I will no more make you a reproach among the heathen:
[KJV | EN | OT | Joel | Chapter 2 | Verse 20] But I will remove far off from you the northern army, And will drive him into a land barren and desolate, With his face toward the east sea, And his hinder part towards the utmost sea, And his stink shall come up, and his ill savour shall come up, Because he hath done great things.
[KJV | EN | OT | Joel | Chapter 2 | Verse 21] Fear not, O land; be glad and rejoice: For the Lord will do great things.
[KJV | EN | OT | Joel | Chapter 2 | Verse 22] Be not afraid, ye beasts of the field: For the pastures of the wilderness do spring, For the tree beareth her fruit, The fig tree and the vine do yield their strength.
[KJV | EN | OT | Joel | Chapter 2 | Verse 23] Be glad then, ye children of Zion, and rejoice in the Lord your God: For he hath given you the former rain moderately, And he will cause to come down for you the rain, The former rain, and the latter rain in the first month.
[KJV | EN | OT | Joel | Chapter 2 | Verse 24] And the floors shall be full of wheat, And the fats shall overflow with wine and oil.
[KJV | EN | OT | Joel | Chapter 2 | Verse 25] And I will restore to you the years that the locust hath eaten, The cankerworm, and the caterpillar, and the palmerworm, My great army which I sent among you.
[KJV | EN | OT | Joel | Chapter 2 | Verse 26] And ye shall eat in plenty, and be satisfied, And praise the name of the Lord your God, That hath dealt wondrously with you: And my people shall never be ashamed.
[KJV | EN | OT | Joel | Chapter 2 | Verse 27] And ye shall know that I am in the midst of Israel, And that I am the Lord your God, and none else: And my people shall never be ashamed.
