[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 1] Θέλω γὰρ ὑμᾶς εἰδέναι ἡλίκον ἀγῶνα ἔχω περὶ ὑμῶν καὶ τῶν ἐν Λαοδικείᾳ, καὶ ὅσοι οὐχ ἑωράκασι τὸ πρόσωπόν μου ἐν σαρκί,
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 2] ἵνα παρακληθῶσιν αἱ καρδίαι αὐτῶν, συμβιβασθέντων ἐν ἀγάπῃ, καὶ εἰς πάντα πλοῦτον τῆς πληροφορίας τῆς συνέσεως, εἰς ἐπίγνωσιν τοῦ μυστηρίου τοῦ Θεοῦ καὶ πατρὸς καὶ τοῦ Χριστοῦ,
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 3] ἐν ᾧ εἰσὶ πάντες οἱ θησαυροὶ τῆς σοφίας καὶ τῆς γνώσεως ἀπόκρυφοι.
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 4] Τοῦτο δὲ λέγω, ἵνα μή τις ὑμᾶς παραλογίζηται ἐν πιθανολογίᾳ.
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 5] Εἰ γὰρ καὶ τῇ σαρκὶ ἄπειμι, ἀλλὰ τῷ πνεύματι σὺν ὑμῖν εἰμί, χαίρων καὶ βλέπων ὑμῶν τὴν τάξιν, καὶ τὸ στερέωμα τῆς εἰς Χριστὸν πίστεως ὑμῶν.
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 6] Ὡς οὖν παρελάβετε τὸν Χριστὸν Ἰησοῦν τὸν Κύριον, ἐν αὐτῷ περιπατεῖτε,
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 7] ἐρριζωμένοι καὶ ἐποικοδομούμενοι ἐν αὐτῷ, καὶ βεβαιούμενοι ἐν τῇ πίστει, καθὼς ἐδιδάχθητε, περισσεύοντες ἐν αὐτῇ ἐν εὐχαριστίᾳ.
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 8] Βλέπετε μή τις ὑμᾶς ἔσται ὁ συλαγωγῶν διὰ τῆς φιλοσοφίας καὶ κενῆς ἀπάτης, κατὰ τὴν παράδοσιν τῶν ἀνθρώπων, κατὰ τὰ στοιχεῖα τοῦ κόσμου, καὶ οὐ κατὰ Χριστόν·
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 9] ὅτι ἐν αὐτῷ κατοικεῖ πᾶν τὸ πλήρωμα τῆς θεότητος σωματικῶς,
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 10] καί ἐστε ἐν αὐτῷ πεπληρωμένοι, ὅς ἐστιν ἡ κεφαλὴ πάσης ἀρχῆς καὶ ἐξουσίας·
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 11] ἐν ᾧ καὶ περιετμήθητε περιτομῇ ἀχειροποιήτῳ, ἐν τῇ ἀπεκδύσει τοῦ σώματος τῶν ἁμαρτιῶν τῆς σαρκός, ἐν τῇ περιτομῇ τοῦ Χριστοῦ,
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 12] συνταφέντες αὐτῷ ἐν τῷ βαπτίσματι, ἐν ᾧ καὶ συνηγέρθητε διὰ τῆς πίστεως τῆς ἐνεργείας τοῦ Θεοῦ, τοῦ ἐγείραντος αὐτὸν ἐκ τῶν νεκρῶν.
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 13] Καὶ ὑμᾶς, νεκροὺς ὄντας ἐν τοῖς παραπτώμασι καὶ τῇ ἀκροβυστίᾳ τῆς σαρκὸς ὑμῶν, + 2:13 συνεζωποίησε ¦ συνεζῳοποίησε SCRσυνεζωποίησε σὺν αὐτῷ, χαρισάμενος + 2:13 ὑμῖν ¦ ἡμῖν ST ὑμῖν πάντα τὰ παραπτώματα,
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 14] ἐξαλείψας τὸ καθ᾿ ἡμῶν χειρόγραφον τοῖς δόγμασιν, ὃ ἦν ὑπεναντίον ἡμῖν· καὶ αὐτὸ ἦρκεν ἐκ τοῦ μέσου, προσηλώσας αὐτὸ τῷ σταυρῷ·
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 15] ἀπεκδυσάμενος τὰς ἀρχὰς καὶ τὰς ἐξουσίας, ἐδειγμάτισεν ἐν παρρησίᾳ, θριαμβεύσας αὐτοὺς ἐν αὐτῷ.
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 16] Μὴ οὖν τις ὑμᾶς κρινέτω ἐν βρώσει ἢ ἐν πόσει, ἢ ἐν μέρει ἑορτῆς ἢ νουμηνίας ἢ σαββάτων·
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 17] ἅ ἐστι σκιὰ τῶν μελλόντων, τὸ δὲ σῶμα τοῦ Χριστοῦ.
[GRCGTR | EL | NT | Colossians | Chapter 2 | Verse 18] Μηδεὶς ὑμᾶς καταβραβευέτω θέλων ἐν ταπεινοφροσύνῃ καὶ θρησκείᾳ τῶν ἀγγέλων, ἃ μὴ ἑώρακεν ἐμβατεύων, εἰκῇ φυσιούμενος ὑπὸ τοῦ νοὸς τῆς σαρκὸς αὐτοῦ,
