[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 1] Εἰ οὖν συνηγέρθητε τῷ Χριστῷ, τὰ ἄνω ζητεῖτε, οὗ ὁ Χριστός ἐστιν ἐν δεξιᾷ τοῦ Θεοῦ καθήμενος.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 2] Τὰ ἄνω φρονεῖτε, μὴ τὰ ἐπὶ τῆς γῆς.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 3] Ἀπεθάνετε γάρ, καὶ ἡ ζωὴ ὑμῶν κέκρυπται σὺν τῷ Χριστῷ ἐν τῷ Θεῷ.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 4] Ὅταν ὁ Χριστὸς φανερωθῇ, ἡ ζωὴ ἡμῶν, τότε καὶ ὑμεῖς σὺν αὐτῷ φανερωθήσεσθε ἐν δόξῃ.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 5] Νεκρώσατε οὖν τὰ μέλη ὑμῶν τὰ ἐπὶ τῆς γῆς, πορνείαν, ἀκαθαρσίαν, πάθος, ἐπιθυμίαν κακήν, καὶ τὴν πλεονεξίαν, ἥτις ἐστὶν εἰδωλολατρεία,
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 6] δι᾿ ἃ ἔρχεται ἡ ὀργὴ τοῦ Θεοῦ ἐπὶ τοὺς υἱοὺς τῆς ἀπειθείας·
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 7] ἐν οἷς καὶ ὑμεῖς περιεπατήσατέ ποτε, ὅτε ἐζῆτε ἐν αὐτοῖς.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 8] Νυνὶ δὲ ἀπόθεσθε καὶ ὑμεῖς τὰ πάντα, ὀργήν, θυμόν, κακίαν, βλασφημίαν, αἰσχρολογίαν ἐκ τοῦ στόματος ὑμῶν·
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 9] μὴ ψεύδεσθε εἰς ἀλλήλους, ἀπεκδυσάμενοι τὸν παλαιὸν ἄνθρωπον σὺν ταῖς πράξεσιν αὐτοῦ,
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 10] καὶ ἐνδυσάμενοι τὸν νέον, τὸν ἀνακαινούμενον εἰς ἐπίγνωσιν κατ᾿ εἰκόνα τοῦ κτίσαντος αὐτόν·
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 11] ὅπου οὐκ ἔνι Ἕλλην καὶ Ἰουδαῖος, περιτομὴ καὶ ἀκροβυστία, βάρβαρος, Σκύθης, δοῦλος, ἐλεύθερος· ἀλλὰ τὰ πάντα καὶ ἐν πᾶσι Χριστός.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 12] Ἐνδύσασθε οὖν, ὡς ἐκλεκτοὶ τοῦ Θεοῦ, ἅγιοι καὶ ἠγαπημένοι, σπλάγχνα οἰκτιρμῶν, χρηστότητα, ταπεινοφροσύνην, πρᾳότητα, μακροθυμίαν·
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 13] ἀνεχόμενοι ἀλλήλων, καὶ χαριζόμενοι ἑαυτοῖς, ἐάν τις πρός τινα ἔχῃ μομφήν· καθὼς καὶ ὁ Χριστὸς ἐχαρίσατο ὑμῖν, οὕτω καὶ ὑμεῖς·
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 14] ἐπὶ πᾶσι δὲ τούτοις τὴν ἀγάπην, ἥτις ἐστὶ σύνδεσμος τῆς τελειότητος.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 15] Καὶ ἡ εἰρήνη τοῦ Θεοῦ βραβευέτω ἐν ταῖς καρδίαις ὑμῶν, εἰς ἣν καὶ ἐκλήθητε ἐν ἑνὶ σώματι· καὶ εὐχάριστοι γίνεσθε.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 16] Ὁ λόγος τοῦ Χριστοῦ ἐνοικείτω ἐν ὑμῖν πλουσίως ἐν πάσῃ σοφίᾳ· διδάσκοντες καὶ νουθετοῦντες ἑαυτούς, ψαλμοῖς, καὶ ὕμνοις, καὶ ᾠδαῖς πνευματικαῖς, ἐν χάριτι ᾄδοντες ἐν τῇ καρδίᾳ ὑμῶν τῷ Κυρίῳ.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 17] Καὶ πᾶν ὅ τι ἂν ποιῆτε, ἐν λόγῳ ἢ ἐν ἔργῳ, πάντα ἐν ὀνόματι Κυρίου Ἰησοῦ, εὐχαριστοῦντες τῷ Θεῷ καὶ πατρὶ δι᾿ αὐτοῦ.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 18] Αἱ γυναῖκες, ὑποτάσσεσθε τοῖς ἰδίοις ἀνδράσιν, ὡς ἀνῆκεν ἐν Κυρίῳ.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 19] Οἱ ἄνδρες, ἀγαπᾶτε τὰς γυναῖκας, καὶ μὴ πικραίνεσθε πρὸς αὐτάς.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 20] Τὰ τέκνα, ὑπακούετε τοῖς γονεῦσι κατὰ πάντα· τοῦτο γάρ ἐστιν εὐάρεστον τῷ Κυρίῳ.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 21] Οἱ πατέρες, μὴ ἐρεθίζετε τὰ τέκνα ὑμῶν, ἵνα μὴ ἀθυμῶσιν.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 22] Οἱ δοῦλοι, ὑπακούετε κατὰ πάντα τοῖς κατὰ σάρκα κυρίοις, μὴ ἐν ὀφθαλμοδουλείαις ὡς ἀνθρωπάρεσκοι, ἀλλ᾿ ἐν ἁπλότητι καρδίας, φοβούμενοι τὸν Θεόν·
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 23] καὶ πᾶν ὅ τι ἐὰν ποιῆτε, ἐκ ψυχῆς ἐργάζεσθε, ὡς τῷ Κυρίῳ καὶ οὐκ ἀνθρώποις·
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 24] εἰδότες ὅτι ἀπὸ Κυρίου ἀπολήψεσθε τὴν ἀνταπόδοσιν τῆς κληρονομίας· τῷ γὰρ Κυρίῳ Χριστῷ δουλεύετε.
[GRCGTR | EL | NT | Colossians | Chapter 3 | Verse 25] Ὁ δὲ ἀδικῶν κομιεῖται ὃ ἠδίκησε· καὶ οὐκ ἔστι προσωποληψία.
