[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 1] मगर ऐ भाइयों! इसकी कुछ ज़रूरत नहीं कि वक़्तों और मौक़ों के ज़रिए तुम को कुछ लिखा जाए।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 2] इस वास्ते कि तुम आप ख़ुद जानते हो कि ख़ुदावन्द का दिन इस तरह आने वाला है जिस तरह रात को चोर आता है।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 3] जिस वक़्त लोग कहते होंगे कि सलामती और अम्न है उस वक़्त उन पर इस तरह हलाकत आएगी जिस तरह हामिला को दर्द होता हैं और वो हरगिज़ न बचेंगे।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 4] लेकिन तुम ऐ भाइयों, अंधेरे में नहीं हो कि वो दिन चोर की तरह तुम पर आ पड़े।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 5] क्यूँकि तुम सब नूर के फ़र्ज़न्द और दिन के फ़र्ज़न्द हो, हम न रात के हैं न तारीकी के।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 6] पस, औरों की तरह सोते न रहो, बल्कि जागते और होशियार रहो।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 7] क्यूँकि जो सोते हैं रात ही को सोते हैं और जो मतवाले होते हैं रात ही को मतवाले होते हैं।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 8] मगर हम जो दिन के हैं ईमान और मुहब्बत का बख़्तर लगा कर और निजात की उम्मीद कि टोपी पहन कर होशियार रहें।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 9] क्यूँकि ख़ुदा ने हमें ग़ज़ब के लिए नहीं बल्कि इसलिए मुक़र्रर किया कि हम अपने ख़ुदावन्द ईसा मसीह के वसीले से नजात हासिल करें।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 10] वो हमारी ख़ातिर इसलिए मरा, कि हम जागते हों या सोते हों सब मिलकर उसी के साथ जिएँ।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 11] पस, तुम एक दूसरे को तसल्ली दो और एक दूसरे की तरक़्क़ी की वजह बनो चुनाँचे तुम ऐसा करते भी हो।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 12] और ऐ भाइयों, हम तुम से दरख़्वास्त करते हैं, कि जो तुम में मेहनत करते और ख़ुदावन्द में तुम्हारे पेशवा हैं और तुम को नसीहत करते हैं उन्हें मानो।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 13] और उनके काम की वजह से मुहब्बत के साथ उन की बड़ी इज़्ज़त करो; आपस में मेल मिलाप रख्खो।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 14] और ऐ भाइयों, हम तुम्हें नसीहत करते हैं कि बे क़ाइदा चलने वालों को समझाओ कम हिम्मतों को दिलासा दो कमज़ोरों को संभालो सब के साथ तहम्मील से पेश आओ।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 15] ख़बरदार कोई किसी से बदी के बदले बदी न करे बल्कि हर वक़्त नेकी करने के दर पै रहो आपस में भी और सब से।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 16] हर वक़्त ख़ुश रहो।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 17] बिला नाग़ा दुआ करो।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 18] हर एक बात में शुक्र गुज़ारी करो क्यूँकि मसीह ईसा में तुम्हारे बारे में ख़ुदा की यही मर्ज़ी है।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 19] रूह को न बुझाओ।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 20] नबुव्वतों की हिक़ारत न करो।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 21] सब बातों को आज़माओ, जो अच्छी हो उसे पकड़े रहो।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 22] हर क़िस्म की बदी से बचे रहो।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 23] ख़ुदा जो इत्मीनान का चश्मा है आप ही तुम को बिल्कुल पाक करे, और तुम्हारी रूह और जान और बदन हमारे ख़ुदावन्द ईसा मसीह के आने तक पूरे पूरे और बेऐब महफ़ूज़ रहें।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 24] तुम्हारा बुलाने वाला सच्चा है वो ऐसा ही करेगा।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 25] ऐ भाइयों! हमारे वास्ते दुआ करो।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 26] पाक बोसे के साथ सब भाइयों को सलाम करो।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 27] मैं तुम्हें ख़ुदावन्द की क़सम देता हूँ, कि ये ख़त सब भाइयों को सुनाया जाए।
[IRV | UR | NT | 1 Thessalonians | Chapter 5 | Verse 28] हमारे ख़ुदावन्द ईसा मसीह का फ़ज़ल तुम पर होता रहे।
