[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 1] ग़रज़ ऐ भाइयों!, हम तुम से दरख़्वास्त करते हैं और ख़ुदावन्द ईसा में तुम्हें नसीहत करते हैं कि जिस तरह तुम ने हम से मुनासिब चाल चलने और ख़ुदा को ख़ुश करने की ता'लीम पाई और जिस तरह तुम चलते भी हो उसी तरह और तरक़्क़ी करते जाओ।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 2] क्यूँकि तुम जानते हो कि हम ने तुम को ख़ुदावन्द ईसा की तरफ़ से क्या क्या हुक्म पहुँचाए।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 3] चुनाँचे ख़ुदा की मर्ज़ी ये है कि तुम पाक बनो, या'नी हरामकारी से बचे रहो।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 4] और हर एक तुम में से पाकीज़गी और इज़्ज़त के साथ अपने ज़र्फ़ को हासिल करना जाने।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 5] न बुरी ख़्वाहिश के जोश से उन क़ौमों की तरह जो ख़ुदा को नहीं जानतीं
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 6] और कोई शख़्स अपने भाई के साथ इस काम में ज़्यादती और दग़ा न करे क्यूँकि ख़ुदावन्द इन सब कामों का बदला लेने वाला है चुनाँचे हम ने पहले भी तुम को करके जता दिया था।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 7] इसलिए कि ख़ुदा ने हम को नापाकी के लिए नहीं बल्कि पाकीज़गी के लिए बुलाया।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 8] पस, जो नहीं मानता वो आदमी को नहीं बल्कि ख़ुदा को नहीं मानता जो तुम को अपना पाक रूह देता है।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 9] मगर भाई — चारे की मुहब्बत के ज़रिए तुम्हें कुछ लिखने की हाजत नहीं क्यूँकि तुम ने आपस में मुहब्बत करने की ख़ुदा से ता'लीम पा चुके हो।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 10] और तमाम मकिदुनिया के सब भाइयों के साथ ऐसा ही करते हो लेकिन ऐ भाइयों! हम तुम्हें नसीहत करते हैं कि तरक़्क़ी करते जाओ।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 11] और जिस तरह हम ने तुम को हुक्म दिया चुप चाप रहने और अपना कारोबार करने और अपने हाथों से मेहनत करने की हिम्मत करो।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 12] ताकि बाहर वालों के साथ संजीदगी से बरताव करो और किसी चीज़ के मोहताज न हो।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 13] ऐ भाइयों! हम नहीं चाहते कि जो सोते है उनके बारे में तुम नावाक़िफ़ रहो ताकि औरों की तरह जो ना उम्मीद है ग़म ना करो।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 14] क्यूँकि जब हमें ये यक़ीन है कि ईसा मर गया और जी उठा तो उसी तरह ख़ुदा उन को भी जो सो गए हैं ईसा के वसीले से उसी के साथ ले आएगा।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 15] चुनाँचे हम तुम से दावन्द के कलाम के मुताबिक़ कहते हैं कि हम जो ज़िन्दा हैं और दावन्द के आने तक बाक़ी रहेंगे सोए हुओं से हरगिज़ आगे न बढ़ेंगे।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 16] क्यूँकि ख़ुदावन्द ख़ुद आसमान से लल्कार और ख़ास फ़रिश्ते की आवाज़ और ख़ुदा के नरसिंगे के साथ उतर आएगा और पहले तो वो जो मसीह में मरे जी उठेंगे।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 17] फिर हम जो ज़िन्दा बाक़ी होंगे उनके साथ बादलों पर उठा लिए जाएँगे; ताकि हवा में ख़ुदावन्द का इस्तक़बाल करें और इसी तरह हमेशा दावन्द के साथ रहेंगे।
[IRV | UR | NT | 1 Thessalonians | Chapter 4 | Verse 18] पस, तुम इन बातों से एक दूसरे को तसल्ली दिया करो।
