[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 1] Oh that my head were waters, and mine eyes a fountain of tears, that I might weep day and night for the slain of the daughter of my people!
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 2] Oh that I had in the wilderness a lodging place of wayfaring men; that I might leave my people, and go from them! for they be all adulterers, an assembly of treacherous men.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 3] And they bend their tongue as it were their bow for falsehood; and they are grown strong in the land, but not for truth: for they proceed from evil to evil, and they know not me, saith the LORD.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 4] Take ye heed every one of his neighbour, and trust ye not in any brother: for every brother will utterly supplant, and every neighbour will go about with slanders.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 5] And they will deceive every one his neighbour, and will not speak the truth: they have taught their tongue to speak lies; they weary themselves to commit iniquity.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 6] Thine habitation is in the midst of deceit; through deceit they refuse to know me, saith the LORD.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 7] Therefore thus saith the LORD of hosts, Behold, I will melt them, and try them; for how else should I do, because of the daughter of my people?
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 8] Their tongue is a deadly arrow; it speaketh deceit: one speaketh peaceably to his neighbour with his mouth, but in his heart he layeth wait for him.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 9] Shall I not visit them for these things? saith the LORD: shall not my soul be avenged on such a nation as this?
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 10] For the mountains will I take up a weeping and wailing, and for the pastures of the wilderness a lamentation, because they are burned up, so that none passeth through; neither can men hear the voice of the cattle; both the fowl of the heavens and the beast are fled, they are gone.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 11] And I will make Jerusalem heaps, a dwelling place of jackals; and I will make the cities of Judah a desolation, without inhabitant.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 12] Who is the wise man, that may understand this? and who is he to whom the mouth of the LORD hath spoken, that he may declare it? wherefore is the land and perished burned up like a wilderness, so that none passeth through?
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 13] And the LORD saith, Because they have forsaken my law which I set before them, and have not obeyed my voice, neither walked therein;
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 14] but have walked after the stubbornness of their own heart, and after the Baalim, which their fathers taught them:
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 15] therefore thus saith the LORD of hosts, the God of Israel, Behold, I will feed them, even this people, with wormwood, and give them water of gall to drink.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 16] I will scatter them also among the nations, whom neither they nor their fathers have known: and I will send the sword after them, till I have consumed them.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 17] Thus saith the LORD of hosts, Consider ye, and call for the mourning women, that they may come; and send for the cunning women, that they may come:
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 18] and let them make haste, and take up a wailing for us, that our eyes may run down with tears, and our eyelids gush out with waters.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 19] For a voice of wailing is heard out of Zion, How are we spoiled! we are greatly confounded, because we have forsaken the land, because they have cast down our dwellings.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 20] Yet hear the word of the LORD, O ye women, and let your ear receive the word of his mouth, and teach your daughters wailing, and every one her neighbour lamentation.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 21] For death is come up into our windows, it is entered into our palaces; to cut off the children from without, and the young men from the streets.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 22] Speak, Thus saith the LORD, The carcases of men shall fall as dung upon the open field, and as the handful after the harvestman, and none shall gather them.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 23] Thus saith the LORD, Let not the wise man glory in his wisdom, neither let the mighty man glory in his might, let not the rich man glory in his riches:
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 24] but let him that glorieth glory in this, that he understandeth, and knoweth me, that I am the LORD which exercise lovingkindness, judgment, and righteousness, in the earth: for in these things I delight, saith the LORD.
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 25] Behold, the days come, saith the LORD, that I will punish all them which are circumcised in their uncircumcision;
[ERV | EN | OT | Jeremiah | Chapter 9 | Verse 26] Egypt, and Judah, and Edom, and the children of Ammon, and Moab, and all that have the corners of their hair polled, that dwell in the wilderness: for all the nations are uncircumcised, and all the house of Israel are uncircumcised in heart.
