[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 1] But the souls of the just are in the hand of God, and the torment of death shall not touch them.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 2] In the sight of the unwise they seemed to die: and their departure was taken for misery:
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 3] And their going away from us, for utter destruction: but they are in peace.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 4] And though in the sight of men they suffered torments, their hope is full of immortality.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 5] Afflicted in few things, in many they shall be well rewarded: because God hath tried them, and found them worthy of himself.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 6] As gold in the furnace he hath proved them, and as a victim of a holocaust he hath received them, and in time there shall be respect had to them.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 7] The just shall shine, and shall run to and fro like sparks among the reeds.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 8] They shall judge nations, and rule over people, and their Lord shall reign for ever.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 9] They that trust in him, shall understand the truth: and they that are faithful in love shall rest in him: for grace and peace is to his elect.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 10] But the wicked shall be punished according to their own devices: who have neglected the just, and have revolted from the Lord.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 11] For he that rejecteth wisdom, and discipline, is unhappy: and their hope is vain, and their labours without fruit, and their works unprofitable.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 12] Their wives are foolish, and their children wicked.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 13] Their offspring is cursed: for happy is the barren: and the undefiled, that hath not known bed in sin: she shall have fruit in the visitation of holy souls.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 14] And the eunuch, that hath not wrought iniquity with his hands, nor thought wicked things against God: for the precious gift of faith shall be given to him, and a most acceptable lot in the temple of God.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 15] For the fruit of good labours is glorious, and the root of wisdom never faileth.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 16] But the children of adulterers shall not come to perfection, and the seed of the unlawful bed shall be rooted out.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 17] And if they live long, they shall be nothing regarded, and their last old age shall be without honour.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 18] And if they die quickly, they shall have no hope, nor speech of comfort in the day of trial.
[DRA | EN | OT | Wisdom of Solomon | Chapter 3 | Verse 19] For dreadful are the ends of a wicked race.
