[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 1] I myself am also mortal, like everyone else, and am a descendant of one formed first and born of the earth.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 2] I molded into flesh in the time of ten months in my mother’s womb, being compacted in blood from the seed of man and pleasure of marriage.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 3] I also, when I was born, drew in the common air, and fell upon the kindred earth, uttering, like all, for my first voice, the same cry.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 4] I was nursed with care in swaddling clothes.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 5] For no king had a different beginning,
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 6] but all men have one entrance into life, and a common departure.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 7] For this cause I prayed, and understanding was given to me. I asked, and a spirit of wisdom came to me.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 8] I preferred her before sceptres and thrones. I considered riches nothing in comparison to her.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 9] Neither did I liken to her any priceless gem, because all gold in her presence is a little sand, and silver will be considered as clay before her.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 10] I loved her more than health and beauty, and I chose to have her rather than light, because her bright shining is never laid to sleep.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 11] All good things came to me with her, and innumerable riches are in her hands.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 12] And I rejoiced over them all because wisdom leads them; although I didn’t know that she was their mother.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 13] As I learned without guile, I impart without grudging. I don’t hide her riches.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 14] For she is a treasure for men that doesn’t fail, and those who use it obtain friendship with God, commended by the gifts which they present through discipline.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 15] But may God grant that I may speak his judgment, and to conceive thoughts worthy of what has been given me; because he is one who guides even wisdom and who corrects the wise.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 16] For both we and our words are in his hand, with all understanding and skill in various crafts.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 17] For he himself gave me an unerring knowledge of the things that are, to know the structure of the universe and the operation of the elements;
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 18] the beginning, end, and middle of times; the alternations of the solstices and the changes of seasons;
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 19] the circuits of years and the positions of stars;
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 20] the natures of living creatures and the raging of wild beasts; the violence of winds and the thoughts of men; the diversities of plants and the virtues of roots.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 21] All things that are either secret or manifest I learned,
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 22] for wisdom, that is the architect of all things, taught me. For there is in her a spirit that is quick to understand, holy, unique, manifold, subtle, freely moving, clear in utterance, unpolluted, distinct, invulnerable, loving what is good, keen, unhindered,
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 23] beneficent, loving toward man, steadfast, sure, free from care, all-powerful, all-surveying, and penetrating through all spirits that are quick to understand, pure, most subtle.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 24] For wisdom is more mobile than any motion. Yes, she pervades and penetrates all things by reason of her purity.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 25] For she is a breath of the power of God, and a pure emanation of the glory of the Almighty. Therefore nothing defiled can find entrance into her.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 26] For she is a reflection of everlasting light, an unspotted mirror of the working of God, and an image of his goodness.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 27] Although she is one, she has power to do all things. Remaining in herself, she renews all things. From generation to generation passing into holy souls, she makes friends of God and prophets.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 28] For God loves nothing as much as one who dwells with wisdom.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 29] For she is fairer than the sun, and above all the constellations of the stars. She is better than light.
[WEB | EN | OT | Wisdom of Solomon | Chapter 7 | Verse 30] For daylight yields to night, but evil does not prevail against wisdom.
