[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 1] For they said within themselves, with unsound reasoning, “Our life is short and sorrowful. There is no healing when a man comes to his end, and no one was ever known who was released from Hades.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 2] Because we were born by mere chance, and hereafter we will be as though we had never been, because the breath in our nostrils is smoke, and reason is a spark kindled by the beating of our heart,
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 3] which being extinguished, the body will be turned into ashes, and the spirit will be dispersed as thin air.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 4] Our name will be forgotten in time. No one will remember our works. Our life will pass away as the traces of a cloud, and will be scattered as is a mist, when it is chased by the rays of the sun, and overcome by its heat.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 5] For our allotted time is the passing of a shadow, and our end doesn’t retreat, because it is securely sealed, and no one turns it back.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 6] “Come therefore and let’s enjoy the good things that exist. Let’s use the creation earnestly as in our youth.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 7] Let’s fill ourselves with costly wine and perfumes, and let no spring flower pass us by.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 8] Let’s crown ourselves with rosebuds before they wither.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 9] Let none of us go without his share in our proud revelry. Let’s leave tokens of mirth everywhere, because this is our portion, and this is our lot.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 10] Let’s oppress the righteous poor. Let’s not spare the widow, nor regard the gray hair of the old man.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 11] But let our strength be a law of righteousness; for that which is weak is proven useless.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 12] But let’s lie in wait for the righteous man, because he annoys us, is contrary to our works, reproaches us with sins against the law, and charges us with sins against our training.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 13] He professes to have knowledge of God, and calls himself a child of the Lord.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 14] He became to us a reproof of our thoughts.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 15] He is grievous to us even to look at, because his life is unlike other men’s, and his paths are strange.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 16] We were regarded by him as something worthless, and he abstains from our ways as from uncleanness. He calls the latter end of the righteous happy. He boasts that God is his father.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 17] Let’s see if his words are true. Let’s test what will happen at the end of his life.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 18] For if the righteous man is God’s son, he will uphold him, and he will deliver him out of the hand of his adversaries.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 19] Let’s test him with insult and torture, that we may find out how gentle he is, and test his patience.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 20] Let’s condemn him to a shameful death, for he will be protected, according to his words.”
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 21] Thus they reasoned, and they were led astray; for their wickedness blinded them,
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 22] and they didn’t know the mysteries of God, neither did they hope for wages of holiness, nor did they discern that there is a prize for blameless souls.
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 23] Because God created man for incorruption, and made him an image of his own everlastingness;
[WEB | EN | OT | Wisdom of Solomon | Chapter 2 | Verse 24] but death entered into the world by the envy of the devil, and those who belong to him experience it.
