[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 1] Hear therefore, you kings, and understand. Learn, you judges of the ends of the earth.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 2] Give ear, you rulers who have dominion over many people, and make your boast in multitudes of nations,
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 3] because your dominion was given to you from the Lord, and your sovereignty from the Most High. He will search out your works, and will inquire about your plans,
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 4] because being officers of his kingdom, you didn’t judge rightly, nor did you keep the law, nor did you walk according to God’s counsel.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 5] He will come upon you awfully and swiftly, because a stern judgment comes on those who are in high places.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 6] For the man of low estate may be pardoned in mercy, but mighty men will be mightily tested.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 7] For the Sovereign Lord of all will not be impressed with anyone, neither will he show deference to greatness; because it is he who made both small and great, and cares about them all;
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 8] but the scrutiny that comes upon the powerful is strict.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 9] Therefore, my words are to you, O princes, that you may learn wisdom and not fall away.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 10] For those who have kept the things that are holy in holiness will be made holy. Those who have been taught them will find what to say in defense.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 11] Therefore set your desire on my words. Long for them, and you princes will be instructed.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 12] Wisdom is radiant and doesn’t fade away; and is easily seen by those who love her, and found by those who seek her.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 13] She anticipates those who desire her, making herself known.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 14] He who rises up early to seek her won’t have difficulty, for he will find her sitting at his gates.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 15] For to think upon her is perfection of understanding, and he who watches for her will quickly be free from care;
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 16] because she herself goes around, seeking those who are worthy of her, and in their paths she appears to them graciously, and in every purpose she meets them.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 17] For her true beginning is desire for instruction; and desire for instruction is love.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 18] And love is observance of her laws. To give heed to her laws confirms immortality.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 19] Immortality brings closeness to God.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 20] So then desire for wisdom promotes to a kingdom.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 21] If therefore you delight in thrones and sceptres, you princes of peoples, honor wisdom, that you may reign forever.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 22] But what wisdom is, and how she came into being, I will declare. I won’t hide mysteries from you; but I will explore from her first beginning, bring the knowledge of her into clear light, and I will not pass by the truth.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 23] Indeed, I won’t travel with consuming envy, because envy will have no fellowship with wisdom.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 24] But a multitude of wise men is salvation to the world, and an understanding king is stability for his people.
[WEB | EN | OT | Wisdom of Solomon | Chapter 6 | Verse 25] Therefore be instructed by my words, and you will profit.
